,Work,Theatre,City,country,date
0,The Merry Widow,Adelaide Festival Centre,Adelaide,SA,2018-11-29 00:00:00
1,Lucia di Lammermoor,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2018-06-28 00:00:00
2,Handel's Athalia,City Recital Hall,Sydney,NSW,2018-06-21 00:00:00
3,The Pearl Fishers,Adelaide Festival Centre,Adelaide,SA,2018-05-12 00:00:00
4,Les Mamelles de Tiresias,Chapel Loft,Prahran,VIC,2018-04-07 00:00:00
5,La Boheme on Sydney Harbour,Mrs Macquarie's Point,Sydney,NSW,2018-03-23 00:00:00
6,Don Quichotte,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2018-03-16 00:00:00
7,La Traviata,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2018-03-01 00:00:00
8,The Nose,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2018-02-21 00:00:00
9,The Opera Gala on New Year's Eve,Concert Hall (Sydney Opera House),Sydney,NSW,2017-12-31 00:00:00
10,Coronation of Poppea ,City Recital Hall,Sydney,NSW,2017-11-30 00:00:00
11,La Tragédie de Carmen,Wilton's Music Hall,London,England,2017-11-03 00:00:00
12,Die Fledermaus,Her Majesty's Theatre,Adelaide,SA,2017-10-24 00:00:00
13,Madama Butterfly,Capitol Theatre,Haymarket,NSW,2017-10-24 00:00:00
14,La Voix Humaine,The Carlton Club,Melbourne,VIC,2017-09-25 00:00:00
15,Aida on the Beach,Coolangatta Beach,Coolangatta,QLD,2017-09-21 00:00:00
16,The Queen's Lace Handkerchief,Wilton's Music Hall,London,England,2017-08-29 00:00:00
17,Mozart Airborne,Cremorne Theatre,South Brisbane,QLD,2017-08-05 00:00:00
18,Dubai - Rostov - New York: Scenes from Contemporary Opera,Wilton's Music Hall,London,England,2017-05-04 00:00:00
19,Carmen,Mrs Macquarie's Point,Sydney,NSW,2017-03-24 00:00:00
20,Saul,Festival Theatre,Adelaide,SA,2017-03-03 00:00:00
21,Katya Kabanova,McCaw Hall,Seattle,United States of America,2017-02-25 00:00:00
22,Carmen,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2017-02-10 00:00:00
23,The Depraved Appetite of Tarrare the Freak ,Wilton's Music Hall,London,England,2017-01-30 00:00:00
24,La Bohème,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2017-01-04 00:00:00
25,The Ring Cycle,State Theatre,Melbourne,VIC,2016-11-21 00:00:00
26,The Bartered Bride,Rockdale Town Hall,Rockdale,NSW,2016-11-12 00:00:00
27,Oreste,Wilton's Music Hall,London,England,2016-11-08 00:00:00
28,Anna Bolena (Anne Boleyn),Athenaeum Theatre,Melbourne,VIC,2016-11-02 00:00:00
29,The Pearl Fishers,His Majesty's Theatre,Perth,WA,2016-10-25 00:00:00
30,The Marriage of Figaro,Princess Theatre,Launceston,TAS,2016-09-06 00:00:00
31,The Marriage of Figaro,Theatre Royal,Hobart,TAS,2016-09-01 00:00:00
32,The Marriage of Figaro,Burnie Arts and Function Centre,Burnie,TAS,2016-08-30 00:00:00
33,The Marriage of Figaro,Canberra Theatre,Canberra,ACT,2016-08-25 00:00:00
34,Project Rossini,Empire Theatre,Toowoomba,QLD,2016-08-24 00:00:00
35,The Marriage of Figaro,Albury Entertainment Centre,Albury,NSW,2016-08-23 00:00:00
36,The Marriage of Figaro,Riverside Theatres,Parramatta,NSW,2016-08-19 00:00:00
