,composer,complete_name,dates,uri,work
0,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,La traviata 
1,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,Rigoletto 
2,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,Aida 
3,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,Nabucco 
4,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,Il trovatore 
5,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,Otello 
6,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,Un ballo in maschera 
7,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,Macbeth 
8,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,Falstaff 
9,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,Don Carlos 
10,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,Simon Boccanegra 
11,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,La forza del destino 
12,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,Attila 
13,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,Requiem 
14,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,Luisa Miller 
15,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,I vespri siciliani 
16,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,Ernani 
17,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,I due Foscari 
18,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,Giovanna d'Arco 
19,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,Stiffelio 
20,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,I masnadieri 
21,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,Un giorno di regno 
22,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,Jerusalem 
23,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,La battaglia di Legnano 
24,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,Oberto 
25,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,I lombardi alla prima crociata 
26,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,Il corsaro 
27,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,Macbeth (adaptation) 
28,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,Aroldo 
29,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,Rigoletto (reduction) 
30,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,Le notti delle streghe 
31,Verdi,Giuseppe Verdi,(1813–1901),http://operabase.com/visual.cgi??lang=en&is=opera&by=Verdi,Alzira 
32,Puccini,Giacomo Puccini,(1858–1924),http://operabase.com/visual.cgi??lang=en&is=opera&by=Puccini,La boheme 
33,Puccini,Giacomo Puccini,(1858–1924),http://operabase.com/visual.cgi??lang=en&is=opera&by=Puccini,Tosca 
34,Puccini,Giacomo Puccini,(1858–1924),http://operabase.com/visual.cgi??lang=en&is=opera&by=Puccini,Madama Butterfly 
35,Puccini,Giacomo Puccini,(1858–1924),http://operabase.com/visual.cgi??lang=en&is=opera&by=Puccini,Turandot 
36,Puccini,Giacomo Puccini,(1858–1924),http://operabase.com/visual.cgi??lang=en&is=opera&by=Puccini,Gianni Schicchi 
37,Puccini,Giacomo Puccini,(1858–1924),http://operabase.com/visual.cgi??lang=en&is=opera&by=Puccini,Manon Lescaut 
38,Puccini,Giacomo Puccini,(1858–1924),http://operabase.com/visual.cgi??lang=en&is=opera&by=Puccini,Suor Angelica 
