,composer,date_of_birth,date_of_death,country,composer_url,composer_key
0,Aaron Copland,1900-11-14,1990-12-02,United States of America,http://www.wikidata.org/entity/Q192185,Q192185
2,Aarre Merikanto,1893-06-29,1958-09-28,Finland,http://www.wikidata.org/entity/Q303051,Q303051
4,Abdylas Maldybaev,1906-07-07,1978-06-01,Kyrgyzstan,http://www.wikidata.org/entity/Q479615,Q479615
5,Achille Graffigna,1816-05-05,1896-07-19,Italy,http://www.wikidata.org/entity/Q3604382,Q3604382
7,Achilles Alferaki,1846-07-03,1919-12-27,Ukraine,http://www.wikidata.org/entity/Q340294,Q340294
8,Adalbert Hřimalý,1842-07-30,1908-06-15,Czech Republic,http://www.wikidata.org/entity/Q2530603,Q2530603
10,Adolphe Adam,1803-07-24,1856-05-03,France,http://www.wikidata.org/entity/Q189544,Q189544
74,Adolphe Blaise,1701-01-01,1772-01-01,France,http://www.wikidata.org/entity/Q2824775,Q2824775
75,Adriano Guarnieri,1947-09-10,2200-01-01,Italy,http://www.wikidata.org/entity/Q346904,Q346904
76,Afrasiyab Badalbeyli,1907-04-19,1976-01-06,Azerbaijan,http://www.wikidata.org/entity/Q1072231,Q1072231
78,Agostino Accorimboni,1739-08-28,1818-08-13,Italy,http://www.wikidata.org/entity/Q1130986,Q1130986
90,Agostino Steffani,1654-07-25,1728-02-12,Italy,http://www.wikidata.org/entity/Q395725,Q395725
93,Aimé Maillart,1817-03-24,1871-05-26,France,http://www.wikidata.org/entity/Q405748,Q405748
96,Alan Bush,1900-12-22,1995-10-31,United Kingdom,http://www.wikidata.org/entity/Q584010,Q584010
97,Alan Hovhaness,1911-03-08,2000-06-21,United States of America,http://www.wikidata.org/entity/Q542232,Q542232
98,Alanus Plumlovský,1703-01-18,1759-05-02,Czech Republic,http://www.wikidata.org/entity/Q10729169,Q10729169
101,Alban Berg,1885-02-09,1935-12-24,Austria,http://www.wikidata.org/entity/Q78475,Q78475
103,Albert Dietrich,1829-08-28,1908-11-20,Germany,http://www.wikidata.org/entity/Q565548,Q565548
104,Albert Grisar,1808-12-25,1869-06-15,Belgium,http://www.wikidata.org/entity/Q2003880,Q2003880
106,Albert Lortzing,1801-10-23,1851-01-21,Germany,http://www.wikidata.org/entity/Q154203,Q154203
118,Albert Roussel,1869-04-05,1937-08-23,France,http://www.wikidata.org/entity/Q313376,Q313376
121,Albert Szirmai,1880-07-02,1967-01-15,Hungary,http://www.wikidata.org/entity/Q725792,Q725792
122,Alberto Franchetti,1860-09-18,1942-08-04,Italy,http://www.wikidata.org/entity/Q722975,Q722975
130,Alberto Ginastera,1916-04-11,1983-06-25,Argentina,http://www.wikidata.org/entity/Q311389,Q311389
133,Alberto Mazzucato,1813-07-28,1877-12-31,Italy,http://www.wikidata.org/entity/Q74849,Q74849
138,Alberto Nepomuceno,1864-07-06,1920-10-16,Brazil,http://www.wikidata.org/entity/Q1391980,Q1391980
139,Alessandro Scarlatti,1660-05-02,1725-10-22,Italy,http://www.wikidata.org/entity/Q183087,Q183087
147,Alexander Abramsky,1898-01-22,1985-08-29,Ukraine,http://www.wikidata.org/entity/Q2833392,Q2833392
148,Alexander Borodin,1833-11-12,1887-02-27,Russia,http://www.wikidata.org/entity/Q164004,Q164004
151,Alexander Dargomyzhsky,1813-02-14,1869-01-17,Russia,http://www.wikidata.org/entity/Q311384,Q311384
153,Alexander Gretchaninov,1864-10-25,1956-01-03,Russia,http://www.wikidata.org/entity/Q508270,Q508270
154,Alexander Knaifel,1943-11-28,2200-01-01,Uzbekistan,http://www.wikidata.org/entity/Q1935233,Q1935233
155,Alexander Mackenzie,1847-08-22,1935-04-28,United Kingdom,http://www.wikidata.org/entity/Q674739,Q674739
158,Alexander Moyzes,1906-09-04,1984-11-20,Slovakia,http://www.wikidata.org/entity/Q1029499,Q1029499
159,Alexander Raskatov,1953-03-09,2200-01-01,Russia,http://www.wikidata.org/entity/Q2621348,Q2621348
160,Alexander Serov,1820-01-23,1871-02-01,Russia,http://www.wikidata.org/entity/Q442978,Q442978
163,Alexander Spendiaryan,1871-11-01,1928-05-07,Ukraine,http://www.wikidata.org/entity/Q969702,Q969702
164,Alexander Zhurbin,1945-08-07,2200-01-01,Uzbekistan,http://www.wikidata.org/entity/Q4181867,Q4181867
165,Alexander von Zemlinsky,1871-10-14,1942-03-15,Austria,http://www.wikidata.org/entity/Q78524,Q78524
166,Alexander von Zemlinsky,1871-10-14,1942-03-16,Austria,http://www.wikidata.org/entity/Q78524,Q78524
167,Alexander von Zemlinsky,1872-10-04,1942-03-15,Austria,http://www.wikidata.org/entity/Q78524,Q78524
168,Alexander von Zemlinsky,1872-10-04,1942-03-16,Austria,http://www.wikidata.org/entity/Q78524,Q78524
193,Alexey Verstovsky,1799-03-01,1862-11-17,Russia,http://www.wikidata.org/entity/Q612142,Q612142
194,Alfred Bruneau,1857-03-03,1934-06-15,France,http://www.wikidata.org/entity/Q933351,Q933351
203,Alfred Cellier,1844-12-01,1891-12-28,United Kingdom,http://www.wikidata.org/entity/Q2603318,Q2603318
204,Alfred Schnittke,1934-11-24,1998-08-03,Russia,http://www.wikidata.org/entity/Q158078,Q158078
206,Alfredo Casella,1883-07-25,1947-03-05,Italy,http://www.wikidata.org/entity/Q337343,Q337343
207,Alfredo Catalani,1854-06-19,1893-08-07,Italy,http://www.wikidata.org/entity/Q352722,Q352722
213,Alfredo Keil,1850-07-03,1907-10-04,Portugal,http://www.wikidata.org/entity/Q1437304,Q1437304
214,Alois Hába,1893-06-21,1973-11-18,Czech Republic,http://www.wikidata.org/entity/Q366711,Q366711
216,Alun Hoddinott,1929-08-11,2008-03-11,United Kingdom,http://www.wikidata.org/entity/Q447945,Q447945
217,Amadeu Vives i Roig,1871-11-18,1932-12-01,Spain,http://www.wikidata.org/entity/Q2648593,Q2648593
218,Amadeu Vives i Roig,1871-11-18,1932-12-02,Spain,http://www.wikidata.org/entity/Q2648593,Q2648593
219,Amadeu Vives i Roig,1876-11-18,1932-12-01,Spain,http://www.wikidata.org/entity/Q2648593,Q2648593
220,Amadeu Vives i Roig,1876-11-18,1932-12-02,Spain,http://www.wikidata.org/entity/Q2648593,Q2648593
221,Ambroise Thomas,1811-08-05,1896-02-12,France,http://www.wikidata.org/entity/Q297717,Q297717
227,Amilcare Ponchielli,1834-08-31,1886-01-16,Italy,http://www.wikidata.org/entity/Q207390,Q207390
233,Amy Beach,1867-09-05,1944-12-27,United States of America,http://www.wikidata.org/entity/Q235699,Q235699
234,Anatoly Bogatyrev,1913-08-26,2003-09-19,Belarus,http://www.wikidata.org/entity/Q2074927,Q2074927
236,Andrea Adolfati,1721-01-01,1760-10-28,Italy,http://www.wikidata.org/entity/Q2846288,Q2846288
240,Andrea Mattioli,1617-10-15,1679-10-02,Italy,http://www.wikidata.org/entity/Q3615845,Q3615845
241,Andreas Hallén,1846-12-22,1925-03-11,Sweden,http://www.wikidata.org/entity/Q497831,Q497831
242,André Amellér,1912-01-02,1990-05-14,France,http://www.wikidata.org/entity/Q516781,Q516781
244,André Campra,1660-12-04,1744-06-29,France,http://www.wikidata.org/entity/Q313860,Q313860
260,André Cardinal Destouches,1672-04-06,1749-02-07,France,http://www.wikidata.org/entity/Q517636,Q517636
268,André Grétry,1741-02-08,1813-09-24,Belgium,http://www.wikidata.org/entity/Q210962,Q210962
291,André Messager,1853-12-30,1929-02-24,France,http://www.wikidata.org/entity/Q457645,Q457645
297,André Previn,1929-04-06,2200-01-01,Germany,http://www.wikidata.org/entity/Q155712,Q155712
299,Angelo Tarchi,1760-01-01,1814-08-19,Italy,http://www.wikidata.org/entity/Q536729,Q536729
301,Ann Millikan,1963-01-01,2200-01-01,United States of America,http://www.wikidata.org/entity/Q16148489,Q16148489
302,Anthony Davis,1951-02-20,2200-01-01,United States of America,http://www.wikidata.org/entity/Q344683,Q344683
303,Antoine Dauvergne,1713-10-03,1797-02-11,France,http://www.wikidata.org/entity/Q586017,Q586017
