clean_name,other_names,year_of_birth,year_of_death,place_of_birth,gender,source,operabase_name,stanford_name
"Ábrányi, Emil","Ábrányi, Emil",1882,,Hungary,,opera.stanford,,"Ábrányi, Emil"
"Ádám, Jenö","Ádám, Jenö",1896,1982,Hungary,,opera.stanford,,"Ádám, Jenö"
"Ásgeirsson, Jón","Ásgeirsson, Jón",1928,,Iceland,,opera.stanford,,"Ásgeirsson, Jón"
"Ölander, Per August","Ölander, Per [Pehr] August",1824,1886,Sweden,,opera.stanford,,"Ölander, Per [Pehr] August"
"Åhlström, Olof","Åhlström, Olof",1756,1835,Sweden,,opera.stanford,,"Åhlström, Olof"
"Åkerberg, Erik","Åkerberg, (Carl) Erik (Emanuel)",1860,1938,Sweden,,opera.stanford,,"Åkerberg, (Carl) Erik (Emanuel)"
"Aav, Evald","Aav, Evald",1900,1939,Estonia,,opera.stanford,,"Aav, Evald"
"Abbà Cornaglia, Pietro","Abbà Cornaglia, Pietro",1851,1894,Italy,,opera.stanford,,"Abbà Cornaglia, Pietro"
"Abbadia, Natale","Abbadia, Natale",1792,1861,Italy,,opera.stanford,,"Abbadia, Natale"
"Abbatini, Antonio Maria","Abbatini, Antonio Maria",1597,1679,Italy,,opera.stanford,,"Abbatini, Antonio Maria"
"Abdullaev, ",Abdullaev,1947,,Uzbekistan,Male,operabase,Abdullaev,
"Abeille, Ludwig","Abeille, (Johann Christian) Ludwig",1761,1838,Germany,,opera.stanford,,"Abeille, (Johann Christian) Ludwig"
"Abert, Johann Joseph","Abert, Johann Joseph",1832,1915,Germany,,opera.stanford,,"Abert, Johann Joseph"
"Abos, Girolamo","Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",1715,1760,Malta,,opera.stanford,,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"
"Aboulker, Isabelle",Aboulker Isabelle,1938,,France,Female,operabase,Aboulker,Aboulker Isabelle
"Abraham, ",Abraham,1892,1960,Hungary,Male,operabase,Abraham,"Abraham [Ábráham], Paul [Pál]"
"Abramsky, Alexander","Abramsky, Alexander",1898,1985,Ukraine,,opera.stanford,,"Abramsky, Alexander"
"Absil, Jean","Absil, Jean",1893,1974,Belgium,,opera.stanford,,"Absil, Jean"
"Abt, Franz","Abt, Franz (Wilhelm)",1819,1885,Germany,,opera.stanford,,"Abt, Franz (Wilhelm)"
"Acciaiuoli, Filippo","Acciaiuoli, Filippo",1637,1700,Italy,,opera.stanford,,"Acciaiuoli, Filippo"
"Accorimboni, Agostino","Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino",1739,1818,Italy,,opera.stanford,,"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino"
"Aceves y Lozano, Rafael","Aceves y Lozano, Rafael",1837,1876,Spain,,opera.stanford,,"Aceves y Lozano, Rafael"
"Acton, Carlo","Acton, Carlo [Charles]",1829,1909,Italy,,opera.stanford,,"Acton, Carlo [Charles]"
"Ada, ",Ada,1953,,Turkey,Male,operabase,Ada,
"Adalid y Gurréa, Marcial del","Adalid y Gurréa, Marcial del",1826,1881,Spain,,opera.stanford,,"Adalid y Gurréa, Marcial del"
"Adam, Adolphe ",AdamA,1803,1856,France,Male,operabase,AdamA,"Adam, Adolphe(-Charles)"
"Adamo, Mark","Adamo, Mark",1962,,United States,,opera.stanford,Adamo,"Adamo, Mark"
"Adams, John","Adams, John (Coolidge)",1947,,United Kingdom,,opera.stanford,Adams,"Adams, John (Coolidge)"
"Adams, Leslie","Adams, (Harrison) Leslie",1932,,United States,,opera.stanford,,"Adams, (Harrison) Leslie"
"Adaskin, Murray","Adaskin, Murray",1906,2002,Canada,,opera.stanford,,"Adaskin, Murray"
"Addison, John","Addison, John",1766,1844,United Kingdom,,opera.stanford,,"Addison, John"
"Adelburg, August","Adelburg, August",1830,1873,Austria,,opera.stanford,,"Adelburg, August"
"Aderhold, ",Aderhold,1966,,Germany,Male,operabase,Aderhold,
"Ades, ",Ades,1971,,United Kingdom,Male,operabase,Ades,
"Adigozalov, ",Adigozalov,1935,2006,Azerbaijan,Male,operabase,Adigozalov,
"Adler, Samuel","Adler, Samuel (Hans)",1928,,Germany,,opera.stanford,,"Adler, Samuel (Hans)"
"Adlgasser, Anton Cajetan","Adlgasser, Anton Cajetan",1729,1777,Austria,,opera.stanford,,"Adlgasser, Anton Cajetan"
"Adolfati, Andrea","Adolfati, Andrea",1721,1760,Italy,,opera.stanford,,"Adolfati, Andrea"
"Adomaitis, ",Adomaitis,1983,,Lithuania,Male,operabase,Adomaitis,
"Adomián, Lan","Adomián, Lan",1905,1979,Belarus,,opera.stanford,,"Adomián, Lan"
"Adrien, Ferdinand","Adrien, Ferdinand",1770,1830,Belgium,,opera.stanford,,"Adrien, Ferdinand"
"Adrien, Martin Joseph","Adrien, J.",1768,1824,Belgium,,opera.stanford,,"Adrien, J."
"Adwan, Moneim",Adwan Moneim,1970,,Palestinian Territory,Male,operabase,Adwan,
