,Work,Theatre,City,country,date
0,The Merry Widow,Adelaide Festival Centre,Adelaide,SA,2018-11-29
1,Lucia di Lammermoor,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2018-06-28
2,Handel's Athalia,City Recital Hall,Sydney,NSW,2018-06-21
3,The Pearl Fishers,Adelaide Festival Centre,Adelaide,SA,2018-05-12
4,Les Mamelles de Tiresias,Chapel Loft,Prahran,VIC,2018-04-07
5,La Boheme on Sydney Harbour,Mrs Macquarie's Point,Sydney,NSW,2018-03-23
6,Don Quichotte,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2018-03-16
7,La Traviata,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2018-03-01
8,The Nose,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2018-02-21
9,The Opera Gala on New Year's Eve,Concert Hall (Sydney Opera House),Sydney,NSW,2017-12-31
10,Coronation of Poppea ,City Recital Hall,Sydney,NSW,2017-11-30
12,Die Fledermaus,Her Majesty's Theatre,Adelaide,SA,2017-10-24
13,Madama Butterfly,Capitol Theatre,Haymarket,NSW,2017-10-24
14,La Voix Humaine,The Carlton Club,Melbourne,VIC,2017-09-25
15,Aida on the Beach,Coolangatta Beach,Coolangatta,QLD,2017-09-21
17,Mozart Airborne,Cremorne Theatre,South Brisbane,QLD,2017-08-05
19,Carmen,Mrs Macquarie's Point,Sydney,NSW,2017-03-24
20,Saul,Festival Theatre,Adelaide,SA,2017-03-03
22,Carmen,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2017-02-10
24,La Bohème,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2017-01-04
25,The Ring Cycle,State Theatre,Melbourne,VIC,2016-11-21
26,The Bartered Bride,Rockdale Town Hall,Rockdale,NSW,2016-11-12
28,Anna Bolena (Anne Boleyn),Athenaeum Theatre,Melbourne,VIC,2016-11-02
29,The Pearl Fishers,His Majesty's Theatre,Perth,WA,2016-10-25
30,The Marriage of Figaro,Princess Theatre,Launceston,TAS,2016-09-06
31,The Marriage of Figaro,Theatre Royal,Hobart,TAS,2016-09-01
32,The Marriage of Figaro,Burnie Arts and Function Centre,Burnie,TAS,2016-08-30
33,The Marriage of Figaro,Canberra Theatre,Canberra,ACT,2016-08-25
34,Project Rossini,Empire Theatre,Toowoomba,QLD,2016-08-24
35,The Marriage of Figaro,Albury Entertainment Centre,Albury,NSW,2016-08-23
36,The Marriage of Figaro,Riverside Theatres,Parramatta,NSW,2016-08-19
37,Project Rossini,Cairns,Cairns,QLD,2016-08-19
39,Lucia di Lammermoor,Theatre Royal,Hobart,TAS,2016-08-17
40,Project Rossini,Townsville Civic Theatre,South Townsville,QLD,2016-08-17
41,The Marriage of Figaro,IMB Theatre,Wollongong,NSW,2016-08-16
42,Notes from Underground,Carriageworks,Eveleigh,NSW,2016-08-13
43,The Marriage of Figaro,"Glasshouse Arts, Conference & Entertainment Centre",Port Macquarie,NSW,2016-08-13
44,Project Rossini,Mackay Entertainment Centre,Mackay,QLD,2016-08-13
45,The Marriage of Figaro,New England Conservatorium of Music,Armidale,NSW,2016-08-11
46,Project Rossini,Gladstone Entertainment Centre,Gladstone,QLD,2016-08-10
47,The Marriage of Figaro,Dubbo Regional Theatre and Convention Centre,Dubbo,NSW,2016-08-09
48,Project Rossini,Pilbeam Theatre,Rockhampton,QLD,2016-08-06
49,Cosi Fan Tutte,Q Theatre,Penrith,NSW,2016-08-06
50,The Marriage of Figaro,Capitol Theatre,Tamworth,NSW,2016-08-06
51,The Marriage of Figaro,Orange Civic Theatre,Orange,NSW,2016-08-04
52,Project Rossini,Brolga Theatre,Maryborough,QLD,2016-08-03
53,The Marriage of Figaro,Bathurst Memorial Entertainment Centre,Bathurst,NSW,2016-08-02
54,Orpheus in the Underworld,Rockdale Town Hall,Rockdale,NSW,2016-07-30
55,The Marriage of Figaro,Wagga Wagga Civic Theatre,Wagga Wagga,NSW,2016-07-30
56,Project Rossini,Gold Coast Arts Centre,Surfers Paradise,QLD,2016-07-29
57,The Pied Piper,Playhouse,Melbourne,VIC,2016-07-28
58,The Marriage of Figaro,West Gippsland Arts Centre,Warragul,VIC,2016-07-28
59,The Marriage of Figaro,Lighthouse Theatre,Warrnambool,VIC,2016-07-26
60,Simon Boccanegra,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2016-07-26
61,The Marriage of Figaro,Her Majesty's Theatre,Ballarat,VIC,2016-07-23
62,The Marriage of Figaro,Ulumbarra Theatre,Bendigo,VIC,2016-07-21
63,Cosi Fan Tutte,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2016-07-19
64,The Marriage of Figaro,Wangaratta Arts Centre,Wangaratta  ,VIC,2016-07-19
65,Cinderella,Playhouse,Melbourne,VIC,2016-07-16
66,The Marriage of Figaro,Drum Theatre,Dandenong,VIC,2016-07-15
67,The Elixir of Love,His Majesty's Theatre,Perth,WA,2016-07-14
68,The Marriage of Figaro,Maitland Town Hall,Maitland,NSW,2016-07-10
69,Cosi Fan Tutte,Leichhardt Italian Forum Theatre,Leichardt,NSW,2016-07-09
70,The Barber of Seville,Playhouse,South Bank,QLD,2016-07-09
71,The Marriage of Figaro,Lake Macquarie Performing Arts Centre,Warners Bay,NSW,2016-06-15
73,Il Signor Bruschino,Chapel Off Chapel,Prahran,VIC,2016-06-06
75,Luisa Miller,State Theatre,Melbourne,VIC,2016-05-16
76,Madama Butterfly,Lyric Theatre,South Brisbane,QLD,2016-05-12
77,Cloudstreet,Her Majesty's Theatre,Adelaide,SA,2016-05-12
78,The Pearlfishers,State Theatre,Melbourne,VIC,2016-05-07
79,La Bohème,State Theatre,Melbourne,VIC,2016-05-03
80,Mansfield Park,Independent Theatre,North Sydney,NSW,2016-04-20
81,This Time Tomorrow,Dame Joan Sutherland Performing Arts Centre,Penrith,NSW,2016-04-16
82,Lucia di Lammermoor,Her Majesty's Theatre,Melbourne,VIC,2016-04-12
83,Pygmalion,Chapel Off Chapel,Prahran,VIC,2016-04-05
84,Ariadne auf Naxos,Hawthorn Arts Centre,Hawthorn,VIC,2016-04-02
85,Turandot,Sydney Harbour,Sydney,NSW,2016-03-24
86,Voyage to the Moon,Adelaide Town Hall,Adelaide,SA,2016-03-11
87,Voyage to the Moon,Perth Concert Hall,Perth,WA,2016-03-07
88,Voyage to the Moon,Llewellyn Hall,Acton,ACT,2016-03-04
89,Voyage to the Moon,Conservatorium Theatre,South Bank,QLD,2016-02-29
90,Voyage to the Moon,City Recital Hall,Sydney,NSW,2016-02-22
