,country,city,venue,date,composer,work,listing_url
0,Switzerland,Geneva,L'Opéra des Nations,2018-June-01,"Mozart, Wolfgang Amadeus (1756-1791)",Don Giovanni,https://bachtrack.com/opera-listing/lopera-des-nations/don-giovanni/01-june-2018/19-30
1,Switzerland,Geneva,L'Opéra des Nations,2018-June-03,"Mozart, Wolfgang Amadeus (1756-1791)",Don Giovanni,https://bachtrack.com/opera-listing/lopera-des-nations/don-giovanni/01-june-2018/19-30
2,Switzerland,Geneva,L'Opéra des Nations,2018-June-08,"Mozart, Wolfgang Amadeus (1756-1791)",Don Giovanni,https://bachtrack.com/opera-listing/lopera-des-nations/don-giovanni/01-june-2018/19-30
3,Switzerland,Geneva,L'Opéra des Nations,2018-June-11,"Mozart, Wolfgang Amadeus (1756-1791)",Don Giovanni,https://bachtrack.com/opera-listing/lopera-des-nations/don-giovanni/01-june-2018/19-30
4,Switzerland,Geneva,L'Opéra des Nations,2018-June-13,"Mozart, Wolfgang Amadeus (1756-1791)",Don Giovanni,https://bachtrack.com/opera-listing/lopera-des-nations/don-giovanni/01-june-2018/19-30
5,Switzerland,Geneva,L'Opéra des Nations,2018-June-15,"Mozart, Wolfgang Amadeus (1756-1791)",Don Giovanni,https://bachtrack.com/opera-listing/lopera-des-nations/don-giovanni/01-june-2018/19-30
6,Switzerland,Geneva,L'Opéra des Nations,2018-June-17,"Mozart, Wolfgang Amadeus (1756-1791)",Don Giovanni,https://bachtrack.com/opera-listing/lopera-des-nations/don-giovanni/01-june-2018/19-30
7,United Kingdom,Aldeburgh,"Britten Studio, Snape Maltings",2018-June-08,"Howard, Emily (b. 1979)",To See The Invisible,https://bachtrack.com/opera-listing/britten-studio-snape-maltings/to-see-the-invisible/08-june-2018/21-30
8,United Kingdom,Aldeburgh,"Britten Studio, Snape Maltings",2018-June-10,"Howard, Emily (b. 1979)",To See The Invisible,https://bachtrack.com/opera-listing/britten-studio-snape-maltings/to-see-the-invisible/08-june-2018/21-30
9,United Kingdom,Aldeburgh,"Britten Studio, Snape Maltings",2018-June-11,"Howard, Emily (b. 1979)",To See The Invisible,https://bachtrack.com/opera-listing/britten-studio-snape-maltings/to-see-the-invisible/08-june-2018/21-30
10,Spain,Barcelona,Gran Teatre del Liceu,2018-June-08,"Puccini, Giacomo (1858-1924)",Manon Lescaut,https://bachtrack.com/opera-listing/gran-teatre-del-liceu/manon-lescaut/08-june-2018/20-00
11,Spain,Barcelona,Gran Teatre del Liceu,2018-June-11,"Puccini, Giacomo (1858-1924)",Manon Lescaut,https://bachtrack.com/opera-listing/gran-teatre-del-liceu/manon-lescaut/08-june-2018/20-00
12,Spain,Barcelona,Gran Teatre del Liceu,2018-June-14,"Puccini, Giacomo (1858-1924)",Manon Lescaut,https://bachtrack.com/opera-listing/gran-teatre-del-liceu/manon-lescaut/08-june-2018/20-00
13,Spain,Barcelona,Gran Teatre del Liceu,2018-June-17,"Puccini, Giacomo (1858-1924)",Manon Lescaut,https://bachtrack.com/opera-listing/gran-teatre-del-liceu/manon-lescaut/08-june-2018/20-00
14,Spain,Barcelona,Gran Teatre del Liceu,2018-June-20,"Puccini, Giacomo (1858-1924)",Manon Lescaut,https://bachtrack.com/opera-listing/gran-teatre-del-liceu/manon-lescaut/08-june-2018/20-00
15,Spain,Barcelona,Gran Teatre del Liceu,2018-June-22,"Puccini, Giacomo (1858-1924)",Manon Lescaut,https://bachtrack.com/opera-listing/gran-teatre-del-liceu/manon-lescaut/08-june-2018/20-00
