,composer,work,theatre,city,date
0,Richard Wagner,Tristan und Isolde ,Royal Opera House Covent Garden,London,2000-10-17
1,Richard Wagner,Tristan und Isolde ,Royal Opera House Covent Garden,London,2000-10-21
2,Richard Wagner,Tristan und Isolde ,Royal Opera House Covent Garden,London,2000-10-24
3,Giuseppe Verdi,Aida ,Royal Albert Hall,London,2000-10-26
4,Richard Wagner,Tristan und Isolde ,Royal Opera House Covent Garden,London,2000-10-30
5,Richard Wagner,Tristan und Isolde ,Royal Opera House Covent Garden,London,2000-11-03
6,W S Gilbert & Sir Arthur Sullivan,Iolanthe (or The Peer and the Peri) ,Symphony Hall,Birmingham,2000-11-03
7,Giuseppe Verdi,"Un ballo in maschera, 'A masked ball' ",Preston Guildhall,Preston,2000-11-08
8,Richard Wagner,Tristan und Isolde ,Royal Opera House Covent Garden,London,2000-11-09
9,Georges Bizet,Carmen ,Symphony Hall,Birmingham,2000-11-09
10,Giuseppe Verdi,"Un ballo in maschera, 'A masked ball' ",Preston Guildhall,Preston,2000-11-09
11,Giuseppe Verdi,"Un ballo in maschera, 'A masked ball' ",Preston Guildhall,Preston,2000-11-10
12,Christoph Willibald Gluck,Orfeo ed Euridice (Orpheus and Eurydice) ,Symphony Hall,Birmingham,2000-11-11
13,Giuseppe Verdi,"Un ballo in maschera, 'A masked ball' ",Preston Guildhall,Preston,2000-11-11
14,Franz Lehár," 
								Quartet from 'Rigoletto' 
						",Hall for Cornwall,Truro,2000-11-15
15,Giuseppe Verdi,La Traviata ,Royal Opera House Covent Garden,London,2000-11-24
16,Giacomo Puccini,Tosca ,Royal Albert Hall,London,2000-11-26
17,Gioachino Rossini,"La Donna del Lago, 'The Lady of the Lake' ",St John's Smith Square,London,2000-11-27
18,Giuseppe Verdi,La Traviata ,Royal Opera House Covent Garden,London,2000-11-27
19,Giuseppe Verdi,La Traviata ,Royal Opera House Covent Garden,London,2000-11-30
20,Mauricio Kagel,"Mitternachtsstük, (Midnightpiece) ",Symphony Hall,Birmingham,2000-12-01
21,Ruggiero Leoncavallo,La Boheme ,The London Coliseum,London,2000-12-01
22,Christoph Willibald Gluck,Orfeo ed Euridice (Orpheus and Eurydice) ,Bristol Hippodrome,Bristol,2000-12-01
23,Wolfgang Amadeus Mozart,Don Giovanni K 527,New Theatre,Oxford,2000-12-01
24,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-01
25,Richard Wagner,"Der Fliegende Hollander, 'The Flying Dutchman' ",Metropolitan Opera,New York,2000-12-01
26,Giuseppe Verdi,Nabucco ,The London Coliseum,London,2000-12-02
27,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",New Theatre,Oxford,2000-12-02
28,Georges Bizet,Carmen ,Bristol Hippodrome,Bristol,2000-12-02
29,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-02
30,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-02
31,Hector Berlioz," 
								The Trojans Part 2, 'The Trojans at Carthage' 
						",Barbican Hall,London,2000-12-03
32,Hector Berlioz," 
								The Trojans Part 1, 'The Siege of Troy' 
						",Barbican Hall,London,2000-12-03
33,Giuseppe Verdi,La Traviata ,Royal Opera House Covent Garden,London,2000-12-05
34,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-05
35,Wolfgang Amadeus Mozart,Don Giovanni K 527,Regent Theatre,Stoke-on-Trent,2000-12-05
36,Giuseppe Verdi,Nabucco ,The London Coliseum,London,2000-12-06
37,Hector Berlioz," 
								The Trojans Part 1, 'The Siege of Troy' 
						",Barbican Hall,London,2000-12-06
38,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-06
39,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-06
40,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",Regent Theatre,Stoke-on-Trent,2000-12-06
41,Hector Berlioz," 
								The Trojans Part 2, 'The Trojans at Carthage' 
						",Barbican Hall,London,2000-12-07
42,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-07
43,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-07
44,Sir Harrison Birtwistle,The Last Supper ,Regent Theatre,Stoke-on-Trent,2000-12-07
45,Giuseppe Verdi,Nabucco ,The London Coliseum,London,2000-12-08
46,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-08
47,Wolfgang Amadeus Mozart,Don Giovanni K 527,Regent Theatre,Stoke-on-Trent,2000-12-08
48,Giuseppe Verdi,La Traviata ,Royal Opera House Covent Garden,London,2000-12-09
49,Hector Berlioz," 
								The Trojans Part 2, 'The Trojans at Carthage' 
						",Barbican Hall,London,2000-12-09
50,Hector Berlioz," 
								The Trojans Part 1, 'The Siege of Troy' 
						",Barbican Hall,London,2000-12-09
51,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-09
52,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-09
53,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",Regent Theatre,Stoke-on-Trent,2000-12-09
54,Wallace Fields,Kinneret ,Purcell Room,London,2000-12-10
55,Arcangelo Corelli,Venus and Adonis ,"Queen Elizabeth Hall, Southbank Centre",London,2000-12-10
56,Giuseppe Verdi,Nabucco ,The London Coliseum,London,2000-12-12
57,Composer Not Known,Composition Not Known ,Royal Albert Hall,London,2000-12-12
58,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-12
59,Giuseppe Verdi,La Traviata ,Royal Opera House Covent Garden,London,2000-12-13
60,Luigi Dallapiccola,Folk Songs ,The London Coliseum,London,2000-12-13
61,Composer Not Known,Composition Not Known ,Royal Albert Hall,London,2000-12-13
62,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-13
63,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-13
64,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-14
65,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-14
66,Giuseppe Verdi,Nabucco ,The London Coliseum,London,2000-12-15
67,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-15
68,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-16
69,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-16
70,Giuseppe Verdi,La Traviata ,Royal Opera House Covent Garden,London,2000-12-18
71,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-19
72,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-20
73,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-20
74,Gioachino Rossini,"La Cenerentola, 'Cinderella' ",Royal Opera House Covent Garden,London,2000-12-21
75,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-21
76,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-21
77,Giacomo Puccini," 
								Excerpts from 'Madama Butterfly' 
						",Royal Concert Hall,Nottingham,2000-12-22
78,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-22
79,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-23
80,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-23
81,Johann Strauss II," 
								Excerpts from 'Die Fledermaus' 
						","Queen Elizabeth Hall, Southbank Centre",London,2000-12-26
82,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-26
83,Johann Strauss II,Die Fledermaus ,"Queen Elizabeth Hall, Southbank Centre",London,2000-12-27
84,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-27
85,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-27
86,Johann Strauss II,Die Fledermaus ,"Queen Elizabeth Hall, Southbank Centre",London,2000-12-28
87,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-28
88,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-28
89,Giacomo Puccini,Overture to 'William Tell' ,Symphony Hall,Birmingham,2000-12-29
90,Johann Strauss II," 
								Excerpts from 'Die Fledermaus' 
						","Queen Elizabeth Hall, Southbank Centre",London,2000-12-29
91,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-29
92,Johann Strauss II," 
								Excerpts from 'Die Fledermaus' 
						","Queen Elizabeth Hall, Southbank Centre",London,2000-12-30
93,Johann Strauss II," 
								Excerpts from 'Die Fledermaus' 
						","Queen Elizabeth Hall, Southbank Centre",London,2000-12-30
94,Giacomo Puccini,Overture to 'William Tell' ,Barbican Hall,London,2000-12-30
95,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-30
96,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2000-12-30
97,Pyotr Tchaikovsky,Composition Not Known ,The Bridgewater Hall,Manchester,2000-12-31
98,Johann Strauss II," 
								Excerpts from 'Die Fledermaus' 
						","Queen Elizabeth Hall, Southbank Centre",London,2001-01-01
99,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",Royal Festival Hall,London,2001-01-11
100,Henry Purcell," 
								Excerpts from 'Timon of Athens' Z632
						","Queen Elizabeth Hall, Southbank Centre",London,2001-01-12
101,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",Royal Festival Hall,London,2001-01-12
102,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",Royal Festival Hall,London,2001-01-13
103,Giacomo Puccini,"La Bohème, 'Bohemian Life' ",Royal Festival Hall,London,2001-01-14
104,(Franz) Joseph Haydn,Orfeo ed Euridice ,Symphony Hall,Birmingham,2001-01-20
105,Giuseppe Verdi," 
								Excerpts from 'Nabucco' 
						",The Bridgewater Hall,Manchester,2001-01-25
106,Giuseppe Verdi," 
								Overture to 'La Forza del Destino' 
						",Symphony Hall,Birmingham,2001-01-26
107,Sir Harrison Birtwistle,The Last Supper ,"Queen Elizabeth Hall, Southbank Centre",London,2001-01-26
108,Giuseppe Verdi," 
								Excerpts from 'Nabucco' 
						",The Bridgewater Hall,Manchester,2001-01-27
109,Ruggiero Leoncavallo,La Boheme ,"Pavilion Theatre, International Centre",Bournemouth,2001-01-27
110,Giuseppe Verdi,Composition Not Known ,Queen's Hall,Edinburgh,2001-01-27
111,Giuseppe Verdi," 
								Overture to 'La Forza del Destino' 
						",Barbican Hall,London,2001-01-27
112,Peter Ash,Charlie and the Chocolate Factory ,The Bridgewater Hall,Manchester,2001-02-02
113,Robert Schumann,Genoveva Op 81,"Queen Elizabeth Hall, Southbank Centre",London,2001-02-02
114,Emmerich (Irme) Kálmán,"Die Csardasfurstin, 'The Gypsy Princess' ","Opera Theatre, Sydney Opera House",Sydney,2001-02-02
115,Emmerich (Irme) Kálmán,"Die Csardasfurstin, 'The Gypsy Princess' ","Opera Theatre, Sydney Opera House",Sydney,2001-02-03
116,Giuseppe Verdi,La Traviata ,"Opera Theatre, Sydney Opera House",Sydney,2001-02-03
117,Emmerich (Irme) Kálmán,"Die Csardasfurstin, 'The Gypsy Princess' ","Opera Theatre, Sydney Opera House",Sydney,2001-02-05
118,Emmerich (Irme) Kálmán,"Die Csardasfurstin, 'The Gypsy Princess' ","Opera Theatre, Sydney Opera House",Sydney,2001-02-07
119,Emmerich (Irme) Kálmán,"Die Csardasfurstin, 'The Gypsy Princess' ","Opera Theatre, Sydney Opera House",Sydney,2001-02-08
120,Wolfgang Amadeus Mozart,Così fan tutte K588,"Opera Theatre, Sydney Opera House",Sydney,2001-02-09
121,Wolfgang Amadeus Mozart,The Marriage of Figaro K492,New Theatre,Cardiff,2001-02-10
122,Richard Wagner,Tristan und Isolde ,Leeds Town Hall,Leeds,2001-02-10
123,Emmerich (Irme) Kálmán,"Die Csardasfurstin, 'The Gypsy Princess' ","Opera Theatre, Sydney Opera House",Sydney,2001-02-10
124,Giuseppe Verdi,La Traviata ,"Opera Theatre, Sydney Opera House",Sydney,2001-02-10
125,Giuseppe Verdi,Macbeth ,Carnegie Hall,New York,2001-02-12
126,Wolfgang Amadeus Mozart,Così fan tutte K588,"Opera Theatre, Sydney Opera House",Sydney,2001-02-12
