,work,composer,date
0,A Midsummer Night's Dream,Benjamin Britten,1981-06-21
1,A Midsummer Night's Dream,Benjamin Britten,1981-06-23
2,A Midsummer Night's Dream,Benjamin Britten,1981-06-25
3,A Midsummer Night's Dream,Benjamin Britten,1981-06-27
4,A Midsummer Night's Dream,Benjamin Britten,1981-07-01
5,A Midsummer Night's Dream,Benjamin Britten,1981-07-03
6,A Midsummer Night's Dream,Benjamin Britten,1981-07-05
7,A Midsummer Night's Dream,Benjamin Britten,1981-07-07
8,A Midsummer Night's Dream,Benjamin Britten,1981-07-10
9,A Midsummer Night's Dream,Benjamin Britten,1981-07-12
10,A Midsummer Night's Dream,Benjamin Britten,1981-08-24
11,A Midsummer Night's Dream,Benjamin Britten,1981-09-26
12,A Midsummer Night's Dream,Benjamin Britten,1981-09-28
13,A Midsummer Night's Dream,Benjamin Britten,1981-10-01
14,A Midsummer Night's Dream,Benjamin Britten,1981-10-09
15,A Midsummer Night's Dream,Benjamin Britten,1981-10-16
16,A Midsummer Night's Dream,Benjamin Britten,1981-10-23
17,A Midsummer Night's Dream,Benjamin Britten,1981-10-30
18,A Midsummer Night's Dream,Benjamin Britten,1984-08-01
19,A Midsummer Night's Dream,Benjamin Britten,1984-08-05
20,A Midsummer Night's Dream,Benjamin Britten,1984-08-07
21,A Midsummer Night's Dream,Benjamin Britten,1984-08-08
22,A Midsummer Night's Dream,Benjamin Britten,1984-08-10
23,A Midsummer Night's Dream,Benjamin Britten,1984-08-12
24,A Midsummer Night's Dream,Benjamin Britten,1984-08-13
25,A Midsummer Night's Dream,Benjamin Britten,1984-08-15
26,A Midsummer Night's Dream,Benjamin Britten,1984-08-17
27,A Midsummer Night's Dream,Benjamin Britten,1985-10-12
28,A Midsummer Night's Dream,Benjamin Britten,1985-10-16
29,A Midsummer Night's Dream,Benjamin Britten,1985-10-17
30,A Midsummer Night's Dream,Benjamin Britten,1985-10-24
31,A Midsummer Night's Dream,Benjamin Britten,1985-10-31
32,A Midsummer Night's Dream,Benjamin Britten,1985-11-06
33,A Midsummer Night's Dream,Benjamin Britten,1985-11-14
34,A Midsummer Night's Dream,Benjamin Britten,1986-02-04
35,A Midsummer Night's Dream,Benjamin Britten,1986-02-06
36,A Midsummer Night's Dream,Benjamin Britten,1986-02-08
37,A Midsummer Night's Dream,Benjamin Britten,1989-06-09
38,A Midsummer Night's Dream,Benjamin Britten,1989-06-12
39,A Midsummer Night's Dream,Benjamin Britten,1989-06-16
40,A Midsummer Night's Dream,Benjamin Britten,1989-06-20
41,A Midsummer Night's Dream,Benjamin Britten,1989-06-27
42,A Midsummer Night's Dream,Benjamin Britten,1989-07-01
43,A Midsummer Night's Dream,Benjamin Britten,1989-07-03
44,A Midsummer Night's Dream,Benjamin Britten,1989-07-08
45,A Midsummer Night's Dream,Benjamin Britten,1989-07-10
46,A Midsummer Night's Dream,Benjamin Britten,1989-07-13
47,A Midsummer Night's Dream,Benjamin Britten,1989-07-17
48,A Midsummer Night's Dream,Benjamin Britten,1989-07-23
49,A Midsummer Night's Dream,Benjamin Britten,2001-05-21
50,A Midsummer Night's Dream,Benjamin Britten,2001-05-25
51,A Midsummer Night's Dream,Benjamin Britten,2001-05-27
52,A Midsummer Night's Dream,Benjamin Britten,2001-06-01
53,A Midsummer Night's Dream,Benjamin Britten,2001-06-03
54,A Midsummer Night's Dream,Benjamin Britten,2001-06-07
55,A Midsummer Night's Dream,Benjamin Britten,2001-06-15
56,A Midsummer Night's Dream,Benjamin Britten,2001-06-19
57,A Midsummer Night's Dream,Benjamin Britten,2001-06-21
58,A Midsummer Night's Dream,Benjamin Britten,2001-06-24
59,A Midsummer Night's Dream,Benjamin Britten,2001-06-26
60,A Midsummer Night's Dream,Benjamin Britten,2001-06-30
61,A Midsummer Night's Dream,Benjamin Britten,2001-07-07
62,A Midsummer Night's Dream,Benjamin Britten,2006-06-11
63,A Midsummer Night's Dream,Benjamin Britten,2006-06-15
64,A Midsummer Night's Dream,Benjamin Britten,2006-06-18
65,A Midsummer Night's Dream,Benjamin Britten,2006-06-21
66,A Midsummer Night's Dream,Benjamin Britten,2006-06-24
67,A Midsummer Night's Dream,Benjamin Britten,2006-06-30
68,A Midsummer Night's Dream,Benjamin Britten,2006-07-09
69,A Midsummer Night's Dream,Benjamin Britten,2006-07-14
70,A Midsummer Night's Dream,Benjamin Britten,2006-07-16
71,A Midsummer Night's Dream,Benjamin Britten,2006-07-22
72,A Midsummer Night's Dream,Benjamin Britten,2006-07-27
73,A Midsummer Night's Dream,Benjamin Britten,2006-08-01
74,A Midsummer Night's Dream,Benjamin Britten,2006-08-07
75,A Midsummer Night's Dream,Benjamin Britten,2016-08-11
76,A Midsummer Night's Dream,Benjamin Britten,2016-08-13
77,A Midsummer Night's Dream,Benjamin Britten,2016-08-16
78,A Midsummer Night's Dream,Benjamin Britten,2016-08-18
79,A Midsummer Night's Dream,Benjamin Britten,2016-08-21
80,A Midsummer Night's Dream,Benjamin Britten,2016-08-23
81,A Midsummer Night's Dream,Benjamin Britten,2016-08-26
82,A Midsummer Night's Dream,Benjamin Britten,2016-08-28
83,Albert Herring,Benjamin Britten,1947-06-20
84,Albert Herring,Benjamin Britten,1947-06-23
85,Albert Herring,Benjamin Britten,1947-06-25
86,Albert Herring,Benjamin Britten,1947-06-28
87,Albert Herring,Benjamin Britten,1947-07-01
88,Albert Herring,Benjamin Britten,1947-07-04
89,Albert Herring,Benjamin Britten,1947-07-08
90,Albert Herring,Benjamin Britten,1947-07-10
91,Albert Herring,Benjamin Britten,1947-07-12
92,Albert Herring,Benjamin Britten,1985-07-05
93,Albert Herring,Benjamin Britten,1985-07-07
94,Albert Herring,Benjamin Britten,1985-07-10
95,Albert Herring,Benjamin Britten,1985-07-12
96,Albert Herring,Benjamin Britten,1985-07-14
97,Albert Herring,Benjamin Britten,1985-07-16
98,Albert Herring,Benjamin Britten,1985-07-20
99,Albert Herring,Benjamin Britten,1985-07-22
100,Albert Herring,Benjamin Britten,1985-07-24
101,Albert Herring,Benjamin Britten,1985-07-26
102,Albert Herring,Benjamin Britten,1985-07-28
103,Albert Herring,Benjamin Britten,1985-07-31
104,Albert Herring,Benjamin Britten,1985-08-02
105,Albert Herring,Benjamin Britten,1985-08-04
106,Albert Herring,Benjamin Britten,1985-08-20
107,Albert Herring,Benjamin Britten,1986-05-27
108,Albert Herring,Benjamin Britten,1986-05-29
109,Albert Herring,Benjamin Britten,1986-05-31
110,Albert Herring,Benjamin Britten,1986-06-05
111,Albert Herring,Benjamin Britten,1986-06-07
112,Albert Herring,Benjamin Britten,1986-06-09
113,Albert Herring,Benjamin Britten,1986-06-13
114,Albert Herring,Benjamin Britten,1986-06-15
115,Albert Herring,Benjamin Britten,1986-06-17
116,Albert Herring,Benjamin Britten,1986-06-19
117,Albert Herring,Benjamin Britten,1986-06-21
118,Albert Herring,Benjamin Britten,1986-06-23
119,Albert Herring,Benjamin Britten,1986-10-10
120,Albert Herring,Benjamin Britten,1986-10-11
121,Albert Herring,Benjamin Britten,1986-10-18
122,Albert Herring,Benjamin Britten,1986-10-25
123,Albert Herring,Benjamin Britten,1986-11-01
124,Albert Herring,Benjamin Britten,1986-11-08
125,Albert Herring,Benjamin Britten,1986-11-15
126,Albert Herring,Benjamin Britten,1986-08-16
127,Albert Herring,Benjamin Britten,1989-02-04
128,Albert Herring,Benjamin Britten,1989-02-05
129,Albert Herring,Benjamin Britten,1989-02-01
130,Albert Herring,Benjamin Britten,1990-05-24
131,Albert Herring,Benjamin Britten,1990-05-26
132,Albert Herring,Benjamin Britten,1990-05-29
133,Albert Herring,Benjamin Britten,1990-06-02
134,Albert Herring,Benjamin Britten,1990-06-04
135,Albert Herring,Benjamin Britten,1990-06-07
136,Albert Herring,Benjamin Britten,1990-06-09
137,Albert Herring,Benjamin Britten,1990-06-14
138,Albert Herring,Benjamin Britten,1990-06-16
139,Albert Herring,Benjamin Britten,1990-06-19
140,Albert Herring,Benjamin Britten,1990-06-23
141,Albert Herring,Benjamin Britten,1990-06-26
142,Albert Herring,Benjamin Britten,2002-08-10
143,Albert Herring,Benjamin Britten,2002-08-13
144,Albert Herring,Benjamin Britten,2002-08-16
145,Albert Herring,Benjamin Britten,2002-08-18
146,Albert Herring,Benjamin Britten,2002-08-20
147,Albert Herring,Benjamin Britten,2002-08-23
148,Albert Herring,Benjamin Britten,2002-08-25
149,Albert Herring,Benjamin Britten,2002-10-19
150,Albert Herring,Benjamin Britten,2002-10-23
151,Albert Herring,Benjamin Britten,2002-10-25
152,Albert Herring,Benjamin Britten,2002-10-31
153,Albert Herring,Benjamin Britten,2002-11-07
154,Albert Herring,Benjamin Britten,2002-11-14
155,Albert Herring,Benjamin Britten,2002-11-21
156,Albert Herring,Benjamin Britten,2002-11-28
157,Albert Herring,Benjamin Britten,2002-12-05
158,Albert Herring,Benjamin Britten,2007-11-01
159,Albert Herring,Benjamin Britten,2007-10-17
160,Albert Herring,Benjamin Britten,2007-10-20
161,Albert Herring,Benjamin Britten,2007-10-24
162,Albert Herring,Benjamin Britten,2007-10-26
163,Albert Herring,Benjamin Britten,2007-11-08
164,Albert Herring,Benjamin Britten,2007-11-15
165,Albert Herring,Benjamin Britten,2007-11-22
166,Albert Herring,Benjamin Britten,2007-11-29
167,Albert Herring,Benjamin Britten,2007-12-04
168,Albert Herring,Benjamin Britten,2007-12-07
169,Albert Herring,Benjamin Britten,2008-06-14
170,Albert Herring,Benjamin Britten,2008-06-18
171,Albert Herring,Benjamin Britten,2008-06-21
172,Albert Herring,Benjamin Britten,2008-06-24
173,Albert Herring,Benjamin Britten,2008-06-27
174,Albert Herring,Benjamin Britten,2008-07-02
175,Albert Herring,Benjamin Britten,2008-07-07
176,Albert Herring,Benjamin Britten,2008-07-12
177,Albert Herring,Benjamin Britten,2008-07-15
178,Albert Herring,Benjamin Britten,2008-07-19
179,Alceste,Christoph Willibald Gluck,1953-06-07
180,Alceste,Christoph Willibald Gluck,1953-06-11
181,Alceste,Christoph Willibald Gluck,1953-06-13
182,Alceste,Christoph Willibald Gluck,1953-06-17
183,Alceste,Christoph Willibald Gluck,1953-06-19
184,Alceste,Christoph Willibald Gluck,1953-06-21
185,Alceste,Christoph Willibald Gluck,1953-07-02
186,Alceste,Christoph Willibald Gluck,1953-07-04
187,Alceste,Christoph Willibald Gluck,1954-06-13
188,Alceste,Christoph Willibald Gluck,1954-06-17
189,Alceste,Christoph Willibald Gluck,1954-06-19
190,Alceste,Christoph Willibald Gluck,1954-06-24
191,Alceste,Christoph Willibald Gluck,1954-07-01
192,Alceste,Christoph Willibald Gluck,1954-07-03
193,Alceste,Christoph Willibald Gluck,1958-05-30
194,Alceste,Christoph Willibald Gluck,1958-06-01
195,Alceste,Christoph Willibald Gluck,1958-06-05
196,Alceste,Christoph Willibald Gluck,1958-06-07
197,Alceste,Christoph Willibald Gluck,1958-06-12
198,Alceste,Christoph Willibald Gluck,1958-06-14
199,Alceste,Christoph Willibald Gluck,1958-06-19
200,Alceste,Christoph Willibald Gluck,1958-06-21
201,Anna Bolena,Gaetano Donizetti,1965-06-11
202,Anna Bolena,Gaetano Donizetti,1965-06-13
203,Anna Bolena,Gaetano Donizetti,1965-06-16
204,Anna Bolena,Gaetano Donizetti,1965-06-20
205,Anna Bolena,Gaetano Donizetti,1965-06-22
206,Anna Bolena,Gaetano Donizetti,1965-06-26
207,Anna Bolena,Gaetano Donizetti,1965-06-29
208,Anna Bolena,Gaetano Donizetti,1965-07-03
209,Anna Bolena,Gaetano Donizetti,1965-07-05
210,Anna Bolena,Gaetano Donizetti,1965-07-09
211,Anna Bolena,Gaetano Donizetti,1965-07-11
212,Anna Bolena,Gaetano Donizetti,1965-07-14
213,Anna Bolena,Gaetano Donizetti,1968-06-30
214,Anna Bolena,Gaetano Donizetti,1968-07-03
215,Anna Bolena,Gaetano Donizetti,1968-07-06
216,Anna Bolena,Gaetano Donizetti,1968-07-08
217,Anna Bolena,Gaetano Donizetti,1968-07-11
218,Anna Bolena,Gaetano Donizetti,1968-07-15
219,Anna Bolena,Gaetano Donizetti,1968-07-18
220,Anna Bolena,Gaetano Donizetti,1968-07-22
221,Anna Bolena,Gaetano Donizetti,1968-07-25
222,Anna Bolena,Gaetano Donizetti,1968-07-28
223,Anna Bolena,Gaetano Donizetti,1968-07-30
224,Anna Bolena,Gaetano Donizetti,1968-08-04
225,Arabella,Richard Strauss,1984-07-07
226,Arabella,Richard Strauss,1984-07-09
227,Arabella,Richard Strauss,1984-07-11
228,Arabella,Richard Strauss,1984-07-14
229,Arabella,Richard Strauss,1984-07-22
230,Arabella,Richard Strauss,1984-07-24
231,Arabella,Richard Strauss,1984-07-28
232,Arabella,Richard Strauss,1984-07-31
233,Arabella,Richard Strauss,1984-08-03
234,Arabella,Richard Strauss,1984-08-06
235,Arabella,Richard Strauss,1984-08-09
236,Arabella,Richard Strauss,1984-08-11
237,Arabella,Richard Strauss,1984-08-14
238,Arabella,Richard Strauss,1984-08-16
239,Arabella,Richard Strauss,1984-08-22
240,Arabella,Richard Strauss,1985-06-14
