,date,work,composer
0,1881-06-11,Libuše,Bedřich Smetana
1,1881-06-13,Libuše,Bedřich Smetana
2,1881-06-15,Libuše,Bedřich Smetana
3,1881-06-17,Libuše,Bedřich Smetana
4,1881-06-19,Hugenoti,Giacomo Meyerbeer
5,1881-06-21,Hugenoti,Giacomo Meyerbeer
6,1881-06-23,Libuše,Bedřich Smetana
7,1883-11-18,Libuše,Bedřich Smetana
8,1883-11-20,Dimitrij,Antonín Dvořák
9,1883-11-23,The Bartered Bride,Bedřich Smetana
10,1883-11-25,Dimitrij,Antonín Dvořák
11,1883-11-26,Šelma sedlák,Antonín Dvořák
12,1883-11-28,The Bartered Bride,Bedřich Smetana
13,1883-11-30,The Kiss,Bedřich Smetana
14,1883-12-01,Dimitrij,Antonín Dvořák
15,1883-12-02,V studni,Vilém Blodek
16,1883-12-03,Libuše,Bedřich Smetana
17,1883-12-05,Šelma sedlák,Antonín Dvořák
18,1883-12-07,Starý ženich,Karel Bendl
19,1883-12-08,Dimitrij,Antonín Dvořák
20,1883-12-09,Šelma sedlák,Antonín Dvořák
21,1883-12-11,Karel Škréta,Karel Bendl
22,1883-12-12,The Bartered Bride,Bedřich Smetana
23,1883-12-14,Karel Škréta,Karel Bendl
24,1883-12-15,The Bartered Bride,Bedřich Smetana
25,1883-12-16,Karel Škréta,Karel Bendl
26,1883-12-18,Dimitrij,Antonín Dvořák
27,1883-12-20,Dimitrij,Antonín Dvořák
28,1883-12-23,Karel Škréta,Karel Bendl
29,1883-12-25,Libuše,Bedřich Smetana
30,1883-12-26,V studni,Vilém Blodek
31,1883-12-27,Dimitrij,Antonín Dvořák
32,1883-12-29,The Bartered Bride,Bedřich Smetana
33,1883-12-31,Starý ženich,Karel Bendl
34,1884-01-01,Šelma sedlák,Antonín Dvořák
35,1884-01-03,Carmen,Georges Bizet
36,1884-01-05,Karel Škréta,Karel Bendl
37,1884-01-06,Židovka,Jacques Fromental Elie Halévy
38,1884-01-08,Carmen,Georges Bizet
39,1884-01-09,Židovka,Jacques Fromental Elie Halévy
40,1884-01-11,Faust a Markéta,Charles Gounod
41,1884-01-13,Carmen,Georges Bizet
42,1884-01-14,Faust a Markéta,Charles Gounod
43,1884-01-17,Faust a Markéta,Charles Gounod
44,1884-01-21,Carmen,Georges Bizet
45,1884-01-22,Troubadour,Giuseppe Verdi
46,1884-01-24,Troubadour,Giuseppe Verdi
47,1884-01-26,Lucrezia Borgia,Gaetano Donizetti
48,1884-01-27,Dimitrij,Antonín Dvořák
49,1884-01-29,Lucrezia Borgia,Gaetano Donizetti
50,1884-01-30,Faust a Markéta,Charles Gounod
51,1884-02-01,Židovka,Jacques Fromental Elie Halévy
52,1884-02-03,The Bartered Bride,Bedřich Smetana
53,1884-02-03,Troubadour,Giuseppe Verdi
54,1884-02-05,Židovka,Jacques Fromental Elie Halévy
55,1884-02-07,Faust a Markéta,Charles Gounod
56,1884-02-10,The Bartered Bride,Bedřich Smetana
57,1884-02-13,Šelma sedlák,Antonín Dvořák
58,1884-02-15,Aida,Giuseppe Verdi
59,1884-02-16,Aida,Giuseppe Verdi
60,1884-02-18,Aida,Giuseppe Verdi
61,1884-02-20,Aida,Giuseppe Verdi
62,1884-02-22,Aida,Giuseppe Verdi
63,1884-02-23,Karel Škréta,Karel Bendl
64,1884-02-25,Aida,Giuseppe Verdi
65,1884-02-27,Hugenoti,Giacomo Meyerbeer
66,1884-02-29,Hugenoti,Giacomo Meyerbeer
67,1884-03-01,The Bartered Bride,Bedřich Smetana
68,1884-03-02,The Kiss,Bedřich Smetana
69,1884-03-05,The Two Widows,Bedřich Smetana
70,1884-03-07,The Bartered Bride,Bedřich Smetana
71,1884-03-08,Libuše,Bedřich Smetana
72,1884-03-10,Hugenoti,Giacomo Meyerbeer
73,1884-03-13,Carmen,Georges Bizet
74,1884-03-15,Carmen,Georges Bizet
75,1884-03-18,Karel Škréta,Karel Bendl
76,1884-03-19,Carmen,Georges Bizet
77,1884-03-22,The Bartered Bride,Bedřich Smetana
78,1884-03-23,The Bartered Bride,Bedřich Smetana
79,1884-03-25,Dimitrij,Antonín Dvořák
80,1884-03-28,Nevěsta messinská,Zdeněk Fibich
81,1884-03-30,Dimitrij,Antonín Dvořák
82,1884-04-01,Nevěsta messinská,Zdeněk Fibich
83,1884-04-03,Nevěsta messinská,Zdeněk Fibich
84,1884-04-05,Dimitrij,Antonín Dvořák
85,1884-04-08,Nevěsta messinská,Zdeněk Fibich
86,1884-04-13,Starý ženich,Karel Bendl
87,1884-04-15,Šelma sedlák,Antonín Dvořák
88,1884-04-16,Faust a Markéta,Charles Gounod
89,1884-04-18,Tvrdé palice,Antonín Dvořák
90,1884-04-19,Karel Škréta,Karel Bendl
91,1884-04-20,The Bartered Bride,Bedřich Smetana
92,1884-04-21,Carmen,Georges Bizet
93,1884-04-22,Tvrdé palice,Antonín Dvořák
94,1884-04-24,Faust a Markéta,Charles Gounod
95,1884-04-27,Carmen,Georges Bizet
96,1884-04-28,Dimitrij,Antonín Dvořák
97,1884-04-30,Husitská nevěsta,Karel Šebor
98,1884-05-02,Nevěsta messinská,Zdeněk Fibich
99,1884-05-03,Husitská nevěsta,Karel Šebor
100,1884-05-10,Husitská nevěsta,Karel Šebor
101,1884-05-11,Hugenoti,Giacomo Meyerbeer
102,1884-05-13,Ženichové,Karel Kovařovic
103,1884-05-14,Ženichové,Karel Kovařovic
104,1884-05-15,The Bartered Bride,Bedřich Smetana
105,1884-05-16,Ženichové,Karel Kovařovic
106,1884-05-18,Ženichové,Karel Kovařovic
107,1884-05-19,Husitská nevěsta,Karel Šebor
108,1884-05-22,Faust a Markéta,Charles Gounod
109,1884-05-25,Aida,Giuseppe Verdi
110,1884-05-27,Libuše,Bedřich Smetana
111,1884-05-29,Aida,Giuseppe Verdi
