,work,composer,date
0,Actéon,Daniel-François-Esprit Auber,1836-01-23
1,Actéon,Daniel-François-Esprit Auber,1852-08-29
2,Actéon,Daniel-François-Esprit Auber,1861-07-10
3,Actéon,Daniel-François-Esprit Auber,1869-01-15
4,Actéon,Daniel-François-Esprit Auber,2016-12-04
5,"Adolphe et Clara, ou les Deux prisonniers",Nicolas-Marie Dalayrac,1801-06-29
6,"Adolphe et Clara, ou les Deux prisonniers",Nicolas-Marie Dalayrac,1815-06-06
7,"Adolphe et Clara, ou les Deux prisonniers",Nicolas-Marie Dalayrac,1815-08-01
8,"Adolphe et Clara, ou les Deux prisonniers",Nicolas-Marie Dalayrac,1815-11-18
9,"Adolphe et Clara, ou les Deux prisonniers",Nicolas-Marie Dalayrac,1816-02-03
10,"Adolphe et Clara, ou les Deux prisonniers",Nicolas-Marie Dalayrac,1816-03-17
11,"Adolphe et Clara, ou les Deux prisonniers",Nicolas-Marie Dalayrac,1816-05-02
12,"Adolphe et Clara, ou les Deux prisonniers",Nicolas-Marie Dalayrac,1816-07-10
13,"Adolphe et Clara, ou les Deux prisonniers",Nicolas-Marie Dalayrac,1816-08-14
14,"Adolphe et Clara, ou les Deux prisonniers",Nicolas-Marie Dalayrac,1816-08-30
15,"Adolphe et Clara, ou les Deux prisonniers",Nicolas-Marie Dalayrac,1816-11-10
16,"Adolphe et Clara, ou les Deux prisonniers",Nicolas-Marie Dalayrac,1816-12-15
17,"Adolphe et Clara, ou les Deux prisonniers",Nicolas-Marie Dalayrac,1817-04-01
18,"Adolphe et Clara, ou les Deux prisonniers",Nicolas-Marie Dalayrac,1817-05-09
19,"Adolphe et Clara, ou les Deux prisonniers",Nicolas-Marie Dalayrac,1817-06-20
20,"Adolphe et Clara, ou les Deux prisonniers",Nicolas-Marie Dalayrac,1817-10-28
21,"Adolphe et Clara, ou les Deux prisonniers",Nicolas-Marie Dalayrac,1817-11-23
22,"Adolphe et Clara, ou les Deux prisonniers",Nicolas-Marie Dalayrac,1818-04-03
23,"Adolphe et Clara, ou les Deux prisonniers",Nicolas-Marie Dalayrac,1818-05-07
24,"Adolphe et Clara, ou les Deux prisonniers",Nicolas-Marie Dalayrac,1818-05-27
25,"Adolphe et Clara, ou les Deux prisonniers",Nicolas-Marie Dalayrac,1818-06-30
26,"Adolphe et Clara, ou les Deux prisonniers",Nicolas-Marie Dalayrac,1818-10-01
