,work,composer,librettist,theatre,date
0,Maid Marian,Colin Macleod Campbell,Nancy Campbell,Gaumont Theatre,1956-03-12
1,Maid Marian,Colin Macleod Campbell,Nancy Campbell,Gaumont Theatre,1956-03-14
2,Maid Marian,Colin Macleod Campbell,Nancy Campbell,Gaumont Theatre,1956-03-16
3,Bitter Sweet,Noël Coward,Noël Coward,Gaumont Theatre,1956-03-13
4,Bitter Sweet,Noël Coward,Noël Coward,Gaumont Theatre,1956-03-15
5,Bitter Sweet,Noël Coward,Noël Coward,Gaumont Theatre,1956-03-17
6,Norma,Vincenzo Bellini,Felice Romani,"Theatre Royal, Glasgow",1956-04-23
7,Bartered Bride,Bedřich Smetana,Karel Sabina,"Theatre Royal, Glasgow",1956-04-24
8,Bartered Bride,Bedřich Smetana,Karel Sabina,"Theatre Royal, Glasgow",1956-04-25
9,Bartered Bride,Bedřich Smetana,Karel Sabina,"Theatre Royal, Glasgow",1956-04-27
10,Bartered Bride,Bedřich Smetana,Karel Sabina,"Theatre Royal, Glasgow",1956-04-28
11,Norma,Vincenzo Bellini,Felice Romani,"Theatre Royal, Glasgow",1956-04-26
12,Norma,Vincenzo Bellini,Felice Romani,"Theatre Royal, Glasgow",1956-04-28
13,Faust,Charles Gounod,"Jules Barbier
				Michel Carré","Theatre Royal, Glasgow",1956-05-14
14,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Theatre Royal, Glasgow",1956-05-17
15,Manon Lescaut,Giacomo Puccini,"Marco Praga
				Domenico Oliva
				Giuseppe Giacosa
				Luigi Illica
				Giulio Ricordi
				Giacomo Puccini","Theatre Royal, Glasgow",1956-05-18
16,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,"King's Theatre, Edinburgh",1956-08-20
17,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,"King's Theatre, Edinburgh",1956-08-22
18,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,"King's Theatre, Edinburgh",1956-08-24
19,Oedipus Rex,Igor Stravinsky,Jean Cocteau,"King's Theatre, Edinburgh",1956-08-21
20,Mavra,Igor Stravinsky,Boris Kochno,"King's Theatre, Edinburgh",1956-08-21
21,Barber of Baghdad,Peter Cornelius,Peter Cornelius,"King's Theatre, Edinburgh",1956-08-23
22,Barber of Baghdad,Peter Cornelius,Peter Cornelius,"King's Theatre, Edinburgh",1956-08-25
23,Barber of Baghdad,Peter Cornelius,Peter Cornelius,"King's Theatre, Edinburgh",1956-09-07
24,Oedipus Rex,Igor Stravinsky,Jean Cocteau,"King's Theatre, Edinburgh",1956-08-28
25,Oedipus Rex,Igor Stravinsky,Jean Cocteau,"King's Theatre, Edinburgh",1956-09-05
26,Mavra,Igor Stravinsky,Boris Kochno,"King's Theatre, Edinburgh",1956-08-28
27,Mavra,Igor Stravinsky,Boris Kochno,"King's Theatre, Edinburgh",1956-09-05
28,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,"King's Theatre, Edinburgh",1956-08-29
29,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,"King's Theatre, Edinburgh",1956-08-29
30,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,"King's Theatre, Edinburgh",1956-08-31
31,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,"King's Theatre, Edinburgh",1956-09-03
32,Salome,Richard Strauss,Hedwig Lachmann,"King's Theatre, Edinburgh",1956-08-30
33,Salome,Richard Strauss,Hedwig Lachmann,"King's Theatre, Edinburgh",1956-09-01
34,Salome,Richard Strauss,Hedwig Lachmann,"King's Theatre, Edinburgh",1956-09-04
35,Salome,Richard Strauss,Hedwig Lachmann,"King's Theatre, Edinburgh",1956-09-06
36,Salome,Richard Strauss,Hedwig Lachmann,"King's Theatre, Edinburgh",1956-09-08
37,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Theatre Royal, Glasgow",1956-10-15
38,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Theatre Royal, Glasgow",1956-10-17
39,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Theatre Royal, Glasgow",1956-10-23
40,Tosca,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1956-10-16
41,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1956-10-17
42,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1956-10-20
43,Pagliacci,Ruggero Leoncavallo,Ruggero Leoncavallo,"Theatre Royal, Glasgow",1956-10-18
44,Pagliacci,Ruggero Leoncavallo,Ruggero Leoncavallo,"Theatre Royal, Glasgow",1956-10-20
45,Pagliacci,Ruggero Leoncavallo,Ruggero Leoncavallo,"Theatre Royal, Glasgow",1956-10-24
46,Cavalleria Rusticana,Pietro Mascagni,"Giovanni Targioni-Tozzetti
				Guido Menasci","Theatre Royal, Glasgow",1956-10-18
47,Cavalleria Rusticana,Pietro Mascagni,"Giovanni Targioni-Tozzetti
				Guido Menasci","Theatre Royal, Glasgow",1956-10-20
48,Cavalleria Rusticana,Pietro Mascagni,"Giovanni Targioni-Tozzetti
				Guido Menasci","Theatre Royal, Glasgow",1956-10-24
49,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1956-10-19
50,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1956-10-24
51,Faust,Charles Gounod,"Jules Barbier
				Michel Carré",Gaumont Theatre,1956-10-22
52,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Gaumont Theatre,1956-10-23
53,Cavalleria Rusticana,Pietro Mascagni,"Giovanni Targioni-Tozzetti
				Guido Menasci",Gaumont Theatre,1956-10-24
54,Pagliacci,Ruggero Leoncavallo,Ruggero Leoncavallo,Gaumont Theatre,1956-10-24
55,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,Gaumont Theatre,1956-10-25
56,Cox and Box,,,"King's Theatre, Edinburgh",1956-10-25
57,Cox and Box,,,"King's Theatre, Edinburgh",1956-10-26
58,H M S Pinafore,Arthur Sullivan,William S Gilbert,"King's Theatre, Edinburgh",1956-10-25
59,H M S Pinafore,Arthur Sullivan,William S Gilbert,"King's Theatre, Edinburgh",1956-10-26
60,Manon Lescaut,Giacomo Puccini,"Marco Praga
				Domenico Oliva
				Giuseppe Giacosa
				Luigi Illica
				Giulio Ricordi
				Giacomo Puccini",Gaumont Theatre,1956-10-26
61,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Theatre Royal, Glasgow",1956-10-26
62,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Theatre Royal, Glasgow",1956-10-31
63,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"King's Theatre, Edinburgh",1956-11-05
64,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"King's Theatre, Edinburgh",1956-11-07
65,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica",Gaumont Theatre,1956-10-27
66,Pagliacci,Ruggero Leoncavallo,Ruggero Leoncavallo,"Theatre Royal, Glasgow",1956-10-27
67,Pagliacci,Ruggero Leoncavallo,Ruggero Leoncavallo,"Theatre Royal, Glasgow",1956-10-29
68,Pagliacci,Ruggero Leoncavallo,Ruggero Leoncavallo,"Theatre Royal, Glasgow",1956-11-02
69,Pagliacci,Ruggero Leoncavallo,Ruggero Leoncavallo,"King's Theatre, Edinburgh",1956-11-08
70,Pagliacci,Ruggero Leoncavallo,Ruggero Leoncavallo,"King's Theatre, Edinburgh",1956-11-10
71,Cavalleria Rusticana,Pietro Mascagni,"Giovanni Targioni-Tozzetti
				Guido Menasci","Theatre Royal, Glasgow",1956-10-27
72,Cavalleria Rusticana,Pietro Mascagni,"Giovanni Targioni-Tozzetti
				Guido Menasci","Theatre Royal, Glasgow",1956-10-29
73,Cavalleria Rusticana,Pietro Mascagni,"Giovanni Targioni-Tozzetti
				Guido Menasci","Theatre Royal, Glasgow",1956-11-02
74,Cavalleria Rusticana,Pietro Mascagni,"Giovanni Targioni-Tozzetti
				Guido Menasci","King's Theatre, Edinburgh",1956-11-08
75,Cavalleria Rusticana,Pietro Mascagni,"Giovanni Targioni-Tozzetti
				Guido Menasci","King's Theatre, Edinburgh",1956-11-10
76,Tales of Hoffmann,Jacques Offenbach,"Michel Carré
				Jules Barbier",Gaumont Theatre,1956-10-27
77,Tosca,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1956-10-27
78,Tosca,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1956-11-01
79,Tosca,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","King's Theatre, Edinburgh",1956-11-06
80,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1956-10-30
81,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1956-11-03
82,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","King's Theatre, Edinburgh",1956-11-09
83,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1956-10-31
84,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Theatre Royal, Glasgow",1956-11-03
85,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","King's Theatre, Edinburgh",1956-11-07
86,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","King's Theatre, Edinburgh",1956-11-10
87,Consul,Gian Carlo Menotti,Gian Carlo Menotti,Lyric Theatre,1957-01-29
88,Duke Bluebeard's Castle,Béla Bartók,Béla Balázs,Lyric Theatre,1957-01-30
