,work,composer,date
0,Final Performance of the Opera Camp · Jedermann,,2017-07-22
1,Final Performance of the Opera Camp · Jedermann,,2017-07-23
2,Final Performance of the Opera Camp · Wozzeck,,2017-08-11
3,Final Performance of the Opera Camp I · Aida,,2017-07-30
4,Final Performance of the Opera Camp II · Aida,,2017-08-04
5,Aida,Giuseppe Verdi,2017-08-06
6,Aida,Giuseppe Verdi,2017-08-09
7,Aida,Giuseppe Verdi,2017-08-12
8,Aida,Giuseppe Verdi,2017-08-16
9,Aida,Giuseppe Verdi,2017-08-19
10,Aida,Giuseppe Verdi,2017-08-22
11,Aida,Giuseppe Verdi,2017-08-25
12,Ariodante,George Frideric Handel,2017-08-16
13,Ariodante,George Frideric Handel,2017-08-18
14,Ariodante,George Frideric Handel,2017-08-22
15,Ariodante,George Frideric Handel,2017-08-25
16,Ariodante,George Frideric Handel,2017-08-28
17,Der Schauspieldirektor,,2017-07-28
18,Der Schauspieldirektor,,2017-07-30
19,Der Schauspieldirektor,,2017-08-08
20,Der Schauspieldirektor,,2017-08-11
21,Der Schauspieldirektor,,2017-08-12
22,Der Schauspieldirektor,,2017-08-15
23,Der Schauspieldirektor,,2017-08-22
24,Der Schauspieldirektor,,2017-08-27
25,I due Foscari,Giuseppe Verdi,2017-08-11
26,I due Foscari,Giuseppe Verdi,2017-08-14
27,Il ritorno d’Ulisse in patria,,2017-07-28
28,L’incoronazione di Poppea,,2017-07-29
29,L’Orfeo,,2017-07-26
30,La clemenza di Tito,Wolfgang A. Mozart,2017-07-27
31,La clemenza di Tito,Wolfgang A. Mozart,2017-07-24
32,La clemenza di Tito,Wolfgang A. Mozart,2017-07-30
33,La clemenza di Tito,Wolfgang A. Mozart,2017-08-04
34,La clemenza di Tito,Wolfgang A. Mozart,2017-08-13
35,La clemenza di Tito,Wolfgang A. Mozart,2017-08-17
36,La clemenza di Tito,Wolfgang A. Mozart,2017-08-19
37,La clemenza di Tito,Wolfgang A. Mozart,2017-08-21
38,Lady Macbeth of the Mtsensk District,Dmitry Shostakovich,2017-08-02
39,Lady Macbeth of the Mtsensk District,Dmitry Shostakovich,2017-08-05
40,Lady Macbeth of the Mtsensk District,Dmitry Shostakovich,2017-08-10
41,Lady Macbeth of the Mtsensk District,Dmitry Shostakovich,2017-08-15
42,Lady Macbeth of the Mtsensk District,Dmitry Shostakovich,2017-08-21
43,Lear,Aribert Reimann,2017-08-20
44,Lear,Aribert Reimann,2017-08-23
45,Lear,Aribert Reimann,2017-08-26
46,Lear,Aribert Reimann,2017-08-29
47,Lucrezia Borgia,Gaetano Donizetti,2017-08-27
48,Lucrezia Borgia,Gaetano Donizetti,2017-08-30
49,Fun and Games with Mozart   The Impresario,,2017-07-28
50,Fun and Games with Mozart   The Impresario,,2017-07-30
51,Fun and Games with Mozart   The Impresario,,2017-08-08
52,Fun and Games with Mozart   The Impresario,,2017-08-11
53,Fun and Games with Mozart   The Impresario,,2017-08-12
54,Fun and Games with Mozart   The Impresario,,2017-08-15
55,Fun and Games with Mozart   The Impresario,,2017-08-22
56,Fun and Games with Mozart   The Impresario,,2017-08-27
57,Wozzeck,Alban Berg,2017-08-08
58,Wozzeck,Alban Berg,2017-08-14
59,Wozzeck,Alban Berg,2017-08-17
60,Wozzeck,Alban Berg,2017-08-24
61,Wozzeck,Alban Berg,2017-08-27
62,Final performance of the Opera Camp   Die Liebe der Danae,,2016-07-30
63,Final performance of the Opera Camp   Don Giovanni,,2016-08-06
