,composer,date,work
0,GIACOMO PUCCINI,1949-12-26,LA BOHÈME
1,GIACOMO PUCCINI,1949-12-28,LA BOHÈME
2,GIACOMO PUCCINI,1950-01-01,LA BOHÈME
3,GIACOMO PUCCINI,1950-01-05,LA BOHÈME
4,GIACOMO PUCCINI,1950-01-07,LA BOHÈME
5,GIACOMO PUCCINI,1950-02-04,LA BOHÈME
6,MODEST P. MUSORGSKIJ,1949-12-27,BORIS GODUNOV
7,MODEST P. MUSORGSKIJ,1949-12-29,BORIS GODUNOV
8,MODEST P. MUSORGSKIJ,1950-01-08,BORIS GODUNOV
9,MODEST P. MUSORGSKIJ,1950-01-12,BORIS GODUNOV
10,GIUSEPPE VERDI,1950-01-06,FALSTAFF
11,GIUSEPPE VERDI,1950-01-10,FALSTAFF
12,GIUSEPPE VERDI,1950-01-15,FALSTAFF
13,GIUSEPPE VERDI,1950-01-18,FALSTAFF
14,GIUSEPPE VERDI,1950-01-22,FALSTAFF
15,GIUSEPPE VERDI,1950-09-21,FALSTAFF
16,GIUSEPPE VERDI,1950-09-23,FALSTAFF
17,VINCENZO BELLINI,1950-01-11,I PURITANI E I CAVALIERI
18,VINCENZO BELLINI,1950-01-14,I PURITANI E I CAVALIERI
19,VINCENZO BELLINI,1950-01-17,I PURITANI E I CAVALIERI
20,VINCENZO BELLINI,1950-01-19,I PURITANI E I CAVALIERI
21,HEINRICH SUTERMEISTER,1950-01-21,RASKOLNIKOV
22,HEINRICH SUTERMEISTER,1950-01-25,RASKOLNIKOV
23,GIUSEPPE VERDI,1950-02-12,AIDA
24,GIUSEPPE VERDI,1950-02-15,AIDA
25,GIUSEPPE VERDI,1950-02-18,AIDA
26,GIUSEPPE VERDI,1950-02-21,AIDA
27,GIUSEPPE VERDI,1950-02-23,AIDA
28,GIUSEPPE VERDI,1950-02-26,AIDA
29,GIUSEPPE VERDI,1950-04-12,AIDA
30,GIUSEPPE VERDI,1950-04-15,AIDA
31,GIUSEPPE VERDI,1950-04-18,AIDA
32,GIUSEPPE VERDI,1950-04-22,AIDA
33,GIACOMO PUCCINI,1950-02-16,TOSCA
34,GIACOMO PUCCINI,1950-02-19,TOSCA
35,GIACOMO PUCCINI,1950-02-25,TOSCA
36,GIACOMO PUCCINI,1950-03-05,TOSCA
37,GIACOMO PUCCINI,1950-03-08,TOSCA
38,GIACOMO PUCCINI,1950-03-14,TOSCA
39,GIACOMO PUCCINI,1950-03-19,TOSCA
40,GIACOMO PUCCINI,1950-03-30,TOSCA
41,RICHARD WAGNER,1950-03-02,L'ORO DEL RENO
42,RICHARD WAGNER,1950-03-04,L'ORO DEL RENO
43,RICHARD WAGNER,1950-03-11,L'ORO DEL RENO
44,RICHARD WAGNER,1950-03-09,LA WALKIRIA
45,RICHARD WAGNER,1950-03-13,LA WALKIRIA
46,RICHARD WAGNER,1950-03-16,LA WALKIRIA
47,LUIGI CHERUBINI,1950-03-18,LODOISKA
48,LUIGI CHERUBINI,1950-03-21,LODOISKA
49,LUIGI CHERUBINI,1950-03-25,LODOISKA
50,RICHARD WAGNER,1950-03-22,SIGFRIDO
51,RICHARD WAGNER,1950-03-24,SIGFRIDO
52,RICHARD WAGNER,1950-03-26,SIGFRIDO
53,RICHARD WAGNER,1950-04-02,IL CREPUSCOLO DEGLI DEI
54,RICHARD WAGNER,1950-04-04,IL CREPUSCOLO DEGLI DEI
55,RICHARD WAGNER,1950-04-06,IL CREPUSCOLO DEGLI DEI
56,MODEST P. MUSORGSKIJ,1950-04-08,KOVÁNTSCINA
57,MODEST P. MUSORGSKIJ,1950-04-10,KOVÁNTSCINA
58,MODEST P. MUSORGSKIJ,1950-04-13,KOVÁNTSCINA
59,RICCARDO ZANDONAI,1950-04-21,FRANCESCA DA RIMINI
60,RICCARDO ZANDONAI,1950-04-23,FRANCESCA DA RIMINI
61,RICCARDO ZANDONAI,1950-04-26,FRANCESCA DA RIMINI
62,RICCARDO ZANDONAI,1950-06-02,FRANCESCA DA RIMINI
63,GIANFRANCESCO MALIPIERO,1950-05-04,L'ALLEGRA BRIGATA
64,GIANFRANCESCO MALIPIERO,1950-05-07,L'ALLEGRA BRIGATA
65,WOLFGANG AMADEUS MOZART,1950-05-12,IL FLAUTO MAGICO
66,WOLFGANG AMADEUS MOZART,1950-05-14,IL FLAUTO MAGICO
67,WOLFGANG AMADEUS MOZART,1950-05-16,IL FLAUTO MAGICO
68,WOLFGANG AMADEUS MOZART,1950-05-18,IL FLAUTO MAGICO
69,GAETANO DONIZETTI,1950-05-20,DON PASQUALE
70,GAETANO DONIZETTI,1950-05-21,DON PASQUALE
71,GAETANO DONIZETTI,1950-05-23,DON PASQUALE
