,date,language,work,work_url
0,1869-06-03,in deutscher Sprache,La Muette de Portici,https://archiv.wiener-staatsoper.at/performances/24166
1,1869-06-17,in deutscher Sprache,Guillaume Tell,https://archiv.wiener-staatsoper.at/performances/31370
2,1869-07-10,in deutscher Sprache,Die Hugenotten ,https://archiv.wiener-staatsoper.at/performances/33982
3,1869-07-10,in deutscher Sprache, Les Huguenots ,https://archiv.wiener-staatsoper.at/performances/33982
4,1869-07-10,in deutscher Sprache, Gli Ugonotti,https://archiv.wiener-staatsoper.at/performances/33982
5,1869-09-05,in deutscher Sprache,Guillaume Tell,https://archiv.wiener-staatsoper.at/performances/32458
6,1869-09-21,in deutscher Sprache,Il trovatore,https://archiv.wiener-staatsoper.at/performances/43675
7,1869-09-25,in deutscher Sprache,Guillaume Tell,https://archiv.wiener-staatsoper.at/performances/32455
8,1869-09-26,in deutscher Sprache,Il trovatore,https://archiv.wiener-staatsoper.at/performances/43676
9,1869-10-01,in deutscher Sprache,Guillaume Tell,https://archiv.wiener-staatsoper.at/performances/32457
10,1869-10-09,in deutscher Sprache,Il trovatore,https://archiv.wiener-staatsoper.at/performances/43677
11,1869-10-10,in deutscher Sprache,Guillaume Tell,https://archiv.wiener-staatsoper.at/performances/32456
12,1869-10-15,in deutscher Sprache,Die Hugenotten ,https://archiv.wiener-staatsoper.at/performances/33983
13,1869-10-15,in deutscher Sprache, Les Huguenots ,https://archiv.wiener-staatsoper.at/performances/33983
14,1869-10-15,in deutscher Sprache, Gli Ugonotti,https://archiv.wiener-staatsoper.at/performances/33983
15,1869-10-24,in deutscher Sprache,Die Hugenotten ,https://archiv.wiener-staatsoper.at/performances/33984
16,1869-10-24,in deutscher Sprache, Les Huguenots ,https://archiv.wiener-staatsoper.at/performances/33984
17,1869-10-24,in deutscher Sprache, Gli Ugonotti,https://archiv.wiener-staatsoper.at/performances/33984
18,1869-10-25,in deutscher Sprache,Guillaume Tell,https://archiv.wiener-staatsoper.at/performances/34885
19,1869-10-31,in deutscher Sprache,Il trovatore,https://archiv.wiener-staatsoper.at/performances/43678
20,1869-11-07,in deutscher Sprache,Die Hugenotten ,https://archiv.wiener-staatsoper.at/performances/33985
21,1869-11-07,in deutscher Sprache, Les Huguenots ,https://archiv.wiener-staatsoper.at/performances/33985
22,1869-11-07,in deutscher Sprache, Gli Ugonotti,https://archiv.wiener-staatsoper.at/performances/33985
23,1869-11-14,in deutscher Sprache,Guillaume Tell,https://archiv.wiener-staatsoper.at/performances/32454
24,1869-11-20,in deutscher Sprache,Armide,https://archiv.wiener-staatsoper.at/performances/24043
25,1869-11-21,in deutscher Sprache,Armide,https://archiv.wiener-staatsoper.at/performances/42941
26,1869-11-25,in deutscher Sprache,Armide,https://archiv.wiener-staatsoper.at/performances/42942
27,1869-11-28,in deutscher Sprache,Armide,https://archiv.wiener-staatsoper.at/performances/42943
28,1869-11-29,in deutscher Sprache,Die Hugenotten ,https://archiv.wiener-staatsoper.at/performances/33986
29,1869-11-29,in deutscher Sprache, Les Huguenots ,https://archiv.wiener-staatsoper.at/performances/33986
30,1869-11-29,in deutscher Sprache, Gli Ugonotti,https://archiv.wiener-staatsoper.at/performances/33986
31,1869-12-04,in deutscher Sprache,Il trovatore,https://archiv.wiener-staatsoper.at/performances/43679
32,1869-12-08,in deutscher Sprache,Armide,https://archiv.wiener-staatsoper.at/performances/42944
33,1869-12-09,in deutscher Sprache,Guillaume Tell,https://archiv.wiener-staatsoper.at/performances/32453
34,1869-12-12,in deutscher Sprache,Le Prophète,https://archiv.wiener-staatsoper.at/performances/28707
35,1869-12-14,in deutscher Sprache,Die Hugenotten ,https://archiv.wiener-staatsoper.at/performances/33988
36,1869-12-14,in deutscher Sprache, Les Huguenots ,https://archiv.wiener-staatsoper.at/performances/33988
37,1869-12-14,in deutscher Sprache, Gli Ugonotti,https://archiv.wiener-staatsoper.at/performances/33988
38,1869-12-21,in deutscher Sprache,Armide,https://archiv.wiener-staatsoper.at/performances/42945
39,1869-12-28,in deutscher Sprache,Il trovatore,https://archiv.wiener-staatsoper.at/performances/43680
40,1870-01-11,in deutscher Sprache,Armide,https://archiv.wiener-staatsoper.at/performances/42946
41,1870-01-12,in deutscher Sprache,Die Hugenotten ,https://archiv.wiener-staatsoper.at/performances/33989
42,1870-01-12,in deutscher Sprache, Les Huguenots ,https://archiv.wiener-staatsoper.at/performances/33989
43,1870-01-12,in deutscher Sprache, Gli Ugonotti,https://archiv.wiener-staatsoper.at/performances/33989
44,1870-01-17,in deutscher Sprache,Guillaume Tell,https://archiv.wiener-staatsoper.at/performances/32452
45,1870-01-19,in deutscher Sprache,Il trovatore,https://archiv.wiener-staatsoper.at/performances/43681
