,clean_name,other_names,year_of_birth,year_of_death,place_of_birth,gender,source,operabase_name,stanford_name
0,"Ábrányi, Emil","Ábrányi, Emil",1882.0,,Hungary,,opera.stanford,,"Ábrányi, Emil"
1,"Ádám, Jenö","Ádám, Jenö",1896.0,1982.0,Hungary,,opera.stanford,,"Ádám, Jenö"
2,"Ásgeirsson, Jón","Ásgeirsson, Jón",1928.0,,Iceland,,opera.stanford,,"Ásgeirsson, Jón"
3,"Ölander, Per August","Ölander, Per [Pehr] August",1824.0,1886.0,Sweden,,opera.stanford,,"Ölander, Per [Pehr] August"
4,"Åhlström, Olof","Åhlström, Olof",1756.0,1835.0,Sweden,,opera.stanford,,"Åhlström, Olof"
5,"Åkerberg, Erik","Åkerberg, (Carl) Erik (Emanuel)",1860.0,1938.0,Sweden,,opera.stanford,,"Åkerberg, (Carl) Erik (Emanuel)"
6,"Aav, Evald","Aav, Evald",1900.0,1939.0,Estonia,,opera.stanford,,"Aav, Evald"
7,"Abbà Cornaglia, Pietro","Abbà Cornaglia, Pietro",1851.0,1894.0,Italy,,opera.stanford,,"Abbà Cornaglia, Pietro"
8,"Abbadia, Natale","Abbadia, Natale",1792.0,1861.0,Italy,,opera.stanford,,"Abbadia, Natale"
9,"Abbatini, Antonio Maria","Abbatini, Antonio Maria",1597.0,1679.0,Italy,,opera.stanford,,"Abbatini, Antonio Maria"
10,"Abdullaev, ",Abdullaev,1947.0,,Uzbekistan,Male,operabase,Abdullaev,
11,"Abeille, Ludwig","Abeille, (Johann Christian) Ludwig",1761.0,1838.0,Germany,,opera.stanford,,"Abeille, (Johann Christian) Ludwig"
12,"Abert, Johann Joseph","Abert, Johann Joseph",1832.0,1915.0,Germany,,opera.stanford,,"Abert, Johann Joseph"
13,"Abos, Girolamo","Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",1715.0,1760.0,Malta,,opera.stanford,,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"
14,"Aboulker, Isabelle",Aboulker Isabelle,1938.0,,France,Female,operabase,Aboulker,Aboulker Isabelle
15,"Abraham, ",Abraham,1892.0,1960.0,Hungary,Male,operabase,Abraham,"Abraham [Ábráham], Paul [Pál]"
16,"Abramsky, Alexander","Abramsky, Alexander",1898.0,1985.0,Ukraine,,opera.stanford,,"Abramsky, Alexander"
17,"Absil, Jean","Absil, Jean",1893.0,1974.0,Belgium,,opera.stanford,,"Absil, Jean"
18,"Abt, Franz","Abt, Franz (Wilhelm)",1819.0,1885.0,Germany,,opera.stanford,,"Abt, Franz (Wilhelm)"
19,"Acciaiuoli, Filippo","Acciaiuoli, Filippo",1637.0,1700.0,Italy,,opera.stanford,,"Acciaiuoli, Filippo"
20,"Accorimboni, Agostino","Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino",1739.0,1818.0,Italy,,opera.stanford,,"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino"
21,"Aceves y Lozano, Rafael","Aceves y Lozano, Rafael",1837.0,1876.0,Spain,,opera.stanford,,"Aceves y Lozano, Rafael"
22,"Acton, Carlo","Acton, Carlo [Charles]",1829.0,1909.0,Italy,,opera.stanford,,"Acton, Carlo [Charles]"
23,"Ada, ",Ada,1953.0,,Turkey,Male,operabase,Ada,
24,"Adalid y Gurréa, Marcial del","Adalid y Gurréa, Marcial del",1826.0,1881.0,Spain,,opera.stanford,,"Adalid y Gurréa, Marcial del"
25,"Adam, Adolphe ",AdamA,1803.0,1856.0,France,Male,operabase,AdamA,"Adam, Adolphe(-Charles)"
26,"Adamo, Mark","Adamo, Mark",1962.0,,United States,,opera.stanford,Adamo,"Adamo, Mark"
27,"Adams, John","Adams, John (Coolidge)",1947.0,,United Kingdom,,opera.stanford,Adams,"Adams, John (Coolidge)"
28,"Adams, Leslie","Adams, (Harrison) Leslie",1932.0,,United States,,opera.stanford,,"Adams, (Harrison) Leslie"
29,"Adaskin, Murray","Adaskin, Murray",1906.0,2002.0,Canada,,opera.stanford,,"Adaskin, Murray"
30,"Addison, John","Addison, John",1766.0,1844.0,United Kingdom,,opera.stanford,,"Addison, John"
31,"Adelburg, August","Adelburg, August",1830.0,1873.0,Austria,,opera.stanford,,"Adelburg, August"
32,"Aderhold, ",Aderhold,1966.0,,Germany,Male,operabase,Aderhold,
33,"Ades, ",Ades,1971.0,,United Kingdom,Male,operabase,Ades,
34,"Adigozalov, ",Adigozalov,1935.0,2006.0,Azerbaijan,Male,operabase,Adigozalov,
35,"Adler, Samuel","Adler, Samuel (Hans)",1928.0,,Germany,,opera.stanford,,"Adler, Samuel (Hans)"
36,"Adlgasser, Anton Cajetan","Adlgasser, Anton Cajetan",1729.0,1777.0,Austria,,opera.stanford,,"Adlgasser, Anton Cajetan"
37,"Adolfati, Andrea","Adolfati, Andrea",1721.0,1760.0,Italy,,opera.stanford,,"Adolfati, Andrea"
38,"Adomaitis, ",Adomaitis,1983.0,,Lithuania,Male,operabase,Adomaitis,
39,"Adomián, Lan","Adomián, Lan",1905.0,1979.0,Belarus,,opera.stanford,,"Adomián, Lan"
40,"Adrien, Ferdinand","Adrien, Ferdinand",1770.0,1830.0,Belgium,,opera.stanford,,"Adrien, Ferdinand"
41,"Adrien, Martin Joseph","Adrien, J.",1768.0,1824.0,Belgium,,opera.stanford,,"Adrien, J."
42,"Adwan, Moneim",Adwan Moneim,1970.0,,Palestinian Territory,Male,operabase,Adwan,
43,"Aeschbacher, Niklaus","Aeschbacher, Niklaus",1917.0,,Switzerland,,opera.stanford,,"Aeschbacher, Niklaus"
44,"Afanasyev, Nikolay Yakovlevich","Afanas'yev, Nikolay Yakovlevich",1821.0,1898.0,Russia,,opera.stanford,,"Afanas'yev, Nikolay Yakovlevich"
45,"Agazzari, Agostino","Agazzari, Agostino",1578.0,1640.0,Italy,,opera.stanford,,"Agazzari, Agostino"
46,"Aggházy, Károly","Aggházy, Károly",1855.0,,Hungary,,opera.stanford,,"Aggházy, Károly"
47,"Agnelli, Salvatore","Agnelli [Agnello], Salvatore",1817.0,1874.0,Italy,,opera.stanford,,"Agnelli [Agnello], Salvatore"
48,"Agnesi, Maria Teresa","Agnesi, Maria Teresa",1720.0,1795.0,Italy,,opera.stanford,,"Agnesi, Maria Teresa"
49,"Agostini, Mezio","Agostini, Mezio",1875.0,1944.0,Italy,,opera.stanford,,"Agostini, Mezio"
50,"Agostini, Pietro Simone","Agostini [Augustini], Pietro Simone [Piersimone]",1635.0,1680.0,Italy,,opera.stanford,,"Agostini [Augustini], Pietro Simone [Piersimone]"
51,"Agricola, Johann Friedrich","Agricola, Johann Friedrich",1720.0,1774.0,Germany,,opera.stanford,,"Agricola, Johann Friedrich"
52,"Agricola, Johann Paul","Agricola, Johann Paul",1638.0,1697.0,Germany,,opera.stanford,,"Agricola, Johann Paul"
53,"Agthe, Carl Christian","Agthe, Carl Christian",1762.0,1797.0,Germany,,opera.stanford,,"Agthe, Carl Christian"
54,"Aguiar, ",Aguiar,1950.0,,Brazil,Male,operabase,Aguiar,
55,"Ahlefeldt, Maria Theresia","Ahlefeldt,",,,Germany,,opera.stanford,,"Ahlefeldt,"
56,"Ahlström, Jacob Niclas","Ahlström, Jacob Niclas",1805.0,1857.0,Sweden,,opera.stanford,,"Ahlström, Jacob Niclas"
57,"Ahlstrom, David","Ahlstrom, David",1927.0,,United States,,opera.stanford,,"Ahlstrom, David"
58,"Aho, Kalevi","Aho, Kalevi",1949.0,,Finland,,opera.stanford,,"Aho, Kalevi"
59,"Aiblinger, Johann Kaspar","Aiblinger, Johann Kaspar",1779.0,1867.0,Germany,,opera.stanford,,"Aiblinger, Johann Kaspar"
60,"Aimon, François","Aimon, (Pamphile Léopold) François",1779.0,1866.0,France,,opera.stanford,,"Aimon, (Pamphile Léopold) François"
61,"Aints, ",Aints,1975.0,,Estonia,Male,operabase,Aints,
62,"Aitken, Hugh","Aitken, Hugh",1924.0,,United States,,opera.stanford,,"Aitken, Hugh"
63,"Akbasli, ",Akbasli,1962.0,,Turkey,Male,operabase,Akbasli,
64,"Akhiyarova, ",Akhiyarova,1956.0,,Russia,Female,operabase,Akhiyarova,
65,"Akhundova, ",Akhundova,1924.0,2013.0,Azerbaijan,Female,operabase,Akhundova,
66,"Akimenko, Fyodor Stepanovich","Akimenko [Yakimenko], Fyodor Stepanovich",1876.0,1945.0,France,,opera.stanford,,"Akimenko [Yakimenko], Fyodor Stepanovich"
67,"Akses, Necil Kâzim","Akses, Necil Kâzim",1908.0,1999.0,Turkey,,opera.stanford,,"Akses, Necil Kâzim"
68,"Akutagawa, Yasushi","Akutagawa, Yasushi",1925.0,1989.0,Japan,,opera.stanford,,"Akutagawa, Yasushi"
69,"Akyol, ",Akyol,1977.0,,Turkey,Male,operabase,Akyol,
70,"Alagna, ",Alagna,1975.0,,France,Male,operabase,Alagna,
71,"Alaleona, Domenico","Alaleona, Domenico",1881.0,1928.0,Italy,,opera.stanford,,"Alaleona, Domenico"
72,"Alary, Jules Eugène Abraham","Alary, Jules [Giulio] Eugène Abraham",1814.0,1891.0,Italy,,opera.stanford,,"Alary, Jules [Giulio] Eugène Abraham"
73,"Albéniz y Basanta, Pedro","Albéniz y Basanta, Pedro",1795.0,1855.0,Spain,,opera.stanford,,"Albéniz y Basanta, Pedro"
74,"Albeniz, ",Albeniz,1860.0,1909.0,Spain,Male,operabase,Albeniz,"Albéniz, Isaac (Manuel Francisco"
75,"Albergati, Pirro","Albergati (Capacelli), Pirro",1663.0,1735.0,Italy,,opera.stanford,,"Albergati (Capacelli), Pirro"
76,"Albert, Karel","Albert, Karel",1901.0,1987.0,Belgium,,opera.stanford,,"Albert, Karel"
77,"Alberti, Domenico","Alberti, Domenico",1710.0,1740.0,Italy,,opera.stanford,,"Alberti, Domenico"
78,"Albertini, Joachim","Albertini, Joachim [Gioacchino]",1749.0,1812.0,Italy,,opera.stanford,,"Albertini, Joachim [Gioacchino]"
79,"Albertsen, Per","Albertsen, Per (Hjort)",1919.0,,Norway,,opera.stanford,,"Albertsen, Per (Hjort)"
80,"Albinoni, Tomaso Giovanni","Albinoni, Tomaso Giovanni [Zuane]",1671.0,1751.0,Italy,,opera.stanford,,"Albinoni, Tomaso Giovanni [Zuane]"
81,"Albrecht, George Alexander",Albrecht George Alexander,1935.0,,Germany,Male,operabase,Albrecht,
82,"Alday, François","Alday, François",,,France,,opera.stanford,,"Alday, François"
83,"Aldridge, ",Aldridge,1954.0,,United States,Male,operabase,Aldridge,
84,"Aldrovandini, Giuseppe","Aldrovandini [Aldovrandini, Aldrovandin, Aldrovandon, Altrobrandino], Giuseppe [Gioselfo] (Antonio Vincenzo)",1671.0,1707.0,Italy,,opera.stanford,,"Aldrovandini [Aldovrandini, Aldrovandin, Aldrovandon, Altrobrandino], Giuseppe [Gioselfo] (Antonio Vincenzo)"
85,"Alenius, ",Alenius,1978.0,,Denmark,Female,operabase,Alenius,
86,"Alessandri, Felice","Alessandri, Felice",1747.0,1798.0,Italy,,opera.stanford,,"Alessandri, Felice"
87,"Alexandra, Liana","Alexandra, Liana",1947.0,,Romania,,opera.stanford,,"Alexandra, Liana"
88,"Alexandre, Charles-Guillaume","Alexandre [Alessandro], Charles-Guillaume",1735.0,1787.0,France,,opera.stanford,,"Alexandre [Alessandro], Charles-Guillaume"
89,"Alexandrov, Anatoly Nikolayevich","Alexandrov, Anatoly Nikolayevich",1888.0,1982.0,Russia,,opera.stanford,,"Alexandrov, Anatoly Nikolayevich"
90,"Alfano, Franco","Alfano, Franco",1875.0,1954.0,Italy,,opera.stanford,Alfano,"Alfano, Franco"
91,"Alferaki, Achilles","Alferaki, Achilles",1846.0,1919.0,Ukraine,,opera.stanford,,"Alferaki, Achilles"
92,"Alfiero, Giuseppe","Alfiero [Alfieri], Giuseppe",1630.0,1665.0,Italy,,opera.stanford,,"Alfiero [Alfieri], Giuseppe"
93,"Alfven, ",Alfven,1872.0,1960.0,Sweden,Male,operabase,Alfven,
94,"Alghisi, Paris Francesco","Alghisi [Algisi], Paris Francesco",1666.0,1733.0,Italy,,opera.stanford,,"Alghisi [Algisi], Paris Francesco"
95,"Ali-Zadeh, ",Ali-Zadeh,1947.0,,Azerbaijan,Female,operabase,Ali-Zadeh,
96,"Aliprandi, Bernardo","Aliprandi, Bernardo",1710.0,1792.0,Italy,,opera.stanford,,"Aliprandi, Bernardo"
97,"Allanbrook, Douglas","Allanbrook, Douglas",1921.0,,Mauritius,,opera.stanford,,"Allanbrook, Douglas"
98,"Allen, Paul Hastings","Allen, Paul Hastings",1883.0,1952.0,United States,,opera.stanford,,"Allen, Paul Hastings"
99,"Allende, Humberto","Allende(-Sarón), (Pedro) Humberto",1885.0,1959.0,Chile,,opera.stanford,,"Allende(-Sarón), (Pedro) Humberto"
100,"Allitsen, Frances","Allitsen [Bumpus], (Mary) Frances",1848.0,1912.0,United Kingdom,,opera.stanford,,"Allitsen [Bumpus], (Mary) Frances"
101,"Almeida, Francisco António de","Almeida, Francisco António de",1702.0,1755.0,Portugal,,opera.stanford,Almeida,"Almeida, Francisco António de"
102,"Alonso-Crespo, Eduardo","Alonso-Crespo, Eduardo",,,Argentina,,opera.stanford,,"Alonso-Crespo, Eduardo"
103,"Alonso, ",Alonso,1887.0,1948.0,Spain,Male,operabase,Alonso,
104,"Alpaerts, Flor","Alpaerts, Flor",1876.0,1954.0,Belgium,,opera.stanford,,"Alpaerts, Flor"
105,"Alsina, Carlos Roqué","Alsina, Carlos Roqué",1941.0,,Argentina,,opera.stanford,,"Alsina, Carlos Roqué"
106,"Altan, ",Altan,1985.0,,Turkey,Female,operabase,Altan,
107,"Altieri, ",Altieri,1745.0,1820.0,Italy,Male,operabase,Altieri,
108,"Alveri, Giovanni Battista","Alveri, Giovanni Battista",1660.0,1719.0,Italy,,opera.stanford,,"Alveri, Giovanni Battista"
109,"Alyabyev, Alexander Nilolaievich","Alyabyev [Aliabiyev], Alexander Nilolaievich",1787.0,1851.0,Russia,,opera.stanford,,"Alyabyev [Aliabiyev], Alexander Nilolaievich"
110,"Amadei, Filippo","Amadei [Mattei], Filippo",,,Italy,,opera.stanford,,"Amadei [Mattei], Filippo"
111,"Amalia Friederike,","Amalia Friederike,",,,Germany,,opera.stanford,,"Amalia Friederike,"
112,"Amato, Vincenzo","Amato [D'Amato. De Amato, Di Amato], Vincenzo",1629.0,1670.0,Italy,,opera.stanford,,"Amato [D'Amato. De Amato, Di Amato], Vincenzo"
113,"Ambros, Vladimir","Ambros, Vladimir",1890.0,1956.0,Czechia,,opera.stanford,,"Ambros, Vladimir"
114,"Amellér, André","Amellér, André (Charles Gabriel)",1912.0,1990.0,France,,opera.stanford,,"Amellér, André (Charles Gabriel)"
115,"Amendola, Giuseppe","Amendola, Giuseppe",1750.0,1808.0,Italy,,opera.stanford,,"Amendola, Giuseppe"
116,"Amirov, Fikret","Amirov, Fikret (Meshadi Dzhamil')",1922.0,1984.0,Azerbaijan,,opera.stanford,Amirov,"Amirov, Fikret (Meshadi Dzhamil')"
117,"Amodei, Cataldo","Amodei, Cataldo",1650.0,1695.0,Italy,,opera.stanford,,"Amodei, Cataldo"
118,"Amon, Johannes Andreas","Amon, Johannes Andreas",1763.0,1825.0,Germany,,opera.stanford,,"Amon, Johannes Andreas"
119,"Amram, David","Amram, David (Werner, III)",1930.0,,United States,,opera.stanford,,"Amram, David (Werner, III)"
120,"Anderberg, Carl-Olof","Anderberg, Carl-Olof",1914.0,1972.0,Sweden,,opera.stanford,,"Anderberg, Carl-Olof"
121,"Anders, Hendrik","Anders, Hendrik",1657.0,1714.0,Germany,,opera.stanford,,"Anders, Hendrik"
122,"Anderson, Beth","Anderson, Beth",1950.0,,United States,,opera.stanford,Anderson,"Anderson, Beth"
123,"Anderson, T J","Anderson, T(homas) J(efferson, Jr.)",1928.0,,United States,,opera.stanford,,"Anderson, T(homas) J(efferson, Jr.)"
124,"AnderssonBT, ",AnderssonBT,1964.0,,Sweden,Male,operabase,AnderssonBT,
125,"André, Johann {Jean","André, Johann {Jean]",1741.0,1799.0,Germany,,opera.stanford,,"André, Johann {Jean]"
126,"André, Johann Anton","André, Johann Anton",1775.0,1842.0,Germany,,opera.stanford,,"André, Johann Anton"
127,"Andrée, Elfrida","Andrée, Elfrida",1841.0,1929.0,Sweden,,opera.stanford,,"Andrée, Elfrida"
128,"Andrasovan, Tibor","Andrasovan, Tibor",1917.0,,Slovakia,,opera.stanford,,"Andrasovan, Tibor"
129,"Andreae, Volkmar","Andreae, Volkmar",1879.0,1962.0,Switzerland,,opera.stanford,,"Andreae, Volkmar"
130,"AndreM, ",AndreM,1964.0,,France,Male,operabase,AndreM,
131,"Andreozzi, Gaetano","Andreozzi, Gaetano",1755.0,1826.0,Italy,,opera.stanford,,"Andreozzi, Gaetano"
132,"Andries, Jean","Andries, Jean",1798.0,1872.0,Belgium,,opera.stanford,,"Andries, Jean"
133,"Andriessen, Hendrik","Andriessen, Hendrik",1892.0,1981.0,Netherlands,,opera.stanford,,"Andriessen, Hendrik"
134,"Andriessen, Jurriaan","Andriessen, Jurriaan",1925.0,,Netherlands,,opera.stanford,,"Andriessen, Jurriaan"
135,"Andriessen, Louis Hendrik",Andriessen Louis Hendrik,1939.0,,Netherlands,Male,operabase,Andriessen,
136,"Androsch, ",Androsch,1963.0,,Austria,Male,operabase,Androsch,
137,"Anfossi, Pasquale","Anfossi, Pasquale",1727.0,1797.0,Italy,,opera.stanford,,"Anfossi, Pasquale"
138,"Angelo, Gioacchino","Angelo, Gioacchino",1899.0,1971.0,Italy,,opera.stanford,,"Angelo, Gioacchino"
139,"Angeloni, Carlo","Angeloni, Carlo",1834.0,1901.0,Italy,,opera.stanford,,"Angeloni, Carlo"
140,"Angerer, Paul","Angerer, Paul",1927.0,,Austria,,opera.stanford,,"Angerer, Paul"
141,"Angermann, ",Angermann,1953.0,,Germany,Male,operabase,Angermann,
142,"Anna Amalia,","Anna Amalia [Amalie],",1739.0,1807.0,Germany,,opera.stanford,,"Anna Amalia [Amalie],"
143,"Antheil, George","Antheil, George [Georg] (Johann Carl)",1900.0,1959.0,United States,,opera.stanford,Antheil,"Antheil, George [Georg] (Johann Carl)"
144,"Antill, John","Antill, John (Henry)",1904.0,1986.0,Australia,,opera.stanford,,"Antill, John (Henry)"
145,"Antoine, Ferdinand d","Antoine [Anthoin], Ferdinand d'",,,Germany,,opera.stanford,,"Antoine [Anthoin], Ferdinand d'"
146,Anton,Anton (Clemens Theodor),1755.0,1836.0,Germany,,opera.stanford,,Anton (Clemens Theodor)
147,"Antoni, Antonio d","Antoni, Antonio d'",1801.0,1859.0,Italy,,opera.stanford,,"Antoni, Antonio d'"
148,"Antunes, Jorge","Antunes, Jorge",1942.0,,Brazil,,opera.stanford,Antunes,"Antunes, Jorge"
149,"Apell, David August von","Apell [Capelli], David August von",1754.0,1832.0,Germany,,opera.stanford,,"Apell [Capelli], David August von"
150,"Aperghis, Georges","Aperghis, Georges",1945.0,,Greece,,opera.stanford,Aperghis,"Aperghis, Georges"
151,"ApIvor, Denis","ApIvor, Denis",1916.0,2004.0,Ireland,,opera.stanford,,"ApIvor, Denis"
152,"Apolloni, Salvatore","Apolloni [Appoloni, Appolini], Salvatore [Salvadore]",1704.0,,Italy,,opera.stanford,,"Apolloni [Appoloni, Appolini], Salvatore [Salvadore]"
153,"Aprikian, Garbis",Aprikian Garbis,1926.0,,Armenia,Male,operabase,Aprikian,
154,"Arámbarri, Jesús","Arámbarri (y Gárate), Jesús",1902.0,1960.0,Spain,,opera.stanford,,"Arámbarri (y Gárate), Jesús"
155,"Araia, Francesco","Araia [Araja], Francesco",1709.0,1770.0,Italy,,opera.stanford,,"Araia [Araja], Francesco"
156,"Arakishvili, Dimitri","Arakishvili, Dimitri (Ignat'yevich)",1873.0,1953.0,Russia,,opera.stanford,,"Arakishvili, Dimitri (Ignat'yevich)"
157,"Aranaz y Vides, Pedro","Aranaz y Vides, Pedro",1740.0,,Spain,,opera.stanford,,"Aranaz y Vides, Pedro"
158,"Arapov, Boris","Arapov, Boris (Alexandrovich)",1905.0,1992.0,Russia,,opera.stanford,,"Arapov, Boris (Alexandrovich)"
159,"Arbós, Enrique Fernández","Arbós, Enrique Fernández",1863.0,1939.0,Spain,,opera.stanford,,"Arbós, Enrique Fernández"
160,Archer,Archer[,,,France,,opera.stanford,,Archer[
161,"Arditi, Luigi","Arditi, Luigi",1822.0,1903.0,Italy,,opera.stanford,,"Arditi, Luigi"
162,"Arena, Giuseppe","Arena, Giuseppe",1707.0,1784.0,Malta,,opera.stanford,,"Arena, Giuseppe"
163,"Arensky, Anton","Arensky, Anton (Stepanovich)",1861.0,1906.0,Russia,,opera.stanford,,"Arensky, Anton (Stepanovich)"
164,"Argento, Dominick Dominick",Argento Dominick Dominick,1927.0,,United States,Male,operabase,Argento,"Argento, Dominick"
