"","work_x","composer_x","work_key"
"8048","A Christmas Carol","Musgrave","Q54995687"
"8049","A Christmas Carol","Musgrave","Q54992096"
"8050","A Christmas Carol","Musgrave","Q54996354"
"7800","A Flowering Tree","Adams","Q2148578"
"2279","A Midsummer Night's Dream","Britten","Q605750"
"1950","A Streetcar Named Desire","Previn","Q4659869"
"21296","A View from the Bridge","Bolcom","Q54992434"
"28417","A Water Bird Talk","Argento","Q54990704"
"28639","A Wedding","Bolcom","Q4660603"
"59276","A Wrinkle in Time","Larsen","Q54996261"
"1245","Acis and Galatea","Handel","Q341482"
"41328","Adelia","Donizetti","Q503582"
"643","Adriana Lecouvreur","Cilea","Q375063"
"19693","Adriana Mater","Saariaho","Q2825066"
"9680","Agrippina","Handel","Q397041"
"476","Aida","Verdi","Q171277"
"9685","Ainadamar","Golijov","Q4697384"
"5112","Akhnaten","Glass","Q417738"
"9975","Albert Herring","Britten","Q577825"
"17668","Alceste","Gluck","Q2019911"
"17666","Alceste","Gluck","Q2640248"
"17667","Alceste","Gluck","Q1046495"
"2417","Alcina","Handel","Q275627"
"6124","Aleko","Rachmaninoff","Q927503"
"12250","Alice in Wonderland","Chin","Q54996228"
"12251","Alice in Wonderland","Chin","Q54993321"
"12252","Alice in Wonderland","Chin","Q2622334"
"19977","Alice in Wonderland","Westergaard","Q54996228"
"19978","Alice in Wonderland","Westergaard","Q54993321"
"19979","Alice in Wonderland","Westergaard","Q2622334"
"12317","Almira","Handel","Q1547158"
"40426","Alzira","Verdi","Q450801"
"13775","Amadigi di Gaula","Handel","Q452022"
"759","Amahl and the Night Visitors","Menotti","Q452523"
"9111","Andrea Chénier","Giordano","Q493656"
"1512","Anna Bolena","Donizetti","Q559848"
"15408","Anna Karenina","Carlson","Q4767139"
"15407","Anna Karenina","Carlson","Q4767140"
"36889","Anoush","Tigranian","Q4770434"
"16354","Antony and Cleopatra","Barber","Q4777266"
"6527","Appomattox","Glass","Q2858869"
"899","Arabella","Strauss","Q390779"
"1156","Ariadne auf Naxos","Strauss","Q654633"
"410","Ariodante","Handel","Q662514"
"14451","Armida","Rossini","Q777578"
"49151","Armida","Haydn","Q238762"
"6835","Armide","Lully","Q777582"
"6836","Armide","Lully","Q1361941"
"12224","Attila","Verdi","Q211460"
"4374","Babes in Toyland","Herbert","Q1563380"
"59068","Barbe-bleue","Offenbach","Q373076"
"11643","Beatrice di Tenda","Bellini","Q791658"
"6452","Becoming Santa Claus","Adamo","Q21775670"
"32091","Benvenuto Cellini","Berlioz","Q277846"
"43200","Betrothal in a Monastery","Prokofiev","Q2629201"
"3857","Billy Budd","Britten","Q803767"
"10743","Blue Monday","Gershwin","Q4929437"
"563","Bluebeard's Castle","Bartók","Q55063858"
"564","Bluebeard's Castle","Bartók","Q249749"
"39850","Bon Appétit!","Hoiby","Q14496577"
"18126","Brief Encounter","Previn","Q4967023"
"17200","Brundibár","Krása","Q565663"
"22180","Béatrice et Bénédict","Berlioz","Q791661"
"5599","Capriccio","Strauss","Q1034949"
"103","Carmen","Bizet","Q185968"
"17072","Casanova's Homecoming","Argento","Q5048021"
"894","Cavalleria rusticana","Mascagni","Q221806"
"893","Cavalleria rusticana","Mascagni","Q21077656"
"2793","Cendrillon","Isouard","Q1371386"
"672","Cendrillon","Massenet","Q1371386"
"2162","Champion","Blanchard","Q13554491"
"9050","Cinderella","Rodgers","Q1092280"
"40888","Cinderella","Barab","Q12046368"
"24220","Cinderella","Massenet","Q1371386"
"2547","Cinderella","Rossini","Q176700"
"33537","Comedy on the Bridge","Martinu","Q5151499"
"70","Così fan tutte","Mozart","Q207410"
"19717","Curlew River","Britten","Q615696"
"3058","Cyrano","DiChiera","Q50358475"
"3057","Cyrano","DiChiera","Q5200576"
"3059","Cyrano","DiChiera","Q5200574"
"4176","Cyrano de Bergerac","Alfano","Q967946"
"4175","Cyrano de Bergerac","Alfano","Q20057186"
"21856","Daphne","Strauss","Q1165496"
"19655","Das Liebesverbot","Wagner","Q174392"
"441","Das Rheingold","Wagner","Q327717"
"60251","Das verratene Meer","Henze","Q5226490"
"578","Dead Man Walking","Heggie","Q2708992"
"15083","Death in Venice","Britten","Q630476"
"4174","Der Rosenkavalier","Strauss","Q471240"
"10329","Der Vampyr","Marschner","Q253866"
"4413","Der Zwerg","Zemlinsky","Q1198242"
"4518","Dialogues of the Carmelites","Poulenc","Q1208527"
"2481","Dido and Aeneas","Purcell","Q746646"
"4995","Die Entführung aus dem Serail","Mozart","Q210711"
"1321","Die Fledermaus","Strauss, Jr.","Q464930"
"10031","Die Frau ohne Schatten","Strauss","Q1143019"
"16119","Die Gezeichneten","Schreker","Q1213033"
"8867","Die Kluge","Orff","Q1213962"
"6508","Die Meistersinger von Nürnberg","Wagner","Q465540"
"296","Die Walküre","Wagner","Q324319"
"61230","Die schweigsame Frau","Strauss","Q1219379"
"6390","Die tote Stadt","Korngold","Q1219611"
"37472","Die ägyptische Helena","Strauss","Q1220040"
"19488","Djamileh","Bizet","Q912017"
"1175","Doctor Atomic","Adams","Q1233821"
"30285","Doktor Faust","Busoni","Q1235069"
"7549","Don Carlos","Verdi","Q179110"
"19878","Don Giovanni","Gazzaniga","Q192039"
"224","Don Giovanni","Mozart","Q192039"
"222","Don Pasquale","Donizetti","Q723941"
"5068","Don Quichotte","Massenet","Q727793"
"9100","Don Quixote","Massenet","Q54991218"
"50652","Down in the Valley","Weill","Q5302976"
"20325","Edgar","Puccini","Q1351"
"10318","Einstein on the Beach","Glass","Q2291287"
"12657","Elegy for Young Lovers","Henze","Q3050642"
"536","Elektra","Strauss","Q731927"
"7607","Elmer Gantry","Aldridge","Q5366558"
"34342","Ermione","Rossini","Q936702"
"7477","Ernani","Verdi","Q211279"
