,work,date
0,Faust,1883-10-22
1,Lucia di Lammermoor,1883-10-24
2,Il Trovatore,1883-10-26
3,Faust,1883-10-27
4,I Puritani,1883-10-29
5,Mignon,1883-10-31
6,Lucia di Lammermoor,1883-11-02
7,Mignon,1883-11-03
8,La Traviata,1883-11-05
9,Lohengrin,1883-11-07
10,Faust,1883-11-09
11,La Traviata,1883-11-10
12,First Grand Sunday Night Concert,1883-11-11
13,Lohengrin,1883-11-12
14,La Sonnambula,1883-11-14
15,Rigoletto,1883-11-16
16,Lohengrin,1883-11-17
17,Second Grand Sunday Night Concert,1883-11-18
18,Robert le Diable,1883-11-19
19,Mignon,1883-11-21
20,Il Barbiere di Siviglia,1883-11-23
21,Faust,1883-11-24
22,Third Grand Sunday Night Concert,1883-11-25
23,Il Trovatore,1883-11-26
24,Don Giovanni,1883-11-28
25,Rigoletto,1883-11-30
26,Lohengrin,1883-12-01
27,Fourth Grand Sunday Night Concert,1883-12-02
28,Lucia di Lammermoor,1883-12-03
29,Mefistofele,1883-12-05
30,Robert le Diable,1883-12-07
31,Don Giovanni,1883-12-08
32,Fifth Grand Sunday Night Concert,1883-12-09
33,Faust,1883-12-10
34,Don Giovanni,1883-12-12
35,Il Barbiere di Siviglia,1883-12-14
36,Mefistofele,1883-12-15
37,Sixth Grand Sunday Night ConcertStabat Mater,1883-12-16
38,La Sonnambula,1883-12-17
39,La Gioconda,1883-12-20
40,La Traviata,1883-12-21
41,La Gioconda,1883-12-22
42,Seventh Grand Sunday Night ConcertStabat Mater,1883-12-23
43,Rigoletto,1883-12-24
44,Faust,1883-12-26
45,Lucia di Lammermoor,1883-12-27
46,Il Trovatore,1883-12-28
47,Mignon,1883-12-29
48,La Sonnambula,1883-12-29
49,Grand Sunday Night ConcertStabat Mater,1883-12-30
50,La Traviata,1883-12-31
51,La Gioconda,1884-01-01
52,Il Barbiere di Siviglia,1884-01-02
53,Lohengrin,1884-01-03
54,Martha,1884-01-04
55,Faust,1884-01-05
56,Carmen,1884-01-05
57,Carmen,1884-01-07
58,Faust,1884-01-08
59,Carmen,1884-01-09
60,Don Giovanni,1884-01-10
61,La Gioconda,1884-01-11
62,Carmen,1884-01-12
63,Grand Sunday Night Concert,1884-01-13
64,Faust,1884-01-14
65,Lucia di Lammermoor,1884-01-15
66,Il Trovatore,1884-01-16
67,Don Giovanni,1884-01-17
68,La Gioconda,1884-01-18
69,Martha,1884-01-19
70,Carmen,1884-01-19
71,Faust,1884-01-21
72,Lucia di Lammermoor,1884-01-22
73,Lohengrin,1884-01-23
74,Don Giovanni,1884-01-24
75,Il Barbiere di Siviglia,1884-01-25
76,Faust,1884-01-26
77,Carmen,1884-01-26
78,Grand Sunday Night ConcertStabat Mater,1884-01-27
79,La Gioconda,1884-01-28
80,La Sonnambula,1884-01-29
81,Mignon,1884-01-30
82,La Traviata,1884-01-31
83,Robert le Diable,1884-02-01
84,Martha,1884-02-02
85,La Gioconda,1884-02-02
86,Il Trovatore,1884-02-04
87,Faust,1884-02-05
88,Lucia di Lammermoor,1884-02-06
89,Carmen,1884-02-07
