,SEASON,STATE,CITY,ORGNAME,TITLE,NPERFORM,STARTDATE,ENDDATE
2050,1988-89,NEW YORK CITY,Condado,Opera de Camara,The Old Maid and the Thief,3,1989-03-01,1989-03-01
2051,1987-88,NEW YORK CITY,Condado,Opera de Camara,El Mensajero de Plata,1,1988-04-01,1988-04-01
2052,1986-87,NEW YORK CITY,Condado,Opera de Camara,Antologia de la Tonadilla Espa?ola,3,1987-06-01,1987-06-01
2053,1986-87,NEW YORK CITY,Condado,Opera de Camara,Little Red Riding Hood,4,1987-06-28,1987-07-05
2054,1986-87,NEW YORK CITY,Condado,Opera de Camara,The Telephone & The Old Maid and the Thief,1,1987-07-11,1987-07-12
2055,1987-88,NEW YORK CITY,Condado,Opera de Camara,Hansel and Gretel,2,1987-12-25,1987-12-27
2056,1988-89,NEW YORK CITY,Condado,Opera de Camara,The Toy Shop,4,1988-12-03,1988-12-11
2057,1980-81,NEW YORK CITY,Rio Piedras,Opera de Camara,Paisiello's The Barber of Seville,1,1981-05-01,1981-05-01
2058,1985-86,NEW YORK CITY,Rio Piedras,Opera de Camara,Sierra's El mensajero de plata,1,1986-05-01,1986-05-01
2059,1982-83,NEW YORK CITY,Rio Piedras,Opera de Camara,Bastien und Bastienne 6c Arlecchino & David and Goliath,1,1983-08-01,1983-08-01
2060,1982-83,NEW YORK CITY,Rio Piedras,Opera de Camara,La Serva padrona,9,1982-08-30,1983-05-01
2061,1985-86,NEW YORK CITY,Rio Piedras,Opera de Camara,La Voix humaine & The Telephone,9,1985-10-05,1985-11-08
2062,1985-86,NEW YORK CITY,Rio Piedras,Opera de Camara,Hansel and Gretel,1,1985-12-01,1985-12-01
2063,1980-81,NEW YORK CITY,Rio Piedras,Opera de Camara,Hansel and Gretel,1,1980-12-20,1980-12-21
2064,1982-83,NEW YORK CITY,Rio Piedras,Opera de Camara,Amahl and the Night Visitors,6,1982-12-25,1983-01-06
2065,1983-84,NEW YORK CITY,Rio Piedras,Opera de Camara,Kleine Harlequinade; Hansel and Gretel; Little Red Riding Hood; Il Segreto di Susanna; Italiana Fingida,15,1983-01-01,1984-01-01
2066,1981-82,NEW YORK CITY,Rio Piedras,Opera de Camara,Los Fantasticks,10,1982-04-01,1982-05-01
2067,1986-87,NEW YORK CITY,Rio Piedras,Opera de Camara,The Old Maid and the Thief,1,1987-05-01,1987-05-01
2068,1981-82,NEW YORK CITY,Rio Piedras,Opera de Camara,Opera Scenes,1,1982-06-01,1982-06-01
2069,1978-79,NEW YORK CITY,Rio Piedras,Opera de Camara,Il segreto di Susanna,10,1978-09-15,1978-10-06
2070,1986-87,NEW YORK CITY,Rio Piedras,Opera de Camara,Sierra's El Mensajero de Plata,2,1986-10-09,1986-10-11
2071,1981-82,NEW YORK CITY,Rio Piedras,Opera de Camara,Hansel y Gretel,6,1981-12-26,1982-01-06
2072,1978-79,NEW YORK CITY,Rio Piedras,Opera de Camara,Der Schauspieldirektor; Il Campanello,15,1978-01-01,1979-01-01
2073,1988-89,NEW YORK CITY,San Juan,Opera de Camara,The Toy Shop,1,1989-03-18,1989-03-19
2074,1988-89,NEW YORK CITY,San Juan,Opera de Camara,The Impresario,2,1989-07-14,1989-07-16
2075,1989-90,NEW YORK CITY,San Juan,Opera de Camara,The Toy Shop,2,1989-11-29,1989-12-03
2076,1977-78,NEW YORK CITY,San Juan,Opera de Camara,La Serva padrona,15,1977-01-01,1978-01-01
2077,1973-74,NEW YORK CITY,San Juan,Opera de Puerto Rico,La Traviata,1,1974-01-18,1974-01-18
2078,SUMMER 1969,NEW YORK CITY,San Juan,Casals Festival,concerts & recitals,7,1969-05-28,1969-06-11
2079,SUMMER 1971,NEW YORK CITY,San Juan,Festival Casals of Puerto Rico,Symphony and chamber music concerts,9,1971-05-28,1971-06-14
2080,SUMMER 1973,NEW YORK CITY,San Juan,Festival Casals of Puerto Rico,Festival Orch.,9,1973-05-28,1973-06-15
2081,SUMMER 1976,NEW YORK CITY,San Juan,Festival Casals of Puerto Rico,,10,1976-06-10,1976-07-05
2082,SUMMER 1975,NEW YORK CITY,San Juan,Festival Casals of Puerto Rico,,9,1975-06-03,1975-06-20
2083,SUMMER 1974,NEW YORK CITY,San Juan,Festival Casals of Puerto Rico,Festival Concerts,9,1974-06-04,1974-06-22
2084,1986-87,NEW YORK CITY,San Juan,Festival Casals of Puerto Rico,,7,1987-06-06,1987-06-20
2085,1977-78,NEW YORK CITY,San Juan,Opera Festival of Puerto Rico,Andrea Chénier,2,1978-03-14,1978-03-16
2086,1972-73,NEW YORK CITY,San Juan,Opera Puerto Rico,Tosca Bumbry,3,1972-09-24,1972-09-30
2087,1984-85,NEW YORK CITY,San Juan,Pro Arte Music Ensemble,La Favorita,1,1984-10-03,1984-10-03
