,composer,composer_info,work
0,"Aav, Evald"," (7.3.1900 Reval - 21.3.1939 Tallinn)
  ",Vikerlased
1,"Abbà Cornaglia, Pietro"," (20.3.1851 Alessandria - 2.5.1894 Alessandria)
  ",Isabella Spinola
2,"Abbà Cornaglia, Pietro"," (20.3.1851 Alessandria - 2.5.1894 Alessandria)
  ",Maria di Warden
3,"Abbà Cornaglia, Pietro"," (20.3.1851 Alessandria - 2.5.1894 Alessandria)
  ",Una partita a scacchi
4,"Abbadia, Natale"," (11.3.1792 Genova - 25.12.1861 Milano)
  ",Giannina di Pontieu
5,"Abbadia, Natale"," (11.3.1792 Genova - 25.12.1861 Milano)
  ",L'imbroglione ed il castigamatti
6,"Abbatini, Antonio Maria"," (c.1597 Tiferno [Città di Castello], Umbria - c.1679 Tiferno)
  ",Dal male il bene
7,"Abbatini, Antonio Maria"," (c.1597 Tiferno [Città di Castello], Umbria - c.1679 Tiferno)
  ",Ione
8,"Abbatini, Antonio Maria"," (c.1597 Tiferno [Città di Castello], Umbria - c.1679 Tiferno)
  ","La comica del cielo,"
9,"Abeille, (Johann Christian) Ludwig"," (20.2.1761 Bayreuth - 2.3.1838 Stuttgart)
  ",Amor und Psyche
10,"Abeille, (Johann Christian) Ludwig"," (20.2.1761 Bayreuth - 2.3.1838 Stuttgart)
  ",Peter und Ännchen
11,"Abert, Johann Joseph"," (20.9.1832 Kochowitz - 1.4.1915 Stuttgart)
  ",Anna von Landskron
12,"Abert, Johann Joseph"," (20.9.1832 Kochowitz - 1.4.1915 Stuttgart)
  ",König Enzio
13,"Abert, Johann Joseph"," (20.9.1832 Kochowitz - 1.4.1915 Stuttgart)
  ",Astorga
14,"Abert, Johann Joseph"," (20.9.1832 Kochowitz - 1.4.1915 Stuttgart)
  ",Ekkehard
15,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",Le due zingare simili
16,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",Il geloso
17,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",Le furbiere di Spilletto
18,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",La serva padrona
19,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",La moglie gelosa
20,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",Ifigenia in Aulide
21,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",Artaserse
22,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",Pelopida
23,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",Alessandro nelle Indie
24,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",Arianna e Teseo
25,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",Adriano in Siria
