,work,composer,librettist,theatre,date
0,Maid Marian,Colin Macleod Campbell,Nancy Campbell,Gaumont Theatre,1956-03-12
1,Bitter Sweet,Noël Coward,Noël Coward,Gaumont Theatre,1956-03-13
2,Bitter Sweet,Noël Coward,Noël Coward,Gaumont Theatre,1956-03-15
3,Bitter Sweet,Noël Coward,Noël Coward,Gaumont Theatre,1956-03-17
4,Maid Marian,Colin Macleod Campbell,Nancy Campbell,Gaumont Theatre,1956-03-14
5,Maid Marian,Colin Macleod Campbell,Nancy Campbell,Gaumont Theatre,1956-03-16
6,Norma,Vincenzo Bellini,Felice Romani,"Theatre Royal, Glasgow",1956-04-23
7,Norma,Vincenzo Bellini,Felice Romani,"Theatre Royal, Glasgow",1956-04-26
8,Norma,Vincenzo Bellini,Felice Romani,"Theatre Royal, Glasgow",1956-04-28
9,Bartered Bride,Bedřich Smetana,Karel Sabina,"Theatre Royal, Glasgow",1956-04-24
10,Bartered Bride,Bedřich Smetana,Karel Sabina,"Theatre Royal, Glasgow",1956-04-25
11,Bartered Bride,Bedřich Smetana,Karel Sabina,"Theatre Royal, Glasgow",1956-04-27
12,Bartered Bride,Bedřich Smetana,Karel Sabina,"Theatre Royal, Glasgow",1956-04-28
13,Faust,Charles Gounod,"Jules Barbier
				Michel Carré","Theatre Royal, Glasgow",1956-05-14
14,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Theatre Royal, Glasgow",1956-05-17
15,Manon Lescaut,Giacomo Puccini,"Marco Praga
				Domenico Oliva
				Giuseppe Giacosa
				Luigi Illica
				Giulio Ricordi
				Giacomo Puccini","Theatre Royal, Glasgow",1956-05-18
16,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,"King's Theatre, Edinburgh",1956-08-20
17,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,"King's Theatre, Edinburgh",1956-08-22
18,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,"King's Theatre, Edinburgh",1956-08-24
19,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,"King's Theatre, Edinburgh",1956-08-29
20,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,"King's Theatre, Edinburgh",1956-08-29
21,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,"King's Theatre, Edinburgh",1956-08-31
22,Magic Flute,Wolfgang Amadeus Mozart,Emanuel Schikaneder,"King's Theatre, Edinburgh",1956-09-03
23,Oedipus Rex,Igor Stravinsky,Jean Cocteau,"King's Theatre, Edinburgh",1956-08-21
24,Oedipus Rex,Igor Stravinsky,Jean Cocteau,"King's Theatre, Edinburgh",1956-08-28
25,Oedipus Rex,Igor Stravinsky,Jean Cocteau,"King's Theatre, Edinburgh",1956-09-05
26,Mavra,Igor Stravinsky,Boris Kochno,"King's Theatre, Edinburgh",1956-08-21
27,Mavra,Igor Stravinsky,Boris Kochno,"King's Theatre, Edinburgh",1956-08-28
28,Mavra,Igor Stravinsky,Boris Kochno,"King's Theatre, Edinburgh",1956-09-05
29,Barber of Baghdad,Peter Cornelius,Peter Cornelius,"King's Theatre, Edinburgh",1956-08-23
30,Barber of Baghdad,Peter Cornelius,Peter Cornelius,"King's Theatre, Edinburgh",1956-08-25
