,title,url,work,venue,city,rating,date,author,full_text
0,"The Skating Rink review at Garsington Opera, Wormsley – ‘finely observed’",https://www.thestage.co.uk/reviews/2018/skating-rink-review-garsington-opera-wormsley/,The Skating Rink,Garsington Opera,Wormsley,4,2018-07-06,George Hall,"Towards the end of a strong season, Garsington unveils a new opera – other than community works the first at this venue.It’s the fourth by David Sawer, now in his mid-50s. The subject is taken from a novel by the Chilean writer Roberto Bolano, who died in Spain in 2003.The Skating Rink describes how Enric, a middle-aged civil servant in a Spanish seaside town, conceives a passion for Nuria, a local figure skater, and embezzles funds to create for her a skating rink in a deserted palace. How his romantic but nefarious scheme eventually unravels provides the narrative, seen from his perspective as well as, earlier in the piece, from those of Gaspar, a local night-watchman, and Remo, a businessman who has an affair with Nuria; the result turns into a mystery with a whodunnit element.Sawer’s setting of Rory Mullarkey’s libretto maintains clarity and his score combines immediacy with pace: there’s a particularly magical sequence when skater Alice Poggio takes to the ice as Nuria (the role is sung by Lauren Zolezzi) and Sawer’s music soars in lyrical flight; but overall it’s a piece whose qualities will be quickly grasped by the audience. Garry Walker conducts the Garsington Opera Orchestra in a taut and cohesive performance.Stewart Laing both directs and designs the set. The result is finely observed,  offering a view of the underbelly of Spanish life that tourists never see: the sleaziness of local politicians, the desire to tidy the place up by removing vagrants, the general dissatisfaction of the locals with life on the Costa Brava.The cast is consistently strong, with standouts from Susan Bickley’s earthy Carmen, a former opera singer on her uppers, Alan Oke’s dysfunctional Rookie, and especially Grant Doyle as cheesy, desperate Enric.Falstaff review at Garsington Opera, Buckinghamshire – ‘warmth and humanity’"
1,"Cosi Fan Tutte review at St Saviour’s Church, St Albans – ‘pace and panache’",https://www.thestage.co.uk/reviews/2018/cosi-fan-tutte-review-st-saviours-church-st-albans/,Cosi Fan Tutte,St Saviour’s Church,St Albans,4,2018-07-05,Yehuda Shapiro,"Dulwich Opera is a touring company established by two young singers, Loretta Hopkins and David Fletcher. Its production of Cosi Fan Tutte will be traversing the country again in the autumn.Lively and convincingly detailed, it benefits from the hand of an experienced director, Ptolemy Christie, who wisely keeps the standard comic-opera shtick to a minimum.Having adhered closely to da Ponte’s ambiguity-ridden libretto, in the final moments he introduces a twist: the duped sisters, Fiordiligi and Dorabella, both give the cynical and manipulative Don Alfonso a good slap and walk purposefully offstage, leaving their lovers behind.In Leah Sams’ design, with its readily portable décor of garlands and bistro furniture, the costumes suggest the 1930s and Ferrando’s and Guglielmo’s disguise evokes Ottoman style.In vocal terms, the six singers perhaps don’t comprise an ideally-matched ensemble, but all of them give astute performances, making pointed use of the text – the opera is given in Italian with surtitles.The Latin thrust of Robert Barbaro’s stylish Ferrando contrasts with the relative reserve of Fletcher’s soft-grained baritone as Guglielmo, while there is little sisterly resemblance between the mellow hues of Phillipa Thomas’ Dorabella and the incisive tones of Hopkins’ confidently articulated Fiordiligi.Honey Rouhani sparkles as the sassy Despina (genuinely hard to recognise when she enters as a jump lead-toting ‘doctor’) and James Williams makes a suavely resonant Don Alfonso.There is no orchestra, but Janet Haney handles a piano reduction of the score with pace and panache."
2,La Traviata review at Longborough Festival Opera – ‘awkward Hollywood farce’,https://www.thestage.co.uk/reviews/2018/la-traviata-review-longborough-festival-opera/,La Traviata,Longborough Festival Opera – ‘awkward Hollywood farce’,La Traviata review at Longborough Festival Opera,3,2018-07-03,Amanda Holloway,"Longborough Festival Opera’s theatre-in-a-barn (clad in Classical columns and with seats instead of hay bales) is known for excellent Wagner productions on a shoestring.After a successful Flying Dutchman comes a brash, 20th-century media setting of La Traviata, directed by Daisy Evans. She imagines Verdi’s courtesan Violetta as a Hollywood movie star addicted to drugs and parties, and her lover Alfredo as a rich besotted fan. But the analogy adds nothing to Verdi’s perfectly plotted original and the idea of staging the first act on a cluttered movie set is the stuff of Rossini comedies.Anna Patalong’s Violetta is inspired by Marilyn Monroe, though she looks more like a young Callas. Her dark-hued soprano smoulders and sobs and her dying scene is suitably affecting if only she weren’t lying at the front of the stage where most of the audience can’t see her. The constant clowning of the minor characters and the melodramatic emoting of tenor Peter Gijsbertsen as Alfredo and Mark Stone as Germont rob us of sympathy for their emotional turmoil.The big voices sometimes override the small orchestra but the simplicity and clarity of the orchestral lines come as a welcome respite. Conductor Thomas Blunt does well to keep in contact with the scattered chorus, which makes a powerful sound for such small forces.At the core of La Traviata is a chamber opera, ideal for a small theatre like Longborough. Evans could have created a genuinely intimate experience, rather than this awkward Hollywood farce."
3,"Don Giovanni review at Royal Opera House, London – ‘a thrilling ride’",https://www.thestage.co.uk/reviews/2018/don-giovanni-review-royal-opera-house-london-2/,Don Giovanni,Royal Opera House,London,4,2018-07-02,Amanda Holloway,"Swirling images of naked women, conquests catalogued in ghostly handwriting on palace walls – the video designs by Luke Halls take us deep inside the head of serial seducer Don Giovanni.Director Kasper Holten sees Giovanni as a haunted man trying to escape from his emptiness by chasing pleasure. If he stops, it all comes crashing down – as indeed it does in the last act. No physical hell for the seductive, feline figure of Mariusz Kwiecien, just a small man on an empty stage looking into the black auditorium.Kwiecien is rapacious and ubiquitous; he stalks his prey, weaving in and out of Es Devlin’s Escher-like mansion, with its doors and staircases offering hiding places to the ghosts of lovers and Willard W White’s sepulchral Commendatore. Even the luscious, rippling soprano of Rachel Willis-Sorensen as Donna Anna and Hrachuhi Bassenz’s winning Elvira, both in exquisite gowns by Anja Vang Kragh, cannot save Giovanni from his demons.Holten seems less interested in relationships than the individual turmoil of his characters – couples rarely touch or stand together and even the pert manipulator Zerlina (Chen Reiss) and her doltish Masetto (Anatoli Sivko) sing the flirtatious Batti, Batti from opposite sides of the stage. There’s no connection between Kwiecien’s Giovanni and the Leporello of Ildebrando D’Arcangelo, whose stately bass-baritone doesn’t lend itself to comedy. Pavol Breslik makes much of the thankless role of Don Ottavio and his Il Mio Tesoro was genuinely moving.Not everything in this frantic production illuminates the opera, but it’s a thrilling ride thanks to the excellent singing.The orchestra played well, but conductor Marc Minkowski’s speeds made problems of ensemble on the first night, rather than creating a sense of excitement."
4,"Pelleas et Melisande review at Glyndebourne, Lewes – ‘a confusing production’",https://www.thestage.co.uk/reviews/2018/pelleas-et-melisande-review-glyndebourne-lewes/,Pelleas et Melisande,Glyndebourne,Lewes,2,2018-07-02,George Hall,"Last month the Grange Festival opened a production of Handel’s Agrippina in sets that repeatedly referenced the venue itself and its recent history. Now, at Glyndebourne, Stefan Herheim presents Pelleas et Melisande in a staging whose main visual elements are openly borrowed from the Organ Room at the country house itself. It’s all starting to look a bit solipsistic.Herheim’s production has other problems, too. Set around the time of the opera’s composition in the 1890s, it adds further levels of the enigmatic and the mysterious – not to mention the downright obscure – to a scenario already steeped in such things.Why do the white-haired beggars discovered by Pelleas and Melisande sleeping in the cave become servants carrying artists’ easels? Why does an apparition of Jesus as the Good Shepherd suddenly materialise at an over-populated family dinner? Why does Golaud sexually assault his small son Yniold? Similar curiosities abound.Though it’s no-one’s fault, it didn’t help the first night that due to a throat infection bass Brindley Sherratt was unable to sing the role of Arkel, which he acted while Richard Wiegold gave an unsurprisingly rough-hewn account of the part from the auditorium. And in an opera whose lightly sung vocal lines would benefit from Francophone singers, there’s just one – Chloe Briot’s Yniold – in the entire cast.All of this compromises a performance whose most significant assets are the fluid and observant conducting of Robin Ticciati and the subtle and regularly luminous tone-colours provided by the London Philharmonic Orchestra – on marvellous form this season.For the rest, there’s superior singing from Karen Cargill’s Genevieve, a solid but rarely commanding Golaud from Christopher Purves, an enthusiastic Pelleas from John Chest and a skilful but oddly disengaged Melisande from Christina Gansch, all of whom would undoubtedly make a stronger impression in a better staging.Giulio Cesare review at Glyndebourne, Lewes – ‘a memorable revival’"
5,Powder Her Face review at Nevill Holt Opera – ‘rises to brilliance’,https://www.thestage.co.uk/reviews/2018/powder-her-face-review-nevill-holt-opera/,Powder Her Face,Nevill Holt Opera – ‘rises to brilliance’,Powder Her Face review at Nevill Holt Opera,4,2018-06-29,George Hall,"For the second production of its first season in its new opera house, Nevill Holt takes on a modern classic and presents it to a level few UK companies could match.To a mordantly witty libretto by Philip Hensher, Powder Her Face was the piece that put composer Thomas Ades on the operatic map when it premiered in 1995; and the complex appeal of this tragi-comedy based on the life of the scandalous 20th-century socialite Margaret, Duchess of Argyll continues unabated.One fault is arguably technical – not enough of the text comes through. Surtitles would undoubtedly help.But Antony McDonald’s stylish production charts impeccably the central character’s rise and fall from divorced former debutante and rich girl to an elderly woman thrown out of her grand hotel because she has no money left to pay the bill.The innumerable other characters who encounter her on her up-and-down trajectory – brilliantly played here by Irish soprano Daire Halpin, British/Australian tenor Adrian Dwyer and bass-baritone Stephen Richardson – may mock and excoriate her as she crashes to earth in the most undignified manner possible, but in the end one feels for the Duchess.Arguably somewhat soft-grained vocally for such an unashamedly hard-edged woman, soprano Mary Plazas takes on this starring role, and in terms of physicality – especially those facial expressions which this small venue allows the audience to see – she lays all the human dimensions of a flawed but proud individual before us. Her interpretation is a true tour-de-force.But then so is the orchestral performance from the Britten Sinfonia – resident at Nevill Holt for the first time – under young conductor Ian Ryan, who together relish the parodies and the collective memories of Richard Strauss and Berg in a musical account that shows Ades’ mastery of the medium at its considerable height."
6,"La Boheme review at Royal Opera House, London – ‘an unforgettable portrayal of Musetta’",https://www.thestage.co.uk/reviews/2018/la-boheme-review-royal-opera-house-london-2/,La Boheme,Royal Opera House,London,4,2018-06-27,George Hall,"Puccini’s most popular work – indeed the most popular piece in the entire operatic repertoire these days – La Boheme returns in Richard Jones’ pared down production.Pared down, that is, apart from the second act, when the Cafe Momus erupts in a whirl of hyperactivity, with three shopping arcades sliding on and off, and an unusually glamorous restaurant – surely far above the Bohemians’ most optimistic pockets – provides the evening with a brilliant set-piece of top-quality stagecraft.Here, too, Danielle de Niese launches her unforgettable portrayal of Musetta, a complex, unhappy and in this scene distinctly drunk individual whose antics nevertheless have the audience eating out of her hand. She clearly understands the young woman in some depth, as later scenes reveal.By her side Maria Agresta offers a classic Italian lyric soprano as Mimi, and like De Niese she shows us an individual of genuine strength, and not merely the kind of ‘little woman’ Puccini is still sometimes accused of portraying. Her tone is varied and sensitively deployed.These high-quality performances are matched by American tenor Matthew Polenzani’s buoyant, stylishly sung Rodolfo and Etienne Dupuis’ firm but volatile Marcello. Duncan Rock’s happy-go-lucky Schaunard and Fernando Rado’s vocally solid and emotionally sombre Colline flesh out the Bohemian quartet. Smaller roles are in the safe hands of Jeremy White as a gullible Benoit and Wyn Pencarreg as a put-upon Alcindoro.Nicola Luisotti conducts an interpretation that could do with keener rhythmic attack and more momentum generally, but which is often beautifully observed at a local level. He draws fine tone and shapely phrasing from the orchestra, while the chorus throw themselves into their big Act II scene with obvious relish.La Boheme review at Royal Opera House, London – ‘Richard Jones’ successful new staging’"
7,"The Turn of the Screw review at Open Air Theatre, London – ‘palpable dramatic charge’",https://www.thestage.co.uk/reviews/2018/turn-screw-review-opera-open-air-theatre-london/,The Turn of the Screw,Open Air Theatre,London,4,2018-06-26,Yehuda Shapiro,"Ahead of its production of Little Shop of Horrors, Regent’s Park Open Air Theatre stages a subtler and more sinister musical chiller, equally well suited to this verdant setting.Directed by the Open Air Theatre’s artistic director Timothy Sheader, this production of The Turn of the Screw is the result of a new partnership with English National Opera, which fields two casts for the nine performances.Predictably, Sheader makes creative use of the wide open spaces. Soutra Gilmour’s design places a dilapidated glasshouse amidst an overgrown garden. A raised wooden walkway and a ramshackle piano nestle in the grass.The singer of the Prologue (William Morgan) is planted in the audience and the ghosts (Elgan Llyr Thomas as the auburn-mopped Quint, Elin Pritchard as the heavily pregnant Miss Jessel) enter through the auditorium. The children, Miles and Flora (Daniel Alexander Sidhom and Elen Willmer) have plenty of room to leap and play.The downside is that a growing sense of claustrophobic panic becomes harder to evoke. Perhaps, too, Sheader renders the ghosts too robust and corporeal. There is even the suggestion of an ectoplasmic threesome with the Governess.The voices are skilfully amplified, retaining some natural acoustic resonance, but the score’s more diaphanous moments are compromised by the miking of the 13-strong instrumental ensemble, placed at the back of the greenhouse.The most memorable moment comes in Act II as dusk descends on the theatre and the Governess is alone with Miles, who by this point appears both vulnerable and malign. The scene is both touching and unnerving.In the course of the opera Sidhom seems to evolve into adolescence – or perhaps premature adulthood – before our eyes, while Willmer’s poised Flora is both captivating and spiteful. Janis Kelly’s Mrs Grose might not be warmly maternal of tone, but she is utterly persuasive as she gradually resigns herself to disaster.As the Prologue, William Morgan (Quint in the alternate cast) immediately collars the audience with his lively presence and pliant tenor, while Thomas’s Quint duly dominates the action with his interventions: his sound is both lean and ringing and he exudes a natural confidence. Pritchard brings rich, shining tone to Miss Jessel, here more an enigmatic than tragic figure, suggestive of a fairy tale with her implausibly long, thick plait of hair.The central figure, the Governess, is sung here by Anita Watson. The gentle radiance of her soprano and the unforced clarity of her diction (there are no surtitles) are matched by an economical, but always eloquent physical performance. Her smile speaks volumes.Conducting, Toby Purser ratchets up the tension over the two hours and the denser textures of the closing scenes fill the air with a palpable dramatic charge."
8,"The Abduction from the Seraglio review at the Grange, Hampshire – ‘an evening of nostalgia’",https://www.thestage.co.uk/reviews/2018/abduction-seraglio-review-grange-opera-hampshire/,The Abduction from the Seraglio,the Grange,Hampshire,3,2018-06-25,George Hall,"At the age of 85, John Copley – Britain’s most experienced opera director – stages Mozart’s Turkish comedy The Abduction from the Seraglio (as it is in David Parry’s free translation) at the Grange Festival.Copley is an unashamed traditionalist, and there’s nothing here that will faze or flummox anyone familiar with the work as it has appeared on UK stages over many decades.But he’s also a craftsman, and if he offers no new insights into the piece he does tell the story with clarity and humour. The jokes may be old ones and could be snappier, but in Tim Reed’s equally traditional designs this is a good-looking show that does more or less what it says on the tin.The singing is always solid if rarely special. Tenors Ed Lyon as Belmonte and Paul Curievici as Pedrillo are somewhat similar in vocal character and approach, both giving clean-cut accounts of their roles without offering much in the way of subtlety.In the high-flying soprano roles of Konstanze and her English maid Blonde respectively, Kiandra Howarth and Daisy Brown hit all their notes fair and square and once again present straightforward interpretations of their characters.Making stronger impressions are bass-baritone Jonathan Lemalu as a grand-scale Osmin who savours the comic possibilities of his role, and actor Alexander Andreou in the spoken role of Pasha Selim – a character to whom he brings considerable humanity and dignity.The conductor is Jean-Luc Tingaud, who keeps up the Mozartian momentum and maintains order in the pit, where the Bournemouth Symphony Orchestra are on excellent form.There’s much more to Mozart’s opera than is sought here, of course, and if finally this feels like a nostalgic evening then it will nevertheless bring much pleasure.The Barber of Seville review at Grange Festival, Hampshire – ‘witty and entertaining’"
9,"Romeo et Juliette review at Grange Park Opera, Surrey – ‘a lack of chemistry’",https://www.thestage.co.uk/reviews/2018/romeo-et-juliette-review-grange-park-opera-surrey/,Romeo et Juliette,Grange Park Opera,Surrey,3,2018-06-25,George Hall,"Charles Gounod’s second most popular opera (after Faust), Romeo et Juliette suffers from the composer falling in love with the sheer loveliness of his own music and simply going on too long rather than cutting to the dramatic chase.But beautiful his delicate, Pre-Raphaelite score certainly is, especially as stylishly played by the English National Opera Orchestra, on pristine form under conductor Stephen Barlow, who understands the need for Gallic lightness in the textures.Near ideal, too, are Francis O’Connor’s designs, which move the story to 1930s Italy, with the Capulets a black-shirt gang and the Montagues a looser assembly of freer spirits. David Plater’s canny lighting makes the clear lines of O’Connor’s uncluttered sets and characteristically Italian fashion-conscious costumes look marvellous.Vocally, the central performances are pretty good. Ukrainian soprano Olena Tokar engages passionately with Juliette, though she lacks a proper trill and her top register can turn strident. Korean tenor David Junghoon Kim is more consistent, effortlessly producing fine tone and shaping Gounod’s lines with sensitivity.The problem is that they show little interest in each other, which is fatal for an opera that depends on their mutual adoration. Kim, indeed, needs to develop his physical acting, which is currently no match for his high-quality vocalism.Showing them the way are several of the rest of the cast, with Clive Bayley demonstrating just what potential there is in a secondary role like Capulet and Anthony Flaum a vital Tybalt.As Frere Laurent Mats Almgren needs better diction, but Anna Grevelius makes a good deal out of Stephano’s scene, Gary Griffiths proves a bright spark as Mercutio, and Olivia Ray discovers more than you might expect in Juliette’s nurse Gertrude. There’s top quality work throughout from the chorus, too, both vocally and dramatically.Oklahoma! review at Grange Park Opera, Surrey – ‘performed with unstoppable aplomb’"
