,work,date,language,work_url
0,La Muette de Portici,1869-06-03,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24166
1,Guillaume Tell,1869-06-17,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31370
2,Die Hugenotten / Les Huguenots / Gli Ugonotti,1869-07-10,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33982
3,Guillaume Tell,1869-09-05,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32458
4,Il trovatore,1869-09-21,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43675
5,Guillaume Tell,1869-09-25,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32455
6,Il trovatore,1869-09-26,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43676
7,Guillaume Tell,1869-10-01,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32457
8,Il trovatore,1869-10-09,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43677
9,Guillaume Tell,1869-10-10,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32456
10,Die Hugenotten / Les Huguenots / Gli Ugonotti,1869-10-15,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33983
11,Die Hugenotten / Les Huguenots / Gli Ugonotti,1869-10-24,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33984
12,Guillaume Tell,1869-10-25,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34885
13,Il trovatore,1869-10-31,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43678
14,Die Hugenotten / Les Huguenots / Gli Ugonotti,1869-11-07,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33985
15,Guillaume Tell,1869-11-14,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32454
16,Armide,1869-11-20,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24043
17,Armide,1869-11-21,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/42941
18,Armide,1869-11-25,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/42942
19,Armide,1869-11-28,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/42943
20,Die Hugenotten / Les Huguenots / Gli Ugonotti,1869-11-29,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33986
21,Il trovatore,1869-12-04,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43679
22,Armide,1869-12-08,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/42944
23,Guillaume Tell,1869-12-09,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32453
24,Le Prophète,1869-12-12,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/28707
25,Die Hugenotten / Les Huguenots / Gli Ugonotti,1869-12-14,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33988
26,Armide,1869-12-21,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/42945
27,Il trovatore,1869-12-28,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43680
28,Armide,1870-01-11,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/42946
29,Die Hugenotten / Les Huguenots / Gli Ugonotti,1870-01-12,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33989
30,Guillaume Tell,1870-01-17,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32452
31,Il trovatore,1870-01-19,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43681
32,Die Hugenotten / Les Huguenots / Gli Ugonotti,1870-02-06,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33990
33,Il trovatore,1870-02-12,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43697
34,Il trovatore,1870-02-26,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43682
35,Armide,1870-03-03,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/42947
36,Il trovatore,1870-03-21,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43683
37,Faust,1870-03-24,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34307
38,Faust,1870-03-28,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34308
39,Die Hugenotten / Les Huguenots / Gli Ugonotti,1870-04-01,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33991
40,Faust,1870-04-03,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34311
41,Faust,1870-04-06,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34312
42,Faust,1870-04-24,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34313
43,Die Afrikanerin / L'Africaine,1870-04-27,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24424
44,Die Afrikanerin / L'Africaine,1870-04-28,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34837
45,Armide,1870-05-01,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/42948
46,Die Afrikanerin / L'Africaine,1870-05-03,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34839
