"","composer","work","work_url"
"0","Bizet","Carmen","http://www.wikidata.org/entity/Q185968"
"1","Verdi","La traviata","http://www.wikidata.org/entity/Q186162"
"2","Verdi","Rigoletto","http://www.wikidata.org/entity/Q189234"
"3","Mozart","Don Giovanni","http://www.wikidata.org/entity/Q192039"
"4","Puccini","La bohème","http://www.wikidata.org/entity/Q188621"
"5","Puccini","Tosca","http://www.wikidata.org/entity/Q192941"
"6","Puccini","Madama Butterfly","http://www.wikidata.org/entity/Q19005"
"7","Rossini","The Barber of Seville","http://www.wikidata.org/entity/Q208659"
"8","Mozart","The Magic Flute","http://www.wikidata.org/entity/Q5064"
"9","Mozart","The Marriage of Figaro","http://www.wikidata.org/entity/Q201873"
"10","Donizetti","Lucia di Lammermoor","http://www.wikidata.org/entity/Q244209"
"11","Donizetti","Don Pasquale","http://www.wikidata.org/entity/Q723941"
"12","Leoncavallo","Pagliacci","http://www.wikidata.org/entity/Q248644"
"13","Mozart","Così fan tutte","http://www.wikidata.org/entity/Q207410"
"14","Gounod","Faust","http://www.wikidata.org/entity/Q745951"
"15","Verdi","Aida","http://www.wikidata.org/entity/Q171277"
"16","Humperdinck","Hansel and Gretel","http://www.wikidata.org/entity/Q1099668"
"17","Rossini","La Cenerentola","http://www.wikidata.org/entity/Q176700"
"18","Puccini","La boheme","http://www.wikidata.org/entity/Q188621"
"19","Puccini","Turandot","http://www.wikidata.org/entity/Q207990"
"20","Verdi","Il trovatore","http://www.wikidata.org/entity/Q203470"
"21","Lehár","The Merry Widow","http://www.wikidata.org/entity/Q478202"
"22","Mascagni","Cavalleria rusticana","http://www.wikidata.org/entity/Q221806"
"23","Verdi","Falstaff","http://www.wikidata.org/entity/Q318455"
"24","Mozart","Le nozze di Figaro","http://www.wikidata.org/entity/Q201873"
"25","Puccini","Madame Butterfly","http://www.wikidata.org/entity/Q19005"
"26","Tchaikovsky","Eugene Onegin","http://www.wikidata.org/entity/Q50956"
"27","Verdi","Macbeth","http://www.wikidata.org/entity/Q320363"
"28","Donizetti","The Elixir of Love","http://www.wikidata.org/entity/Q332536"
"29","Strauss","Salome","http://www.wikidata.org/entity/Q723407"
"30","Sullivan","The Mikado","http://www.wikidata.org/entity/Q1195818"
"31","Puccini","Gianni Schicchi","http://www.wikidata.org/entity/Q727868"
"32","Donizetti","The Daughter of the Regiment","http://www.wikidata.org/entity/Q729568"
"33","Verdi","Otello","http://www.wikidata.org/entity/Q172324"
"34","Sullivan","The Pirates of Penzance","http://www.wikidata.org/entity/Q1215463"
"35","Beethoven","Fidelio","http://www.wikidata.org/entity/Q193778"
"36","Bellini","Norma","http://www.wikidata.org/entity/Q320353"
"37","Donizetti","L'elisir d'amore","http://www.wikidata.org/entity/Q332536"
"38","Rossini","Il barbiere di Siviglia","http://www.wikidata.org/entity/Q208659"
"39","Wagner","The Flying Dutchman","http://www.wikidata.org/entity/Q114640"
"40","Strauss","Ariadne auf Naxos","http://www.wikidata.org/entity/Q654633"
"41","Gershwin","Porgy and Bess","http://www.wikidata.org/entity/Q740920"
"42","Mozart","Cosi fan tutte","http://www.wikidata.org/entity/Q207410"
"43","Floyd","Susannah","http://www.wikidata.org/entity/Q5790163"
"44","Menotti","Amahl and the Night Visitors","http://www.wikidata.org/entity/Q452523"
"45","Britten","The Turn of the Screw","http://www.wikidata.org/entity/Q464606"
"46","Verdi","Un ballo in maschera","http://www.wikidata.org/entity/Q221757"
"47","Gounod","Roméo et Juliette","http://www.wikidata.org/entity/Q918714"
"48","Massenet","Werther","http://www.wikidata.org/entity/Q926468"
"49","Heggie","Dead Man Walking","http://www.wikidata.org/entity/Q2708992"
"50","Rossini","The Italian Girl in Algiers","http://www.wikidata.org/entity/Q589932"
"51","Verdi","Nabucco","http://www.wikidata.org/entity/Q202230"
"52","Rossini","L'italiana in Algeri","http://www.wikidata.org/entity/Q589932"
"53","Massenet","Manon","http://www.wikidata.org/entity/Q931054"
"54","Adamo","Little Women","http://www.wikidata.org/entity/Q6652566"
"55","Puccini","Suor Angelica","http://www.wikidata.org/entity/Q769394"
"56","Strauss","Der Rosenkavalier","http://www.wikidata.org/entity/Q471240"
"57","Sullivan","HMS Pinafore","http://www.wikidata.org/entity/Q1197244"
"58","Britten","A Midsummer Night's Dream","http://www.wikidata.org/entity/Q605750"
"59","Verdi","Don Carlo","http://www.wikidata.org/entity/Q179110"
"60","Mozart","Die Zauberflöte","http://www.wikidata.org/entity/Q5064"
"61","Saint-Saëns","Samson et Dalila","http://www.wikidata.org/entity/Q753152"
"62","Strauss","Elektra","http://www.wikidata.org/entity/Q731927"
"63","Poulenc","Dialogues of the Carmelites","http://www.wikidata.org/entity/Q1208527"
"64","Saint-Saëns","Samson and Delilah","http://www.wikidata.org/entity/Q753152"
"65","Wagner","Der fliegende Holländer","http://www.wikidata.org/entity/Q114640"
"66","Puccini","La fanciulla del West","http://www.wikidata.org/entity/Q460319"
"67","Giordano","Andrea Chénier","http://www.wikidata.org/entity/Q493656"
"68","Floyd","Of Mice and Men","http://www.wikidata.org/entity/Q8012905"
"69","Stravinsky","The Rake's Progress","http://www.wikidata.org/entity/Q539339"
"70","Adams","Nixon in China","http://www.wikidata.org/entity/Q1146706"
"71","Mozart","La clemenza di Tito","http://www.wikidata.org/entity/Q578526"
"72","Puccini","La rondine","http://www.wikidata.org/entity/Q845556"
"73","Moore","The Ballad of Baby Doe","http://www.wikidata.org/entity/Q7715398"
"74","Wagner","Das Rheingold","http://www.wikidata.org/entity/Q327717"
"75","Britten","The Rape of Lucretia","http://www.wikidata.org/entity/Q240685"
"76","Purcell","Dido and Aeneas","http://www.wikidata.org/entity/Q746646"
"77","Verdi","Simon Boccanegra","http://www.wikidata.org/entity/Q548161"
"78","Britten","Peter Grimes","http://www.wikidata.org/entity/Q780331"
"79","Bartók","Bluebeard's Castle","http://www.wikidata.org/entity/Q55063858"
"80","Britten","Billy Budd","http://www.wikidata.org/entity/Q803767"
"81","Ward","The Crucible","http://www.wikidata.org/entity/Q7728247"
"82","Britten","Albert Herring","http://www.wikidata.org/entity/Q577825"
"83","Rossini","Otello","http://www.wikidata.org/entity/Q925332"
"84","Delibes","Lakmé","http://www.wikidata.org/entity/Q776107"
"85","Piazzolla","Maria de Buenos Aires","http://www.wikidata.org/entity/Q1422674"
"86","Wagner","Die Walküre","http://www.wikidata.org/entity/Q324319"
"87","Puccini","Il tabarro","http://www.wikidata.org/entity/Q468235"
"88","Mozart","Idomeneo, King of Crete","http://www.wikidata.org/entity/Q723559"
"89","Leoncavallo","I Pagliacci","http://www.wikidata.org/entity/Q248644"
"90","Wagner","Siegfried","http://www.wikidata.org/entity/Q333146"
"91","Bellini","I Capuleti e i Montecchi","http://www.wikidata.org/entity/Q1071307"
"92","Gounod","Romeo et Juliette","http://www.wikidata.org/entity/Q918714"
"93","Mozart","Die Entführung aus dem Serail","http://www.wikidata.org/entity/Q210711"
"94","Donizetti","Anna Bolena","http://www.wikidata.org/entity/Q559848"
"95","Thomas","Hamlet","http://www.wikidata.org/entity/Q631016"
"96","Copland","The Tender Land","http://www.wikidata.org/entity/Q4353383"
"97","Debussy","Pelléas et Mélisande","http://www.wikidata.org/entity/Q368019"
"98","Weill","Street Scene","http://www.wikidata.org/entity/Q2355342"
"99","Wagner","Tristan und Isolde","http://www.wikidata.org/entity/Q1324254"
"100","Barber","Vanessa","http://www.wikidata.org/entity/Q1545849"
"101","Previn","A Streetcar Named Desire","http://www.wikidata.org/entity/Q4659869"
"102","Bellini","I puritani","http://www.wikidata.org/entity/Q470886"
"103","Handel","Xerxes","http://www.wikidata.org/entity/Q1069133"
"104","Wagner","Tannhäuser","http://www.wikidata.org/entity/Q560619"
"105","Poulenc","La Voix humaine","http://www.wikidata.org/entity/Q36084"
"106","Verdi","Luisa Miller","http://www.wikidata.org/entity/Q545265"
"107","Sullivan","H.M.S. Pinafore","http://www.wikidata.org/entity/Q1197244"
"108","Berg","Wozzeck","http://www.wikidata.org/entity/Q45784"
"109","Ullmann","The Emperor of Atlantis","http://www.wikidata.org/entity/Q3773235"
"110","Puccini","Madam Butterfly","http://www.wikidata.org/entity/Q19005"
"111","Massenet","Cendrillon","http://www.wikidata.org/entity/Q1371386"
"112","Boito","Mefistofele","http://www.wikidata.org/entity/Q935669"
"113","Bellini","La sonnambula","http://www.wikidata.org/entity/Q753123"
"114","Wagner","Lohengrin","http://www.wikidata.org/entity/Q23085"
"115","Handel","Ariodante","http://www.wikidata.org/entity/Q662514"
"116","Wagner","Tristan and Isolde","http://www.wikidata.org/entity/Q1324254"
"117","Wagner","Götterdämmerung","http://www.wikidata.org/entity/Q272029"
"118","Heggie","Moby-Dick","http://www.wikidata.org/entity/Q3317708"
"119","Menotti","The Old Maid and the Thief","http://www.wikidata.org/entity/Q487249"
"120","Verdi","Attila","http://www.wikidata.org/entity/Q211460"
"121","Donizetti","La Fille du régiment","http://www.wikidata.org/entity/Q729568"
"122","Handel","Agrippina","http://www.wikidata.org/entity/Q397041"
"123","Tchaikovsky","The Queen of Spades","http://www.wikidata.org/entity/Q221047"
"124","Donizetti","Maria Stuarda","http://www.wikidata.org/entity/Q377685"
"125","Ponchielli","La Gioconda","http://www.wikidata.org/entity/Q748840"
"126","Humperdinck","Hänsel und Gretel","http://www.wikidata.org/entity/Q1099668"
"127","Wagner","Die Walkure","http://www.wikidata.org/entity/Q324319"
"128","Britten","Noye's Fludde","http://www.wikidata.org/entity/Q1218977"
"129","Strauss","Capriccio","http://www.wikidata.org/entity/Q1034949"
"130","Gluck","Orpheus and Eurydice","http://www.wikidata.org/entity/Q723776"
"131","Handel","Rodelinda","http://www.wikidata.org/entity/Q641095"
"132","Massenet","Thaïs","http://www.wikidata.org/entity/Q1144467"
"133","Blitzstein","Regina","http://www.wikidata.org/entity/Q54992356"
