,genre,name,uri,composer,year,country
0,Opera,O 8,/catalog/10108337,Filippe Duarte,1896,Portugal
1,Opera,1999,/catalog/10114539,Eduard Holst,1897,United States
2,Opera,1814,/catalog/10117967,Xavier Leroux,1915,Monaco
3,Opera,1984,/catalog/19960001,Lorin Maazel,2005,United Kingdom
4,Opera,Le 66,/catalog/10122337,Jacques Offenbach,1856,France
5,Opera,Oedipus,/catalog/20100207,Wolfgang Rihm,1987,Germany
6,Opera,A'agita,/catalog/10112081,Janice Giteck,1983,United States
7,Opera,Aap verslaat de knekelgeest,/catalog/10128128,Peter Schat,1980,Netherlands
8,Opera,A 28-as,/catalog/10133470,Béla Zerkovitz,1921,Hungary
9,Opera,A. - A Shadow Opera,/catalog/19960066,Cecilie Ore,2013,United Kingdom
10,Opera,L'abadía del Rosario,/catalog/10118272,Antonio Llanos y Berete,1880,Spain
11,Opera,L'abandon d'Ariane,/catalog/10120638,Darius Milhaud,1928,Germany
12,Opera,Abandoned,/catalog/20100478,Kamran Ince,2014,United States
13,Opera,Abasso Carmelo Bene,/catalog/10121871,Gino Negri,1982,Italy
14,Opera,L'abate Collarone,/catalog/10110007,Domenico Fischietti,1749,Italy
15,Opera,"L'abate, ossia Il poeta moderno",/catalog/10125166,Tommaso Prota,1752,Malta
16,Opera,L'abbate del épée,/catalog/10121320,Giuseppe Mosca,1826,Italy
17,Opera,L'abbate Luigi,/catalog/10119588,Giovanni Mascetti,1891,Italy
18,Opera,L'abbate Taccarella,/catalog/10126038,Luigi Ricci,1825,Italy
19,Opera,"L'Abbé de l'Attaignant, oder Die Theaterprobe",/catalog/10107110,Franz Danzi,1820,Germany
20,Opera,Abbé Innocent,/catalog/10101297,Max Ast,1918,Austria
21,Opera,Abbé Mouret,/catalog/10122294,Max Oberleithner,1908,Germany
22,Opera,The Abbott of Drimock,/catalog/10121659,Thea Musgrave,1962,United Kingdom
23,Opera,Abdel-Rahman El-Nasser,/catalog/10107153,Sayed Darwish,1921,Egypt
24,Opera,"Abderamo, ossia L'assedio di Granata",/catalog/10133393,Filippo Zappata,1859,Italy
25,Opera,Abderkan,/catalog/10103392,Adrien Boieldieu,1805,Russia
26,Opera,Abdolomino,/catalog/10103595,Giovanni Bononcini,1709,Austria
27,Opera,Abdul Granatas rex,/catalog/10123412,Georg von Pasterwitz,1755,Austria
28,Opera,Abdul und Erinieh,/catalog/10106951,Karl Friedrich Curschmann,1836,Germany
29,Opera,Abel,/catalog/10116598,Rodolphe Kreutzer,1810,France
30,Opera,Abelard and Héloise,/catalog/10132518,Robert Ward,1982,United States
31,Opera,Abenamet e Zoraide,/catalog/10122064,Giuseppe Nicolini,1805,Italy
