,composer,work,composer_url,work_url,composer_key,work_key
0,Aaron Copland,The Second Hurricane,http://www.wikidata.org/entity/Q192185,http://www.wikidata.org/entity/Q7762930,Q192185,Q7762930
1,Aaron Copland,The Tender Land,http://www.wikidata.org/entity/Q192185,http://www.wikidata.org/entity/Q4353383,Q192185,Q4353383
2,Aarre Merikanto,Juha,http://www.wikidata.org/entity/Q303051,http://www.wikidata.org/entity/Q4413332,Q303051,Q4413332
3,Aarre Merikanto,Helena,http://www.wikidata.org/entity/Q303051,http://www.wikidata.org/entity/Q15876167,Q303051,Q15876167
4,Abdylas Maldybaev,Ai-Churek,http://www.wikidata.org/entity/Q479615,http://www.wikidata.org/entity/Q18399378,Q479615,Q18399378
5,Achille Graffigna,Gli studenti,http://www.wikidata.org/entity/Q3604382,http://www.wikidata.org/entity/Q54999314,Q3604382,Q54999314
6,Achille Graffigna,Gli ultimi giorni di Suli,http://www.wikidata.org/entity/Q3604382,http://www.wikidata.org/entity/Q54999373,Q3604382,Q54999373
7,Achilles Alferaki,The Erl King,http://www.wikidata.org/entity/Q340294,http://www.wikidata.org/entity/Q54990579,Q340294,Q54990579
8,Adalbert Hřimalý,Schwanda the Bagpiper,http://www.wikidata.org/entity/Q2530603,http://www.wikidata.org/entity/Q10502343,Q2530603,Q10502343
9,Adalbert Hřimalý,The Enchanted Prince,http://www.wikidata.org/entity/Q2530603,http://www.wikidata.org/entity/Q10857219,Q2530603,Q10857219
10,Adolphe Adam,Pierrot a Violetta,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q23015231,Q189544,Q23015231
11,Adolphe Adam,Cagliostro,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54366619,Q189544,Q54366619
12,Adolphe Adam,Giralda ou La nouvelle Psyché,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q11092418,Q189544,Q11092418
13,Adolphe Adam,La bouquetière,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q11092883,Q189544,Q11092883
14,Adolphe Adam,La poupée de Nuremberg,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q470612,Q189544,Q470612
15,Adolphe Adam,Le Roi d'Yvetôt,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q11092702,Q189544,Q11092702
16,Adolphe Adam,Le brasseur de Preston,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q11179705,Q189544,Q11179705
17,Adolphe Adam,Le chalet,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q2063125,Q189544,Q2063125
18,Adolphe Adam,Le farfadet,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q11093241,Q189544,Q11093241
19,Adolphe Adam,Le fidèle berger,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q11179936,Q189544,Q11179936
20,Adolphe Adam,Le postillon de Lonjumeau,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q468633,Q189544,Q468633
21,Adolphe Adam,Le toréador,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q472315,Q189544,Q472315
22,Adolphe Adam,Si j'étais roi,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q1032199,Q189544,Q1032199
23,Adolphe Adam,Casimir,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996406,Q189544,Q54996406
24,Adolphe Adam,Danilowa,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996409,Q189544,Q54996409
25,Adolphe Adam,Die Hamadryaden,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996410,Q189544,Q54996410
26,Adolphe Adam,Isaure,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996411,Q189544,Q54996411
27,Adolphe Adam,Joséphine,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996413,Q189544,Q54996413
28,Adolphe Adam,L'anonyme,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996437,Q189544,Q54996437
29,Adolphe Adam,L'exilé,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996488,Q189544,Q54996488
30,Adolphe Adam,L'héritière et l'orpheline,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996492,Q189544,Q54996492
31,Adolphe Adam,L'oncle d'Amérique,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996498,Q189544,Q54996498
32,Adolphe Adam,La dame jaune,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996419,Q189544,Q54996419
33,Adolphe Adam,La fidèle berger,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996422,Q189544,Q54996422
34,Adolphe Adam,La haine d'une femme,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996423,Q189544,Q54996423
35,Adolphe Adam,La main de fer,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996427,Q189544,Q54996427
36,Adolphe Adam,La marquise,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996430,Q189544,Q54996430
37,Adolphe Adam,La reine d'un jour,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996433,Q189544,Q54996433
38,Adolphe Adam,La reine de seize ans,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996432,Q189544,Q54996432
39,Adolphe Adam,La rose de Péronne,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996436,Q189544,Q54996436
40,Adolphe Adam,Le Caleb de Walter Scott,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996449,Q189544,Q54996449
41,Adolphe Adam,Le Fanal,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996451,Q189544,Q54996451
42,Adolphe Adam,Le baiser au porteur,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996439,Q189544,Q54996439
43,Adolphe Adam,Le bal champêtre,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996441,Q189544,Q54996441
44,Adolphe Adam,Le barbier châtelain,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996443,Q189544,Q54996443
45,Adolphe Adam,Le bijou perdu,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996446,Q189544,Q54996446
46,Adolphe Adam,Le clé,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996450,Q189544,Q54996450
47,Adolphe Adam,Le grand prix,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996452,Q189544,Q54996452
48,Adolphe Adam,Le houzard de Berchini,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996456,Q189544,Q54996456
49,Adolphe Adam,Le hussard de Felsheim,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996458,Q189544,Q54996458
50,Adolphe Adam,Le jeune propriétaire et le vieux fermier,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996460,Q189544,Q54996460
51,Adolphe Adam,Le mal du pays,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996462,Q189544,Q54996462
52,Adolphe Adam,Le morceau d'ensemble,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996463,Q189544,Q54996463
53,Adolphe Adam,Le muletier de Tolède,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996468,Q189544,Q54996468
54,Adolphe Adam,Le proscrit,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996472,Q189544,Q54996472
55,Adolphe Adam,Le roi des Halles,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996475,Q189544,Q54996475
56,Adolphe Adam,Le sourd,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996477,Q189544,Q54996477
57,Adolphe Adam,Les comédiens par testament,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996481,Q189544,Q54996481
58,Adolphe Adam,Les pantins de Violette,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996482,Q189544,Q54996482
59,Adolphe Adam,Les trois cantons,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996486,Q189544,Q54996486
60,Adolphe Adam,Lidda,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996495,Q189544,Q54996495
61,Adolphe Adam,Mam'zelle Geneviève,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996500,Q189544,Q54996500
62,Adolphe Adam,Micheline,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996505,Q189544,Q54996505
63,Adolphe Adam,Mon ami Pierre,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996508,Q189544,Q54996508
64,Adolphe Adam,Monsieur Botte,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996509,Q189544,Q54996509
65,Adolphe Adam,Perkins Warbeck,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996513,Q189544,Q54996513
66,Adolphe Adam,Pierre et Catherine,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996515,Q189544,Q54996515
67,Adolphe Adam,Pierre et Marie,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996518,Q189544,Q54996518
68,Adolphe Adam,Richard en Palestine,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996524,Q189544,Q54996524
69,Adolphe Adam,Régine,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996519,Q189544,Q54996519
70,Adolphe Adam,Une bonne fortune,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996526,Q189544,Q54996526
71,Adolphe Adam,Valentine,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996528,Q189544,Q54996528
72,Adolphe Adam,À Clichy,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q54996402,Q189544,Q54996402
73,Adolphe Adam,Giralda,http://www.wikidata.org/entity/Q189544,http://www.wikidata.org/entity/Q31896645,Q189544,Q31896645
74,Adolphe Blaise,La Rosière de Salency,http://www.wikidata.org/entity/Q2824775,http://www.wikidata.org/entity/Q3212445,Q2824775,Q3212445
75,Adriano Guarnieri,Medea,http://www.wikidata.org/entity/Q346904,http://www.wikidata.org/entity/Q3853645,Q346904,Q3853645
76,Afrasiyab Badalbeyli,Nizami,http://www.wikidata.org/entity/Q1072231,http://www.wikidata.org/entity/Q1532684,Q1072231,Q1532684
77,Afrasiyab Badalbeyli,Ивы не заплачут,http://www.wikidata.org/entity/Q1072231,http://www.wikidata.org/entity/Q4197299,Q1072231,Q4197299
78,Agostino Accorimboni,Il finto cavaliere,http://www.wikidata.org/entity/Q1130986,http://www.wikidata.org/entity/Q54997572,Q1130986,Q54997572
79,Agostino Accorimboni,Il governatore dell'Isole Canarie,http://www.wikidata.org/entity/Q1130986,http://www.wikidata.org/entity/Q54997668,Q1130986,Q54997668
80,Agostino Accorimboni,Il marchese di Castelverde,http://www.wikidata.org/entity/Q1130986,http://www.wikidata.org/entity/Q54997673,Q1130986,Q54997673
81,Agostino Accorimboni,Il podesta di Tufo antico,http://www.wikidata.org/entity/Q1130986,http://www.wikidata.org/entity/Q54997677,Q1130986,Q54997677
82,Agostino Accorimboni,Il regno delle Amazoni,http://www.wikidata.org/entity/Q1130986,http://www.wikidata.org/entity/Q54997687,Q1130986,Q54997687
83,Agostino Accorimboni,L'amante nel sacco,http://www.wikidata.org/entity/Q1130986,http://www.wikidata.org/entity/Q54997693,Q1130986,Q54997693
84,Agostino Accorimboni,L'amore artigiano,http://www.wikidata.org/entity/Q1130986,http://www.wikidata.org/entity/Q54997700,Q1130986,Q54997700
85,Agostino Accorimboni,Le contadine astute,http://www.wikidata.org/entity/Q1130986,http://www.wikidata.org/entity/Q54997704,Q1130986,Q54997704
86,Agostino Accorimboni,Le finte zingarelle,http://www.wikidata.org/entity/Q1130986,http://www.wikidata.org/entity/Q54997707,Q1130986,Q54997707
87,Agostino Accorimboni,Le scaltre contadine di Montegelato,http://www.wikidata.org/entity/Q1130986,http://www.wikidata.org/entity/Q54997710,Q1130986,Q54997710
88,Agostino Accorimboni,Le virtuose bizzarre,http://www.wikidata.org/entity/Q1130986,http://www.wikidata.org/entity/Q54997713,Q1130986,Q54997713
89,Agostino Accorimboni,Lo schiavo fortunato,http://www.wikidata.org/entity/Q1130986,http://www.wikidata.org/entity/Q54997717,Q1130986,Q54997717
90,Agostino Steffani,Henrico Leone,http://www.wikidata.org/entity/Q395725,http://www.wikidata.org/entity/Q1343795,Q395725,Q1343795
91,Agostino Steffani,"Niobe, regina di Tebe",http://www.wikidata.org/entity/Q395725,http://www.wikidata.org/entity/Q9050231,Q395725,Q9050231
92,Agostino Steffani,Tassilone,http://www.wikidata.org/entity/Q395725,http://www.wikidata.org/entity/Q1237460,Q395725,Q1237460
93,Aimé Maillart,Gastibelza ou le Fou de Tolède,http://www.wikidata.org/entity/Q405748,http://www.wikidata.org/entity/Q12018084,Q405748,Q12018084
94,Aimé Maillart,Lara,http://www.wikidata.org/entity/Q405748,http://www.wikidata.org/entity/Q12032753,Q405748,Q12032753
95,Aimé Maillart,Les dragons de Villars,http://www.wikidata.org/entity/Q405748,http://www.wikidata.org/entity/Q6530145,Q405748,Q6530145
96,Alan Bush,The Ferryman's Daughter,http://www.wikidata.org/entity/Q584010,http://www.wikidata.org/entity/Q54992984,Q584010,Q54992984
97,Alan Hovhaness,The Burning House,http://www.wikidata.org/entity/Q542232,http://www.wikidata.org/entity/Q54995897,Q542232,Q54995897
98,Alanus Plumlovský,Gront a puvod plesání hanáckýho,http://www.wikidata.org/entity/Q10729169,http://www.wikidata.org/entity/Q21197989,Q10729169,Q21197989
99,Alanus Plumlovský,O prajském rumlu,http://www.wikidata.org/entity/Q10729169,http://www.wikidata.org/entity/Q21198033,Q10729169,Q21198033
100,Alanus Plumlovský,Pargamotéka,http://www.wikidata.org/entity/Q10729169,http://www.wikidata.org/entity/Q21198037,Q10729169,Q21198037
101,Alban Berg,Lulu,http://www.wikidata.org/entity/Q78475,http://www.wikidata.org/entity/Q837545,Q78475,Q837545
102,Alban Berg,Wozzeck,http://www.wikidata.org/entity/Q78475,http://www.wikidata.org/entity/Q45784,Q78475,Q45784
103,Albert Dietrich,Robin Hood (Oper),http://www.wikidata.org/entity/Q565548,http://www.wikidata.org/entity/Q2159792,Q565548,Q2159792
104,Albert Grisar,"Bonsoir, monsieur Pantalon!)",http://www.wikidata.org/entity/Q2003880,http://www.wikidata.org/entity/Q11812769,Q2003880,Q11812769
105,Albert Grisar,Le Chien du jardinier,http://www.wikidata.org/entity/Q2003880,http://www.wikidata.org/entity/Q10857152,Q2003880,Q10857152
106,Albert Lortzing,Casanova,http://www.wikidata.org/entity/Q154203,http://www.wikidata.org/entity/Q17521909,Q154203,Q17521909
107,Albert Lortzing,Die Opernprobe,http://www.wikidata.org/entity/Q154203,http://www.wikidata.org/entity/Q1215283,Q154203,Q1215283
108,Albert Lortzing,Die Schatzkammer des Ynka,http://www.wikidata.org/entity/Q154203,http://www.wikidata.org/entity/Q1215968,Q154203,Q1215968
109,Albert Lortzing,Die beiden Schützen,http://www.wikidata.org/entity/Q154203,http://www.wikidata.org/entity/Q1217891,Q154203,Q1217891
110,Albert Lortzing,Rolands Knappen,http://www.wikidata.org/entity/Q154203,http://www.wikidata.org/entity/Q2163125,Q154203,Q2163125
111,Albert Lortzing,Ali Pascha von Janina,http://www.wikidata.org/entity/Q154203,http://www.wikidata.org/entity/Q2646731,Q154203,Q2646731
112,Albert Lortzing,Der Waffenschmied,http://www.wikidata.org/entity/Q154203,http://www.wikidata.org/entity/Q1197876,Q154203,Q1197876
113,Albert Lortzing,Der Wildschütz,http://www.wikidata.org/entity/Q154203,http://www.wikidata.org/entity/Q253376,Q154203,Q253376
114,Albert Lortzing,Hans Sachs,http://www.wikidata.org/entity/Q154203,http://www.wikidata.org/entity/Q1582183,Q154203,Q1582183
115,Albert Lortzing,Regina,http://www.wikidata.org/entity/Q154203,http://www.wikidata.org/entity/Q1431923,Q154203,Q1431923
116,Albert Lortzing,Undine,http://www.wikidata.org/entity/Q154203,http://www.wikidata.org/entity/Q2492975,Q154203,Q2492975
117,Albert Lortzing,Zar und Zimmermann,http://www.wikidata.org/entity/Q154203,http://www.wikidata.org/entity/Q147594,Q154203,Q147594
