,country,city,venue,dates,composer,work,listing_url
0,Switzerland,Geneva,L'Opéra des Nations,"June 01, 03 15:00, 08, 11, 13, 15, 17 (at 19:30 unless shown)","Mozart, Wolfgang Amadeus (1756-1791)",Don Giovanni,https://bachtrack.com/opera-listing/lopera-des-nations/don-giovanni/01-june-2018/19-30
1,United Kingdom,Aldeburgh,"Britten Studio, Snape Maltings","June 08 21:30, June 10 16:00, June 11 19:30","Howard, Emily (b. 1979)",To See The Invisible,https://bachtrack.com/opera-listing/britten-studio-snape-maltings/to-see-the-invisible/08-june-2018/21-30
2,Spain,Barcelona,Gran Teatre del Liceu,"June 08 20:00, June 11 20:00, June 14 20:00, June 17 18:00, June 20 20:00, June 22 20:00","Puccini, Giacomo (1858-1924)",Manon Lescaut,https://bachtrack.com/opera-listing/gran-teatre-del-liceu/manon-lescaut/08-june-2018/20-00
3,United Kingdom,Moreton-in-Marsh,Longborough Festival Opera,"June 06, 09, 11, 13 at 17:00","Wagner, Richard (1813-1883)",Der fliegende Holländer (The Flying Dutchman),https://bachtrack.com/opera-listing/longborough-festival-opera/der-fliegende-hollander-the-flying-dutchman-longborough-festival-opera/06-june-2018/17-00
4,Austria,Vienna,Staatsoper,"June 11, 14, 17, 20, 25, 28 at 19:00","Weber, Carl Maria von (1786-1826)",Der Freischütz,https://bachtrack.com/opera-listing/staatsoper/der-freischutz/11-june-2018/19-00
5,Netherlands,Amsterdam,Dutch National Opera and Ballet,"June 03 14:00, 06, 11, 15, 21, 24 14:00, 28, July 02 (at 19:00 unless shown)","Offenbach, Jacques (1819-1880)",Les Contes d'Hoffmann (Tales of Hoffmann),https://bachtrack.com/opera-listing/dutch-national-opera-and-ballet/les-contes-dhoffmann/03-june-2018/14-00
6,United Kingdom,London,Guildhall School of Music & Drama: Silk Street Theatre,"June 04, 06, 08, 11 at 19:00","Hindemith, Paul (1895-1963)",The Long Christmas Dinner,https://bachtrack.com/opera-listing/guildhall-school-of-music-drama-silk-street-theatre/hindemith-the-long-christmas-dinner-berkeley-a-dinner-engagement/04-june-2018/19-00
7,France,Paris,Palais Garnier (Opéra de Paris),"June 06, 09, 11, 13, 16, 19, 22, 26, 29, July 02, 06, 09, 12 at 19:30","Donizetti, Gaetano (1797-1848)",Don Pasquale,https://bachtrack.com/opera-listing/palais-garnier-opera-de-paris/don-pasquale/06-june-2018/19-30
8,United Kingdom,London,Lilian Baylis House,"June 09, 11, 12, 13, 15, 16 at 19:00","Handel, George Frideric (1685-1759)",Acis and Galatea,https://bachtrack.com/opera-listing/lilian-baylis-house/acis-and-galatea/09-june-2018/19-00
9,Italy,Milan,La Scala,"June 05, 09, 12, 15, 19, 27, 30 at 20:00","Schubert, Franz (1797-1828)",Fierrabras,https://bachtrack.com/opera-listing/la-scala/fierrabras/05-june-2018/20-00
10,United Kingdom,Glyndebourne,Glyndebourne Opera House,"May 20 15:20, 24, 27 15:20, 30, June 02, 08, 12, 16, 19, 22, 26 (at 16:35 unless shown)","Strauss, Richard (1864-1949)",Der Rosenkavalier,https://bachtrack.com/listing-der-rosenkavalier-willis-sorensen-lindsey-sherratt-sutphen-ticciati-glyndebourne-may-2018
11,France,Paris,Théâtre des Champs-Élysées,"June 12, 15 at 19:30","Saint-Saëns, Camille (1835-1921)",Samson et Dalila (Samson and Delilah),https://bachtrack.com/opera-listing/theatre-des-champs-elysees/samson-et-dalila/12-june-2018/19-30
