country,city,theatre,work,date
Austria,Baden bei Wien,Stadttheater Baden,Faust,20111023
Austria,Baden bei Wien,Stadttheater Baden,Faust,20111025
Austria,Baden bei Wien,Stadttheater Baden,Faust,20111027
Austria,Baden bei Wien,Stadttheater Baden,Faust,20111029
Austria,Baden bei Wien,Stadttheater Baden,Faust,20111030
Austria,Baden bei Wien,Stadttheater Baden,Faust,20111104
Austria,Baden bei Wien,Stadttheater Baden,Faust,20111105
Austria,Baden bei Wien,Stadttheater Baden,Faust,20111111
Austria,Baden bei Wien,Stadttheater Baden,Faust,20111112
Austria,Baden bei Wien,Stadttheater Baden,Faust,20111113
Austria,Baden bei Wien,Stadttheater Baden,Pollicino,20111119
Austria,Baden bei Wien,Stadttheater Baden,Pollicino,20111120
Austria,Baden bei Wien,Stadttheater Baden,Faust,20111124
Austria,Baden bei Wien,Stadttheater Baden,Faust,20111125
Austria,Baden bei Wien,Stadttheater Baden,Pollicino,20111126
Austria,Baden bei Wien,Stadttheater Baden,Pollicino,20111127
Austria,Baden bei Wien,Stadttheater Baden,Pollicino,20111203
Austria,Baden bei Wien,Stadttheater Baden,Pollicino,20111204
Austria,Baden bei Wien,Stadttheater Baden,Pollicino,20111208
Austria,Baden bei Wien,Stadttheater Baden,Pollicino,20111210
Austria,Baden bei Wien,Stadttheater Baden,Pollicino,20111210
Austria,Baden bei Wien,Stadttheater Baden,Pollicino,20111211
Austria,Baden bei Wien,Stadttheater Baden,Nacht in Venedig,20111217
Austria,Baden bei Wien,Stadttheater Baden,Nacht in Venedig,20111218
Austria,Baden bei Wien,Stadttheater Baden,Nacht in Venedig,20111226
Austria,Baden bei Wien,Stadttheater Baden,Nacht in Venedig,20111228
Austria,Baden bei Wien,Stadttheater Baden,Nacht in Venedig,20111229
Austria,Baden bei Wien,Stadttheater Baden,Nacht in Venedig,20111231
Austria,Baden bei Wien,Stadttheater Baden,Nacht in Venedig,20120107
Austria,Baden bei Wien,Stadttheater Baden,Nacht in Venedig,20120108
Austria,Baden bei Wien,Stadttheater Baden,Sweet Charity,20120114
Austria,Baden bei Wien,Stadttheater Baden,Sweet Charity,20120115
Austria,Baden bei Wien,Stadttheater Baden,Sweet Charity,20120119
Austria,Baden bei Wien,Stadttheater Baden,Sweet Charity,20120120
Austria,Baden bei Wien,Stadttheater Baden,Nacht in Venedig,20120121
Austria,Baden bei Wien,Stadttheater Baden,Nacht in Venedig,20120122
Austria,Baden bei Wien,Stadttheater Baden,Nacht in Venedig,20120202
Austria,Baden bei Wien,Stadttheater Baden,Nacht in Venedig,20120203
Austria,Baden bei Wien,Stadttheater Baden,Sweet Charity,20120204
Austria,Baden bei Wien,Stadttheater Baden,Sweet Charity,20120205
Austria,Baden bei Wien,Stadttheater Baden,Nacht in Venedig,20120210
Austria,Baden bei Wien,Stadttheater Baden,Nacht in Venedig,20120211
Austria,Baden bei Wien,Stadttheater Baden,Viktoria und ihr Husar,20120218
Austria,Baden bei Wien,Stadttheater Baden,Viktoria und ihr Husar,20120219
Austria,Baden bei Wien,Stadttheater Baden,Sweet Charity,20120223
Austria,Baden bei Wien,Stadttheater Baden,Viktoria und ihr Husar,20120224
Austria,Baden bei Wien,Stadttheater Baden,Sweet Charity,20120225
Austria,Baden bei Wien,Stadttheater Baden,Sweet Charity,20120226
Austria,Baden bei Wien,Stadttheater Baden,Viktoria und ihr Husar,20120228
Austria,Baden bei Wien,Stadttheater Baden,Viktoria und ihr Husar,20120303
Austria,Baden bei Wien,Stadttheater Baden,Viktoria und ihr Husar,20120304
Austria,Baden bei Wien,Stadttheater Baden,Viktoria und ihr Husar,20120308
Austria,Baden bei Wien,Stadttheater Baden,Sweet Charity,20120309
Austria,Baden bei Wien,Stadttheater Baden,Sweet Charity,20120310
Austria,Baden bei Wien,Stadttheater Baden,Viktoria und ihr Husar,20120315
Austria,Baden bei Wien,Stadttheater Baden,Viktoria und ihr Husar,20120317
Austria,Baden bei Wien,Stadttheater Baden,Viktoria und ihr Husar,20120318
Austria,Baden bei Wien,Stadttheater Baden,Viktoria und ihr Husar,20120322
Austria,Baden bei Wien,Stadttheater Baden,Viktoria und ihr Husar,20120323
Austria,Baden bei Wien,Stadttheater Baden,Sweet Charity,20120324
Austria,Baden bei Wien,Stadttheater Baden,Sweet Charity,20120325
Austria,Baden bei Wien,Stadttheater Baden,Viktoria und ihr Husar,20120327
Austria,Baden bei Wien,Stadttheater Baden,Viktoria und ihr Husar,20120330
Austria,Baden bei Wien,Stadttheater Baden,Viktoria und ihr Husar,20120331
Austria,Baden bei Wien,Stadttheater Baden,Die drei Musketiere,20120622
Austria,Baden bei Wien,Stadttheater Baden,Die drei Musketiere,20120623
Austria,Baden bei Wien,Stadttheater Baden,Die drei Musketiere,20120629
Austria,Baden bei Wien,Stadttheater Baden,Die drei Musketiere,20120630
Austria,Baden bei Wien,Stadttheater Baden,Die drei Musketiere,20120706
Austria,Baden bei Wien,Stadttheater Baden,Die drei Musketiere,20120707
Austria,Baden bei Wien,Stadttheater Baden,Die drei Musketiere,20120708
Austria,Baden bei Wien,Stadttheater Baden,Gräfin Mariza,20120713
Austria,Baden bei Wien,Stadttheater Baden,Die drei Musketiere,20120714
Austria,Baden bei Wien,Stadttheater Baden,Gräfin Mariza,20120721
Austria,Baden bei Wien,Stadttheater Baden,Gräfin Mariza,20120722
Austria,Baden bei Wien,Stadttheater Baden,Die drei Musketiere,20120731
Austria,Baden bei Wien,Stadttheater Baden,Gräfin Mariza,20120801
Austria,Baden bei Wien,Stadttheater Baden,Gräfin Mariza,20120802
Austria,Baden bei Wien,Stadttheater Baden,Die drei Musketiere,20120803
Austria,Baden bei Wien,Stadttheater Baden,Die drei Musketiere,20120804
Austria,Baden bei Wien,Stadttheater Baden,Gräfin Mariza,20120810
Austria,Baden bei Wien,Stadttheater Baden,Evita,20120811
Austria,Baden bei Wien,Stadttheater Baden,Evita,20120812
Austria,Baden bei Wien,Stadttheater Baden,Gräfin Mariza,20120814
Austria,Baden bei Wien,Stadttheater Baden,Die drei Musketiere,20120816
Austria,Baden bei Wien,Stadttheater Baden,Evita,20120817
Austria,Baden bei Wien,Stadttheater Baden,Gräfin Mariza,20120818
Austria,Baden bei Wien,Stadttheater Baden,Gräfin Mariza,20120819
Austria,Baden bei Wien,Stadttheater Baden,Die drei Musketiere,20120821
Austria,Baden bei Wien,Stadttheater Baden,Evita,20120822
Austria,Baden bei Wien,Stadttheater Baden,Die drei Musketiere,20120823
Austria,Baden bei Wien,Stadttheater Baden,Gräfin Mariza,20120824
Austria,Baden bei Wien,Stadttheater Baden,Evita,20120829
Austria,Baden bei Wien,Stadttheater Baden,Gräfin Mariza,20120830
Austria,Baden bei Wien,Stadttheater Baden,Die drei Musketiere,20120831
Austria,Baden bei Wien,Stadttheater Baden,Gräfin Mariza,20120901
Austria,Baden bei Wien,Stadttheater Baden,Gräfin Mariza,20120902
Austria,Baden bei Wien,Stadttheater Baden,Evita,20120904
Austria,Baden bei Wien,Stadttheater Baden,Evita,20120905
Austria,Baden bei Wien,Stadttheater Baden,Gräfin Mariza,20120906
Austria,Bregenz,Vorarlberger Landestheater,Dreigroschenoper,20111004
Austria,Bregenz,Vorarlberger Landestheater,Dreigroschenoper,20111006
Austria,Bregenz,Vorarlberger Landestheater,Dreigroschenoper,20111015
Austria,Bregenz,Vorarlberger Landestheater,Dreigroschenoper,20111023
Austria,Bregenz,Vorarlberger Landestheater,Dreigroschenoper,20111026
Austria,Bregenz,Vorarlberger Landestheater,Dreigroschenoper,20111111
Austria,Bregenz,Vorarlberger Landestheater,Liebestrank,20120214
Austria,Bregenz,Vorarlberger Landestheater,Liebestrank,20120219
Austria,Bregenz,Vorarlberger Landestheater,Liebestrank,20120223
Austria,Bregenz,Vorarlberger Landestheater,Liebestrank,20120225
Austria,Bregenz,Vorarlberger Landestheater,Liebestrank,20120229
Austria,Bregenz,Vorarlberger Landestheater,Liebestrank,20120302
Austria,Bregenz,Vorarlberger Landestheater,Liebestrank,20120304
