country,city,theatre,work,date
Austria,Baden bei Wien,Stadttheater Baden,Land des Lächelns,20151007
Austria,Baden bei Wien,Stadttheater Baden,Land des Lächelns,20151018
Austria,Baden bei Wien,Stadttheater Baden,Land des Lächelns,20151022
Austria,Baden bei Wien,Stadttheater Baden,Land des Lächelns,20151024
Austria,Baden bei Wien,Stadttheater Baden,Land des Lächelns,20151025
Austria,Baden bei Wien,Stadttheater Baden,Land des Lächelns,20151030
Austria,Baden bei Wien,Stadttheater Baden,Land des Lächelns,20151031
Austria,Baden bei Wien,Stadttheater Baden,Land des Lächelns,20151107
Austria,Baden bei Wien,Stadttheater Baden,Land des Lächelns,20151108
Austria,Baden bei Wien,Stadttheater Baden,Land des Lächelns,20151119
Austria,Baden bei Wien,Stadttheater Baden,Land des Lächelns,20151120
Austria,Baden bei Wien,Stadttheater Baden,Land des Lächelns,20151122
Austria,Baden bei Wien,Stadttheater Baden,Land des Lächelns,20151128
Austria,Baden bei Wien,Stadttheater Baden,Zauberflöte,20151212
Austria,Baden bei Wien,Stadttheater Baden,Zauberflöte,20151218
Austria,Baden bei Wien,Stadttheater Baden,Zauberflöte,20151220
Austria,Baden bei Wien,Stadttheater Baden,Zauberflöte,20151226
Austria,Baden bei Wien,Stadttheater Baden,Zauberflöte,20151231
Austria,Baden bei Wien,Stadttheater Baden,Zauberflöte,20160102
Austria,Baden bei Wien,Stadttheater Baden,Zauberflöte,20160108
Austria,Baden bei Wien,Stadttheater Baden,Zauberflöte,20160109
Austria,Baden bei Wien,Stadttheater Baden,Zauberflöte,20160116
Austria,Baden bei Wien,Stadttheater Baden,Zauberflöte,20160117
Austria,Baden bei Wien,Stadttheater Baden,Zauberflöte,20160128
Austria,Baden bei Wien,Stadttheater Baden,Zauberflöte,20160207
Austria,Bregenz,Vorarlberger Landestheater,Entführung,20160203
Austria,Erl,Tiroler Festspiele Erl,Barbiere,20151226
Austria,Erl,Tiroler Festspiele Erl,Nabucco,20151227
Austria,Erl,Tiroler Festspiele Erl,Nabucco,20160102
Austria,Erl,Tiroler Festspiele Erl,Barbiere,20160103
Austria,Erl,Tiroler Festspiele Erl,Rheingold,20160714
Austria,Erl,Tiroler Festspiele Erl,Walküre,20160715
Austria,Erl,Tiroler Festspiele Erl,Siegfried,20160716
Austria,Erl,Tiroler Festspiele Erl,Götterdämmerung,20160717
Austria,Graz,Oper Graz,Der ferne Klang,20150926
Austria,Graz,Oper Graz,Der ferne Klang,20150930
Austria,Graz,Oper Graz,Der ferne Klang,20151003
Austria,Graz,Oper Graz,Der ferne Klang,20151007
Austria,Graz,Oper Graz,Der ferne Klang,20151015
Austria,Graz,Oper Graz,Der ferne Klang,20151018
Austria,Graz,Oper Graz,Barbier von Sevilla,20151022
Austria,Graz,Oper Graz,Der ferne Klang,20151023
Austria,Graz,Oper Graz,Barbier von Sevilla,20151028
Austria,Graz,Oper Graz,Der ferne Klang,20151030
Austria,Graz,Oper Graz,Der ferne Klang,20151101
Austria,Graz,Oper Graz,Barbier von Sevilla,20151106
Austria,Graz,Oper Graz,Barbier von Sevilla,20151115
Austria,Graz,Oper Graz,Barbier von Sevilla,20151127
Austria,Graz,Oper Graz,Barbier von Sevilla,20151204
Austria,Graz,Oper Graz,Barbier von Sevilla,20151211
Austria,Graz,Oper Graz,Luisa Miller,20151212
Austria,Graz,Oper Graz,Barbier von Sevilla,20151213
Austria,Graz,Oper Graz,Luisa Miller,20151216
Austria,Graz,Oper Graz,Barbier von Sevilla,20151217
Austria,Graz,Oper Graz,Luisa Miller,20151218
Austria,Graz,Oper Graz,Barbier von Sevilla,20151227
Austria,Graz,Oper Graz,Barbier von Sevilla,20160107
Austria,Graz,Oper Graz,Luisa Miller,20160108
