,country,city,composer,work,venue,dates,dates_url
0,Argentina,Buenos Aires,Golijov,La Pasión según San Marcos,Teatro Colón,"14, 15, 17, 18 March 2012",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buepasism0312
1,Argentina,La Plata,Wagner,Das Rheingold,Teatro Argentino,"16, 17, 18, 22, 23, 25 March 2012",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=argrheing0312
2,Argentina,Buenos Aires,Verdi,Rigoletto,Buenos Aires Lirica,"13, 15, 17, 19, 21 April 2012",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=balrigole0412
3,Argentina,Buenos Aires,Verdi,La Forza del Destino,Teatro Colón,"22, 24, 28 April, 2, 4 May 2012",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=bueforza0412
4,Argentina,La Plata,Vives,Dona Francisquita,Teatro Argentino,"18, 19, 20, 22, 23, 24, 26, 27 May 2012",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=argdonafr0512
5,Argentina,Buenos Aires,Enescu,Oedipe,Teatro Colón,"29 May, 1, 3, 5 June 2012",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=bueoedipe0512
6,Argentina,Buenos Aires,Bellini,Norma,Buenos Aires Lirica,"8, 10, 12, 14, 16 June 2012",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=balnorma0612
7,Argentina,Buenos Aires,Handel,Rinaldo,Teatro Colón,"12, 15, 17, 19 June 2012",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buerinald0612
8,Argentina,Buenos Aires,Schoenberg,Erwartung,Teatro Colón,"22, 24, 26, 28 July 2012",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=bueerwart0712
9,Argentina,Buenos Aires,Szymanowski,Hagith,Teatro Colón,"22, 24, 26, 28 July 2012",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buehagith0712
10,Argentina,La Plata,Massenet,Werther,Teatro Argentino,"22, 24, 27, 28, 29 July 2012",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=argwerthe0712
11,Argentina,Buenos Aires,Mozart,Die Entführung aus dem Serail,Buenos Aires Lirica,"10, 12, 14, 16, 18 August 2012",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=balserail0812
12,Argentina,Buenos Aires,Mercadante,I due Figaro,Teatro Colón,"28, 30 August, 1, 2 September 2012",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=bueduefig0812
13,Argentina,Buenos Aires,Rossini,La Cenerentola,Teatro Colón,"25, 28, 30 September, 3, 5 October 2012",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buecenere0912
14,Argentina,La Plata,Albéniz,Pepita Jiménez,Teatro Argentino,"28, 30 October, 4 November 2012",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=argpepita1012
15,Argentina,Buenos Aires,Tchaikovsky,Eugene Onegin,Buenos Aires Lirica,"9, 11, 13, 15, 17 November 2012",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=baleugene1112
16,Argentina,Buenos Aires,Wagner/Garben,Colón - Ring,Teatro Colón,"27, 30 November, 2, 4 December 2012",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buecolonr1112
17,Argentina,Buenos Aires,Mozart,Così fan tutte,Buenos Aires Lirica,"15, 17, 19, 21, 23 March 2013",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=balcosi0313
18,Argentina,Buenos Aires,Bizet,Carmen,Teatro Colón,"16, 17, 19, 20, 21, 23 April 2013",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buecarmen0413
19,Argentina,Buenos Aires,Rachmaninov,Francesca da Rimini,Teatro Colón,"14, 17, 19, 21 May 2013",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buefrance0513
20,Argentina,Buenos Aires,Rachmaninov,Aleko,Teatro Colón,"14, 17, 19, 21 May 2013",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buealeko0513
21,Argentina,Buenos Aires,Donizetti,Lucrezia Borgia,Buenos Aires Lirica,"17, 19, 21, 23, 25 May 2013",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=ballucrez0513
22,Argentina,Buenos Aires,"Strauss, R",Die Frau ohne Schatten,Teatro Colón,"11, 14, 16, 18 June 2013",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buefrau0613
23,Argentina,Buenos Aires,Verdi,Otello,Teatro Colón,"18, 21, 24, 27, 30 July 2013",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=bueotello0713
24,Argentina,Buenos Aires,Verdi,Nabucco,Buenos Aires Lirica,"2, 4, 8, 10, 13 August 2013",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=balnabucc0813
25,Argentina,Buenos Aires,Mozart,Le nozze di Figaro,Teatro Colón,"13, 16, 17, 18, 20, 21 August 2013",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buefigaro0813
26,Argentina,La Plata,Verdi,La Traviata,Teatro Argentino,"16, 17, 18, 23, 24, 25 August 2013",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=argtravia0813
27,Argentina,La Plata,Wagner,Der Fliegende Holländer,Teatro Argentino,"18, 20, 26 October 2013",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=argfliege1013
28,Argentina,Buenos Aires,Janacek,Jenufa,Buenos Aires Lirica,"18, 20, 22, 24, 26 October 2013",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=baljenufa1013
29,Argentina,Buenos Aires,Perusso,Bebe Dom o La Ciudad Planeta,Teatro Colón,"22, 25, 27, 29 October 2013",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buebebedo1013
30,Argentina,Buenos Aires,Verdi,Un Ballo in Maschera,Teatro Colón,"1, 3, 4, 5, 6, 7 December 2013",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=bueballo1213
31,Argentina,Buenos Aires,Donizetti,Anna Bolena,Buenos Aires Lirica,"21, 23, 25, 27, 29 March 2014",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=balanna0314
32,Argentina,Buenos Aires,Glanert,Caligula,Teatro Colón,"1, 4, 6(m), 8 April 2014",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buecaligu0414
33,Argentina,La Plata,Wagner,Der Fliegende Holländer,Teatro Argentino,"13, 16, 19 April 2014",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=argfliege0414
34,Argentina,Buenos Aires,Rossini,Il barbiere di Siviglia,Teatro Colón,"29 April, 2, 3, 4(m), 6 May 2014",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buebarber0414
35,Argentina,La Plata,Rossini,L'Italiana in Algeri,Teatro Argentino,"11, 14, 15, 16, 17, 18 May 2014",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=argitalia0514
36,Argentina,Buenos Aires,Cilea,Adriana Lecouvreur,Buenos Aires Lirica,"6, 8, 10, 12, 14 June 2014",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=baladrian0614
37,Argentina,Buenos Aires,Strasnoy,Requiem,Teatro Colón,"10, 13, 15(m), 17 June 2014",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buereqnun0614
38,Argentina,Buenos Aires,Mozart,Idomeneo,Teatro Colón,"8, 11, 12, 13(m), 15 July 2014",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=bueidomen0714
39,Argentina,Buenos Aires,Wagner,Tristan und Isolde,Teatro Colón,"4, 6, 10(m), 12 August 2014",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buetrista0814
40,Argentina,Buenos Aires,Mozart,Don Giovanni,Buenos Aires Lirica,"22, 24, 26, 28, 30 August 2014",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=balgiovan0814
41,Argentina,Buenos Aires,Verdi,Falstaff,Teatro Colón,"16, 19, 20, 21(m), 23 September 2014",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buefalsta0914
42,Argentina,La Plata,Verdi,La Traviata,Teatro Argentino,"19, 20, 21, 26, 27, 28 September 2014",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=argtravia0914
43,Argentina,Buenos Aires,Gounod,Roméo et Juliette,Buenos Aires Lirica,"17, 19, 21, 23, 25 October 2014",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=balromeo1014
44,Argentina,Buenos Aires,"Strauss, R",Elektra,Teatro Colón,"28, 31 October, 2(m), 4 November 2014",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=bueelektr1014
45,Argentina,La Plata,Puccini,Tosca,Teatro Argentino,"23, 27, 28, 29, 30 November 2014",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=argtosca1114
46,Argentina,Buenos Aires,Puccini,Madama Butterfly,Teatro Colón,"25, 26, 28, 29, 30(m) November, 2 December 2014",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buebutter1114
47,Argentina,La Plata,Verdi,La Traviata,Teatro Argentino,"20, 27, 28, 29 March 2015",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=argtravia0315
48,Argentina,Buenos Aires,Massenet,Werther,Teatro Colón,"14, 16, 17, 18, 19, 21 April 2015",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buewerthe0415
49,Argentina,Buenos Aires,Puccini,Tosca,Buenos Aires Lirica,"30 April, 2, 8, 10 May 2015",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=baltosca0415
50,Argentina,Buenos Aires,Donizetti,L'elisir d'amore,Teatro Colón,"8, 9, 10, 12, 14 May 2015",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=bueelisir0515
51,Argentina,La Plata,Bizet,Carmen,Teatro Argentino,"29, 30, 31 May, 5, 6, 7 June 2015",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=argcarmen0515
52,Argentina,Buenos Aires,Donizetti,Don Pasquale,Buenos Aires Lirica,"12, 14, 18, 20 June 2015",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=balpasqua0615
53,Argentina,Buenos Aires,Francesconi,Quartett,Teatro Colón,"16, 19, 21, 23 June 2015",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buefraqua0615
54,Argentina,Buenos Aires,Leoncavallo,Pagliacci,Teatro Colón,"14, 17, 18, 19, 21 July 2015",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buepag0715
55,Argentina,Buenos Aires,Mascagni,Cavalleria Rusticana,Teatro Colón,"14, 17, 18, 19, 21 July 2015",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buecav0715
56,Argentina,Buenos Aires,Massenet,Werther,Buenos Aires Lirica,"31 July, 2, 6, 8 August 2015",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=balwerthe0715
57,Argentina,La Plata,Verdi,Otello,Teatro Argentino,"31 July, 1, 2, 6, 7, 8 August 2015",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=argotello0715
58,Argentina,Buenos Aires,Verdi,Don Carlo,Teatro Colón,"20, 23, 26, 29 July 2015",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buecarlo0915
59,Argentina,Buenos Aires,Dvorak,Rusalka,Buenos Aires Lirica,"2, 4, 8, 10 October 2015",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=balrusalk1015
60,Argentina,Buenos Aires,Prokofiev,The Fiery Angel,Teatro Colón,"3, 6, 8, 10 November 2015",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buefiery1115
61,Argentina,Buenos Aires,Wagner,Parsifal,Teatro Colón,"4, 6, 9, 11 December 2015",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=bueparsif1215
62,Argentina,Buenos Aires,Mozart,Don Giovanni,Teatro Colón,"5, 6, 8, 9, 10, 12 April 2016",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buegiovan0416
63,Argentina,Buenos Aires,Gounod,Faust,Buenos Aires Lirica,"8, 10, 14, 16 April 2016",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=balfaust0416
64,Argentina,La Plata,Puccini,La bohème,Teatro Argentino,"6, 7, 8, 13, 14, 15 May 2016",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=argboheme0516
65,Argentina,Buenos Aires,Beethoven,Fidelio,Teatro Colón,"17, 20, 21, 22, 24 May 2016",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buefideli0516
66,Argentina,Buenos Aires,Bellini,I Capuleti e I Montecchi,Buenos Aires Lirica,"3, 5, 9, 11 June 2016",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=balcapule0616
67,Argentina,Buenos Aires,Purcell,Dido and Aeneas,Teatro Colón,"7, 8, 10, 11, 12 June 2016",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buedido0616
68,Argentina,Buenos Aires,Zimmermann,Die Soldaten,Teatro Colón,"12, 15, 17, 19, 20 July 2016",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buesoldat0716
69,Argentina,Buenos Aires,Verdi,Ernani,Buenos Aires Lirica,"5, 7, 11, 13 August 2016",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=balernani0816
70,Argentina,Buenos Aires,Puccini,Tosca,Teatro Colón,"20, 23, 26, 28, 30, 31 August 2016",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buetosca0816
71,Argentina,La Plata,Mozart,Così fan tutte,Teatro Argentino,"2, 3, 4(m), 9, 10, 11(m) September 2016",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=argcosi0916
72,Argentina,Buenos Aires,Verdi,Macbeth,Teatro Colón,"27 September, 1, 2, 4, 5, 7 October 2016",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buemacbet0916
73,Argentina,Buenos Aires,Puccini,Manon Lescaut,Buenos Aires Lirica,"14, 16, 20, 22 October 2016",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=balmlesca1016
74,Argentina,La Plata,Benjamin,Written on Skin,Teatro Argentino,"14, 16, 21, 23 October 2016",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=argwritte1016
75,Argentina,Buenos Aires,Dallapiccola,Volo di notte,Teatro Colón,"23, 25, 26 October 2016",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=buevolodi1016
76,Argentina,Buenos Aires,Dallapiccola,Il Prigioniero,Teatro Colón,"23, 25, 26 October 2016",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=bueprigio1016
77,Argentina,Buenos Aires,Gershwin,Porgy and Bess,Teatro Colón,"6, 7, 10, 11, 13 December 2016",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=bueporgy1216
78,Argentina,La Plata,Andriessen,De Materie,Teatro Argentino,"25, 26 February 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=argdemate0217
79,Argentina,Buenos Aires,Cilea,Adriana Lecouvreur,Teatro Colón,"14, 18, 19, 21, 25, 26 March 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=bueadrian0317
80,Argentina,La Plata,Lleó,La corte del faraón,Teatro Argentino,"29, 30 March 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=arglacort0317
81,Argentina,Buenos Aires,Monteverdi,L'incoronazione di Poppea,Buenos Aires Lirica,"20, 22, 23 April 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=balpoppea0417
82,Argentina,Buenos Aires,Wagner,Das Liebesverbot,Teatro Colón,"26, 28, 29, 30 April, 2 May 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=bueliebes0417
83,Argentina,La Plata,Donizetti,Lucia di Lammermoor,Teatro Argentino,"2, 4, 9, 11 June 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=arglucia0617
84,Argentina,Buenos Aires,Beethoven,Egmont,Buenos Aires Lirica,"4, 8, 10 June 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=balegmont0617
85,Argentina,Buenos Aires,Mendelssohn,A Midsummer Nights Dream,Buenos Aires Lirica,"4, 8, 10 June 2017",https://theoperacritic.com/scripts/ScheduleDetails.php?schedule=balsommer0617
