,name,uri,composer
0,Bhutto,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1764,Mohammed Fairouz
1,PERSONA,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1475,Keeril Makan
2,The Dictator's Wife,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1781,Mohammed Fairouz
3,The News,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1774,
4,Three 20-Minute Operas,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1782, 
5,120 Songs for the Marquis de Sade,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=799,Peter Hannan
6,A Christmas Carol,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1548,Iain  Bell
7,A Coffin in Egypt,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1503,Ricky Ian Gordon
8,A Gathering of Sons,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1850,Dwayne Fulton
9,A Gathering of Sons,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1851,Dwayne Fulton
10,A Harlot's Progress,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1549,Iain  Bell
11,A New Kind of Fallout,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1690,Gilda  Lyons
12,A Roadkill Opera,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1692,Stephen Alexander Parker
13,A Thousand Splendid Suns,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1564,Sheila  Silver
14,A Woman in Morocco,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1565,Daron Hagen
15,Abe,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=422,Roger  Anderson
16,Abel Gance in New York (Working Title),https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=178,Eric  Salzman
17,Abelard and Heloise,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1011,Robert  Ward
18,Abracadabra,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1010,Harry  Freedman
19,Abraham Lincoln,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=46,Lionel Lackey
20,Acquanetta,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1265,Michael  Gordon
21,Across Spoon River,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=334,Marguerite Clarke
22,Adam and Eve,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=675,Patrick Soluri
23,Adam's Diary,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=417,Mildred Kayden
24,Aesop's Fables,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=453,Anthony Plog
25,Aethelred the Unready,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=694,Richard   Wilson
26,After the Storm,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1740,David Hanlon
27,Again,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1661,Jake Heggie
28,Agamemnon,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=493,Andrew Earle    Simpson
29,Aging Magician,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1632,Paola Prestini
30,Agricola,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=181,Richard L. Rose
31,Aika ja UniI/The Age of Dreams,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=80,"Herman Rechberger, Kortekangas"
32,Ainadamar,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=695,Osvaldo     Golijov
33,Airline Icarus,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=795,Brian Current
34,Akhnaten,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=495,Philip  Glass
35,Alex in Transition,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1513,Anthony R.  Green 
