,source_name,decade,hhi,work,year,works_year,hhi_min,hhi_max,hhi_range
0,Chicago Lyric Opera,1950,315.9763313609467,59,6,9.833333333333334,169.4915254237288,1016.9491525423728,17.285207100591713
1,Chicago Lyric Opera,1960,259.37314024995044,70,8,8.75,142.85714285714286,1142.857142857143,11.651599739280758
2,Chicago Lyric Opera,1970,286.18217938736603,56,9,6.222222222222222,178.57142857142858,1607.1428571428567,7.532752557115624
3,Chicago Lyric Opera,1980,222.38786044855806,61,10,6.1,163.9344262295082,1639.3442622950822,3.9618438748467115
4,Chicago Lyric Opera,1990,204.0692297529396,113,10,11.3,88.49557522123895,884.9557522123894,14.510914402313526
5,Chicago Lyric Opera,2000,196.95300007521035,67,10,6.7,149.2537313432836,1492.5373134328358,3.550945561154548
6,Chicago Lyric Opera,2010,567.1111111111111,21,3,7.0,476.19047619047615,1428.5714285714287,9.546666666666669
7,Glyndebourne,1930,2512.6345434203927,27,7,3.857142857142857,370.3703703703704,2592.5925925925926,96.401887787251
8,Glyndebourne,1940,2314.9036484745484,20,5,4.0,500.0,2500.0,90.74518242372741
9,Glyndebourne,1950,601.5087057585193,81,10,8.1,123.45679012345677,1234.567901234568,43.024672407155634
10,Glyndebourne,1960,447.1655328798187,71,10,7.1,140.8450704225352,1408.4507042253522,24.165280927185698
11,Glyndebourne,1970,546.6434655963691,74,10,7.4,135.13513513513513,1351.3513513513512,33.83512939347924
12,Glyndebourne,1980,366.6009536480436,92,10,9.2,108.69565217391303,1086.9565217391303,26.363653039577798
13,Glyndebourne,1990,441.01665936907074,77,10,7.7,129.87012987012986,1298.7012987012986,26.620314190464942
14,Glyndebourne,2000,331.28959999999995,85,10,8.5,117.64705882352942,1176.4705882352944,20.1773511111111
15,Glyndebourne,2010,388.9999665421034,66,8,8.25,151.5151515151515,1212.121212121212,22.391425416826895
16,Metropolitan Opera,1880,415.20091732830423,109,7,15.571428571428571,91.74311926605506,642.2018348623853,58.76149998130859
17,Metropolitan Opera,1890,517.2950515439231,200,8,25.0,50.0,400.0,133.5128718696923
18,Metropolitan Opera,1900,283.5285223816496,313,10,31.3,31.948881789137378,319.48881789137374,87.49380833939594
19,Metropolitan Opera,1910,233.8755837355259,324,10,32.4,30.864197530864192,308.641975308642,73.08409903367823
20,Metropolitan Opera,1920,204.7057551144378,415,10,41.5,24.096385542168672,240.96385542168682,83.2809870805463
21,Metropolitan Opera,1930,262.8847178969222,357,10,35.7,28.011204481792717,280.11204481792714,93.16649365466805
22,Metropolitan Opera,1940,296.36419383888057,279,10,27.9,35.842293906810035,358.4229390681004,80.76178897894187
23,Metropolitan Opera,1950,320.8752076307865,235,10,23.5,42.5531914893617,425.53191489361694,72.67297088137205
24,Metropolitan Opera,1960,241.21452924910747,235,9,26.11111111111111,42.5531914893617,382.9787234042554,58.35676796692531
25,Metropolitan Opera,1970,211.92609229939015,243,10,24.3,41.1522633744856,411.52263374485597,46.10893380972422
26,Metropolitan Opera,1980,187.1561085320299,226,10,22.6,44.247787610619476,442.4778761061947,35.88586725359862
27,Metropolitan Opera,1990,229.61671295737224,241,10,24.1,41.49377593360996,414.9377593360995,50.37514202525192
28,Metropolitan Opera,2000,204.56693592021028,270,10,27.0,37.03703703703703,370.3703703703704,50.25896966495196
29,Metropolitan Opera,2010,177.52888130515217,211,8,26.375,47.39336492890995,379.1469194312796,39.226562793410146
30,National Opera de Paris,1970,288.49307510055525,117,8,14.625,85.47008547008546,683.7606837606837,33.93384255252138
31,National Opera de Paris,1980,128.43863291481466,134,10,13.4,74.6268656716418,746.2686567164179,8.011974233983516
32,National Opera de Paris,1990,224.2367207520121,148,10,14.8,67.56756756756756,675.6756756756756,25.76337185699755
33,National Opera de Paris,2000,139.1685386076412,205,10,20.5,48.78048780487804,487.8048780487805,20.588389349518273
34,National Opera de Paris,2010,175.90940937463645,108,6,18.0,92.5925925925926,555.5555555555555,17.996432424921476
35,Opera Scotland,1950,273.7621191135734,96,5,19.2,104.16666666666669,520.8333333333335,40.7029085872576
36,Opera Scotland,1960,152.42852587947726,256,10,25.6,39.0625,390.625,32.24633625016242
37,Opera Scotland,1970,207.33376600101278,246,10,24.6,40.65040650406504,406.50406504065035,45.56011826249905
38,Opera Scotland,1980,157.85061501983566,222,10,22.2,45.04504504504505,450.4504504504505,27.825373927115017
39,Opera Scotland,1990,195.43191545113118,218,10,21.8,45.87155963302753,458.7155963302752,36.22684174260733
40,Opera Scotland,2000,190.92061368740914,288,10,28.8,34.72222222222222,347.22222222222223,49.983485268859816
41,Opera Scotland,2010,137.1126938499107,492,9,54.666666666666664,20.32520325203252,182.9268292682927,71.82430671769507
42,Royal Opera House,1940,474.0017236426315,58,4,14.5,172.41379310344826,689.655172413793,58.3069999042421
43,Royal Opera House,1950,313.25595415245374,220,10,22.0,45.45454545454545,454.5454545454547,65.46256657059979
44,Royal Opera House,1960,212.54240508805145,246,10,24.6,40.65040650406504,406.50406504065035,46.983812946289625
45,Royal Opera House,1970,196.1627436984546,245,10,24.5,40.81632653061225,408.16326530612247,42.28874689569041
46,Royal Opera House,1980,200.89185171839094,214,10,21.4,46.728971962616825,467.2897196261682,36.65650696415073
47,Royal Opera House,1990,197.53080734587112,194,10,19.4,51.54639175257731,515.4639175257732,31.46775180566555
48,Royal Opera House,2000,145.48345163613237,237,10,23.7,42.194092827004226,421.94092827004215,27.199531153070417
49,Royal Opera House,2010,271.63331098981774,51,3,17.0,196.078431372549,588.2352941176472,19.266494302403522
50,Salzburg Festival,1920,811.6005551902985,37,8,4.625,270.27027027027026,2162.162162162162,28.613172202915774
51,Salzburg Festival,1930,727.4660661787701,83,9,9.222222222222221,120.48192771084341,1084.3373493975905,62.97460436604739
52,Salzburg Festival,1940,877.8674868640265,35,10,3.5,285.7142857142857,2857.1428571428573,23.028180044712144
53,Salzburg Festival,1950,569.5630052575048,60,10,6.0,166.66666666666669,1666.666666666667,26.859755906055867
54,Salzburg Festival,1960,562.6347067788508,72,10,7.2,138.88888888888889,1388.888888888889,33.89966543119695
55,Salzburg Festival,1970,653.050255307713,61,10,6.1,163.9344262295082,1639.3442622950822,33.151183970856096
56,Salzburg Festival,1980,482.1536457720342,71,10,7.1,140.8450704225352,1408.4507042253522,26.925454277571593
57,Salzburg Festival,1990,349.53641494221984,89,10,8.9,112.35955056179776,1123.5955056179773,23.454156588730633
58,Salzburg Festival,2000,296.20181405895676,98,10,9.8,102.04081632653062,1020.4081632653061,21.141975308641957
59,Salzburg Festival,2010,292.19516479104726,86,7,12.285714285714286,116.27906976744187,813.953488372093,25.214640286716776
60,San Francisco Opera,1920,402.892561983471,78,7,11.142857142857142,128.20512820512823,897.4358974358975,35.70936639118456
61,San Francisco Opera,1930,274.4184657648781,130,10,13.0,76.92307692307692,769.2307692307693,28.5271117215935
62,San Francisco Opera,1940,335.66316811996734,146,10,14.6,68.4931506849315,684.9315068493149,43.34091393946138
63,San Francisco Opera,1950,250.2046817466747,148,10,14.8,67.56756756756756,675.6756756756756,30.033658776119843
64,San Francisco Opera,1960,179.88901762302567,194,10,19.4,51.54639175257731,515.4639175257732,27.664966020963305
65,San Francisco Opera,1970,127.57158762456885,156,10,15.6,64.10256410256412,641.0256410256411,11.001297410480818
66,San Francisco Opera,1980,139.7064363230183,144,10,14.4,69.44444444444444,694.4444444444445,11.241918700571816
67,San Francisco Opera,1990,163.33332915333764,122,10,12.2,81.9672131147541,819.6721311475411,11.02962906300799
68,San Francisco Opera,2000,161.37000568214705,108,10,10.8,92.5925925925926,925.9259259259261,8.253289570746533
69,San Francisco Opera,2010,227.4782608695652,81,8,10.125,123.45679012345677,987.6543209876542,12.036770186335406
70,Sweden Opera House,1770,896.044021415824,50,8,6.25,200.0,1600.0,49.71743010113028
71,Sweden Opera House,1780,640.3524385902457,82,10,8.2,121.95121951219512,1219.5121951219512,47.23211107155572
72,Sweden Opera House,1790,355.9560146918603,133,10,13.3,75.18796992481202,751.8796992481203,41.49127772668602
73,Sweden Opera House,1800,218.02967594778974,325,10,32.5,30.769230769230774,307.6923076923077,67.62182742559075
74,Sweden Opera House,1810,265.91761524350164,331,10,33.1,30.211480362537763,302.1148036253776,86.68747849511007
75,Sweden Opera House,1820,244.79829277301252,323,10,32.3,30.95975232198143,309.59752321981426,76.74427618409227
76,Sweden Opera House,1830,240.19972766699274,277,10,27.7,36.101083032490976,361.0108303249098,62.817027293063305
77,Sweden Opera House,1840,365.4928163989406,159,10,15.9,62.89308176100628,628.9308176100628,53.45928645270174
78,Sweden Opera House,1850,340.007245501751,166,10,16.6,60.240963855421704,602.4096385542167,51.6013363925452
79,Sweden Opera House,1860,217.54385964912288,311,10,31.1,32.154340836012864,321.5434083601286,64.06237816764136
80,Sweden Opera House,1870,246.09474131873964,298,10,29.8,33.557046979865774,335.57046979865777,70.37359212553822
81,Sweden Opera House,1880,279.3905893620993,281,10,28.1,35.58718861209965,355.8718861209964,76.1208395674999
82,Sweden Opera House,1890,256.66291578406987,340,10,34.0,29.411764705882355,294.1176470588236,85.85043485175972
83,Sweden Opera House,1900,234.23589869430234,414,10,41.4,24.154589371980673,241.54589371980674,96.63740228826796
84,Sweden Opera House,1910,245.12965181671473,390,10,39.0,25.641025641025635,256.41025641025647,95.11173800946526
85,Sweden Opera House,1920,227.02974839761998,432,10,43.2,23.14814814814815,231.48148148148152,97.86316811974645
86,Sweden Opera House,1930,222.98212682891025,440,10,44.0,22.727272727272727,227.27272727272734,97.90237311635609
87,Sweden Opera House,1940,216.9026026132113,412,10,41.2,24.271844660194173,242.7184466019417,88.18208030738117
88,Sweden Opera House,1950,265.87739616994094,345,10,34.5,28.985507246376816,289.8550724637681,90.80855742069957
89,Sweden Opera House,1960,243.4481418354227,326,10,32.6,30.67484662576687,306.7484662576687,77.07121582038644
90,Sweden Opera House,1970,210.5552937131905,282,10,28.2,35.46099290780142,354.6099290780142,54.862880919021904
91,Sweden Opera House,1980,181.0138432950024,225,10,22.5,44.44444444444444,444.4444444444445,34.142349712639486
92,Sweden Opera House,1990,216.54567247891092,178,10,17.8,56.17977528089888,561.7977528089887,31.716810779162383
93,Sweden Opera House,2000,228.10534244141493,166,10,16.6,60.240963855421704,602.4096385542167,30.961652050305425
94,Sweden Opera House,2010,270.00409950131973,120,8,15.0,83.33333333333334,666.6666666666667,32.00070277165481
95,Teatro alla Scala,1940,716.759002770083,17,1,17.0,588.2352941176472,588.2352941176472,12852.370865243585
96,Teatro alla Scala,1950,114.91497075425693,221,10,22.1,45.248868778280546,452.48868778280547,17.10689837410086
97,Teatro alla Scala,1960,150.17674974173545,192,10,19.2,52.08333333333334,520.8333333333335,20.926595500459108
98,Teatro alla Scala,1970,180.79644515057157,155,10,15.5,64.51612903225806,645.1612903225805,20.026054442598443
99,Teatro alla Scala,1980,138.98484064420023,151,10,15.1,66.22516556291392,662.2516556291391,12.20745659697137
100,Teatro alla Scala,1990,150.14532871972315,104,10,10.4,96.15384615384616,961.5384615384614,6.239015763168009
101,Teatro alla Scala,2000,159.96812668422493,136,10,13.6,73.5294117647059,735.2941176470589,13.061850254505096
102,Teatro alla Scala,2010,188.26042342889454,110,8,13.75,90.9090909090909,727.2727272727273,15.298066538826285
103,Wiener Staatsoper,1860,1987.560843699297,11,2,5.5,909.0909090909093,1818.1818181818187,118.6316928069226
104,Wiener Staatsoper,1870,770.4589754269053,186,10,18.6,53.76344086021505,537.6344086021505,148.11707714378267
105,Wiener Staatsoper,1880,546.6159334126039,271,10,27.1,36.90036900369004,369.0036900369003,153.4810199497952
106,Wiener Staatsoper,1890,384.9935819442506,244,10,24.4,40.98360655737705,409.83606557377055,93.26492666044126
107,Wiener Staatsoper,1900,503.5061060956841,204,10,20.4,49.01960784313725,490.1960784313726,103.01693960391061
108,Wiener Staatsoper,1910,419.98158172547784,227,10,22.7,44.052863436123346,440.5286343612335,94.81757672409275
109,Wiener Staatsoper,1920,385.6509515570935,260,10,26.0,38.46153846153846,384.61538461538464,100.29916378316034
110,Wiener Staatsoper,1930,357.74454077312896,261,10,26.1,38.31417624521073,383.1417624521073,92.63480571309628
111,Wiener Staatsoper,1940,283.6352496137248,235,10,23.5,42.5531914893617,425.53191489361694,62.94920406580594
112,Wiener Staatsoper,1950,256.8021702818726,369,10,36.9,27.100271002710024,271.0027100271003,94.17777870445663
113,Wiener Staatsoper,1960,263.9661112001282,483,10,48.3,20.703933747412012,207.0393374741201,130.55070189962433
114,Wiener Staatsoper,1970,217.40520186847854,491,10,49.1,20.366598778004075,203.66598778004072,107.4955045749144
115,Wiener Staatsoper,1980,185.1242416504504,497,10,49.7,20.12072434607646,201.20724346076457,91.11860900030428
